cond,opponent,wins,losses,pure_winrate,p_raw,p_holm,significant
RL-s10-b100-a1.00,BT-v2,37,21,0.6379310344827587,0.047940324071666984,1.0,False
RL-s10-b100-a1.00,BT-v3,59,12,0.8309859154929577,1.3477668518977772e-08,3.248118113073643e-06,True
RL-s10-b125-a1.00,BT-v2,33,51,0.39285714285714285,0.06297225703616968,1.0,False
RL-s10-b125-a1.00,BT-v3,66,26,0.717391304347826,3.6700459237994134e-05,0.005872073478079061,True
RL-s10-b150-a1.00,BT-v2,40,20,0.6666666666666666,0.01348929373119186,0.9307612674522383,False
RL-s10-b150-a1.00,BT-v3,38,29,0.5671641791044776,0.3284320626971897,1.0,False
RL-s10-b175-a1.00,BT-v2,48,17,0.7384615384615385,0.00015210657584807538,0.0209907074670344,True
RL-s10-b175-a1.00,BT-v3,61,16,0.7922077922077922,2.4176312825015983e-07,5.17373094455342e-05,True
RL-s10-b200-a1.00,BT-v2,61,11,0.8472222222222222,1.5488945360571046e-09,3.9032142308639036e-07,True
RL-s10-b200-a1.00,BT-v3,66,12,0.8461538461538461,3.485851300097458e-10,8.923779328249492e-08,True
RL-s10-b225-a1.00,BT-v2,60,16,0.7894736842105263,3.850977823529725e-07,8.048543651177124e-05,True
RL-s10-b225-a1.00,BT-v3,64,12,0.8421052631578947,1.0023457813247953e-09,2.54595828456498e-07,True
RL-s10-b25-a1.00,BT-v2,21,22,0.4883720930232558,1.0,1.0,False
RL-s10-b25-a1.00,BT-v3,20,27,0.425531914893617,0.38169339766321275,1.0,False
RL-s10-b250-a1.00,BT-v2,66,10,0.868421052631579,2.960046439225788e-11,7.755321670771564e-09,True
RL-s10-b250-a1.00,BT-v3,79,6,0.9294117647058824,2.441642201786159e-17,6.958680275090553e-15,True
RL-s10-b275-a1.00,BT-v2,49,17,0.7424242424242424,0.0001014771231679886,0.014815659982526336,True
RL-s10-b275-a1.00,BT-v3,68,16,0.8095238095238095,8.542340953724185e-09,2.0672465108012528e-06,True
RL-s10-b300-a1.00,BT-v2,65,19,0.7738095238095238,4.748492975346606e-07,9.686925669707076e-05,True
RL-s10-b300-a1.00,BT-v3,79,9,0.8977272727272727,4.152441283052301e-15,1.1626835592546442e-12,True
RL-s10-b50-a1.00,BT-v2,28,19,0.5957446808510638,0.24296021728332556,1.0,False
RL-s10-b50-a1.00,BT-v3,32,15,0.6808510638297872,0.018623836615006432,1.0,False
RL-s10-b75-a1.00,BT-v2,42,14,0.75,0.00023444586091919684,0.030243516058576392,True
RL-s10-b75-a1.00,BT-v3,53,16,0.7681159420289855,9.095063055186201e-06,0.0016462064129887024,True
RL-s11-b100-a1.00,BT-v2,53,11,0.828125,1.0058579844832594e-07,2.233004725552836e-05,True
RL-s11-b100-a1.00,BT-v3,58,16,0.7837837837837838,9.674891137601897e-07,0.00019349782275203793,True
RL-s11-b125-a1.00,BT-v2,41,14,0.7454545454545455,0.00035528111863147854,0.044765420947566296,True
RL-s11-b125-a1.00,BT-v3,51,17,0.75,4.453448771493584e-05,0.0069919145712449265,True
RL-s11-b150-a1.00,BT-v2,46,14,0.7666666666666667,4.223704562267977e-05,0.006715690254006083,True
RL-s11-b150-a1.00,BT-v3,40,24,0.625,0.05994118956699923,1.0,False
RL-s11-b175-a1.00,BT-v2,42,17,0.711864406779661,0.0015471669302425245,0.1578110268847375,False
RL-s11-b175-a1.00,BT-v3,45,20,0.6923076923076923,0.0026263768106840374,0.24162666658293144,False
RL-s11-b200-a1.00,BT-v2,48,17,0.7384615384615385,0.00015210657584807538,0.0209907074670344,True
RL-s11-b200-a1.00,BT-v3,47,21,0.6911764705882353,0.0021862431776861714,0.2055068587025001,False
RL-s11-b225-a1.00,BT-v2,39,19,0.6724137931034483,0.011928139715763179,0.8707541992507121,False
RL-s11-b225-a1.00,BT-v3,36,33,0.5217391304347826,0.8099490529189248,1.0,False
RL-s11-b25-a1.00,BT-v2,25,24,0.5102040816326531,1.0,1.0,False
RL-s11-b25-a1.00,BT-v3,50,18,0.7352941176470589,0.00013083876154198454,0.018317426615877836,True
RL-s11-b250-a1.00,BT-v2,45,19,0.703125,0.0015627893448280279,0.1578110268847375,False
RL-s11-b250-a1.00,BT-v3,53,31,0.6309523809523809,0.021383189937144585,1.0,False
RL-s11-b275-a1.00,BT-v2,49,15,0.765625,2.436457216293327e-05,0.004068883551209856,True
RL-s11-b275-a1.00,BT-v3,48,22,0.6857142857142857,0.0025475648982539578,0.23692353553761808,False
RL-s11-b300-a1.00,BT-v2,56,12,0.8235294117647058,6.209495737562187e-08,1.4157650281641787e-05,True
RL-s11-b300-a1.00,BT-v3,71,9,0.8875,4.3739781822391746e-13,1.2072179782980122e-10,True
RL-s11-b50-a1.00,BT-v2,21,36,0.3684210526315789,0.06273668035582848,1.0,False
RL-s11-b50-a1.00,BT-v3,26,28,0.48148148148148145,0.8919231511047488,1.0,False
RL-s11-b75-a1.00,BT-v2,31,43,0.4189189189189189,0.20067820312938567,1.0,False
RL-s11-b75-a1.00,BT-v3,42,36,0.5384615384615384,0.5715867180030723,1.0,False
RL-s12-b100-a1.00,BT-v2,39,12,0.7647058823529411,0.0001980394513374506,0.02614120757654348,True
RL-s12-b100-a1.00,BT-v3,54,18,0.75,2.568720337924735e-05,0.004238388557575813,True
RL-s12-b125-a1.00,BT-v2,54,13,0.8059701492537313,4.46583468018233e-07,9.154961094373777e-05,True
RL-s12-b125-a1.00,BT-v3,60,15,0.8,1.5877990745379462e-07,3.4931579639834816e-05,True
RL-s12-b150-a1.00,BT-v2,57,14,0.8028169014084507,2.6659171387086086e-07,5.65174433406225e-05,True
RL-s12-b150-a1.00,BT-v3,74,11,0.8705882352941177,1.2888315230163817e-12,3.518510057834722e-10,True
RL-s12-b175-a1.00,BT-v2,60,13,0.821917808219178,2.3070738505242644e-08,5.490835764247749e-06,True
RL-s12-b175-a1.00,BT-v3,62,13,0.8266666666666667,8.396008067237178e-09,2.0570219764731086e-06,True
RL-s12-b200-a1.00,BT-v2,43,15,0.7413793103448276,0.000306947015546566,0.03928921798996045,True
RL-s12-b200-a1.00,BT-v3,62,13,0.8266666666666667,8.396008067237178e-09,2.0570219764731086e-06,True
RL-s12-b225-a1.00,BT-v2,52,11,0.8253968253968254,1.673499118726163e-07,3.631493087635774e-05,True
RL-s12-b225-a1.00,BT-v3,78,8,0.9069767441860465,1.5235832099273424e-15,4.2965046519951055e-13,True
RL-s12-b25-a1.00,BT-v2,26,18,0.5909090909090909,0.2912152365458951,1.0,False
RL-s12-b25-a1.00,BT-v3,41,18,0.6949152542372882,0.0037937056353716074,0.32625868464195823,False
RL-s12-b250-a1.00,BT-v2,60,14,0.8108108108108109,6.221761416347879e-08,1.4157650281641787e-05,True
RL-s12-b250-a1.00,BT-v3,85,9,0.9042553191489362,1.1976554450525877e-16,3.389364909498823e-14,True
RL-s12-b275-a1.00,BT-v2,44,16,0.7333333333333333,0.00039404324272610154,0.04886136209803659,True
RL-s12-b275-a1.00,BT-v3,62,19,0.7654320987654321,1.7730682926908962e-06,0.0003439363682450839,True
RL-s12-b300-a1.00,BT-v2,51,16,0.7611940298507462,2.168923876071706e-05,0.0036871705893219003,True
RL-s12-b300-a1.00,BT-v3,78,12,0.8666666666666667,5.202430003083186e-13,1.4306682508478761e-10,True
RL-s12-b50-a1.00,BT-v2,31,23,0.5740740740740741,0.3408909412200971,1.0,False
RL-s12-b50-a1.00,BT-v3,70,19,0.7865168539325843,4.957489567762136e-08,1.1352651110175291e-05,True
RL-s12-b75-a1.00,BT-v2,44,15,0.7457627118644068,0.00020372185740785698,0.026687563320429264,True
RL-s12-b75-a1.00,BT-v3,68,12,0.85,1.201648635082027e-10,3.10025347851163e-08,True
RL-s13-b100-a1.00,BT-v2,41,13,0.7592592592592593,0.00017512673440589485,0.023642109144795805,True
RL-s13-b100-a1.00,BT-v3,59,16,0.7866666666666666,6.114156572521501e-07,0.00012411737842218647,True
RL-s13-b125-a1.00,BT-v2,50,14,0.78125,7.069487542545679e-06,0.0013007857078284049,True
RL-s13-b125-a1.00,BT-v3,62,13,0.8266666666666667,8.396008067237178e-09,2.0570219764731086e-06,True
RL-s13-b150-a1.00,BT-v2,52,18,0.7428571428571429,5.849547318695842e-05,0.008774320978043763,True
RL-s13-b150-a1.00,BT-v3,53,17,0.7571428571428571,1.919969240032143e-05,0.0033023470928552857,True
