cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family
RL-s9-b100-a1.00,0.8374999999999999,100.81449999999639,0.13979352255172364,2.325999999999997,0.97,6.0,2.0,6.0,17.0,0.9439743980434213,60.0,30125,RL
RL-s10-b250-a1.00,0.8225,101.70774999999634,0.06657635004786942,2.030999999999998,0.865,17.0,5.0,17.0,17.0,0.8945987339891512,4113.0,30252,RL
RL-s12-b250-a1.00,0.8049999999999999,100.16099999999642,0.09267637489395145,2.492999999999997,0.88,17.0,4.0,17.0,17.0,0.9060285085974826,3074.0,29755,RL
RL-s10-b300-a1.00,0.79,100.3479999999964,0.10169592441831271,1.817999999999998,0.85,17.0,5.0,17.0,17.0,0.8911391693827496,4150.0,29785,RL
RL-s13-b275-a1.00,0.78,113.27724999999569,0.05987434422830666,1.371999999999999,0.83,17.0,4.0,17.0,17.0,0.9028532934959025,3196.0,34978,RL
RL-s12-b225-a1.00,0.7775,106.39224999999607,0.08066864305102597,2.0049999999999977,0.85,16.0,4.0,16.0,17.0,0.9147444971540649,3480.0,31837,RL
RL-s19-b275-a1.00,0.7725,117.29399999999546,0.033354650972935274,0.6712499999999999,0.78,5.0,2.0,5.0,17.0,0.947901932788322,32.0,34716,RL
RL-s11-b300-a1.00,0.765,114.20249999999561,0.054998551624549044,0.9152499999999992,0.81,3.0,2.0,3.0,17.0,0.9618636105087349,8.0,33975,RL
RL-s12-b150-a1.00,0.7649999999999999,109.22924999999587,0.05565214694318815,1.4799999999999982,0.815,8.0,3.0,8.0,17.0,0.9162835667072229,179.0,32919,RL
RL-s15-b125-a1.00,0.7625,111.86749999999577,0.06507438801572069,1.476749999999998,0.9,5.0,1.0,5.0,17.0,0.9410880551274775,31.0,33466,RL
RL-s10-b200-a1.00,0.76,113.58999999999565,0.037216320429110106,0.8732500000000001,0.77,17.0,4.0,17.0,17.0,0.9182646793858072,4326.0,33523,RL
RL-s14-b275-a1.00,0.755,108.61874999999591,0.0776613067282891,1.3954999999999984,0.81,10.0,5.0,10.0,17.0,0.8987900614131804,633.0,33670,RL
RL-s19-b250-a1.00,0.755,116.55649999999551,0.03527132152391913,0.5365,0.735,5.0,2.0,5.0,17.0,0.9416453249337106,32.0,34623,RL
RL-s19-b300-a1.00,0.7525,115.99199999999553,0.046908288866305325,0.8247499999999997,0.815,5.0,2.0,5.0,17.0,0.9383493736815551,32.0,35146,RL
RL-s12-b300-a1.00,0.7525,110.32999999999583,0.05620443475555702,1.7694999999999979,0.83,8.0,4.0,8.0,17.0,0.9056624869893762,204.0,32583,RL
RL-s9-b175-a1.00,0.7475,106.03824999999607,0.0725640326831543,1.4467499999999982,0.76,6.0,3.0,6.0,17.0,0.9284848596561106,62.0,31349,RL
RL-s10-b225-a1.00,0.74,115.42624999999556,0.035913702621206814,1.0319999999999996,0.76,7.0,4.0,7.0,17.0,0.9120920250494492,125.0,33553,RL
RL-s12-b175-a1.00,0.74,111.54774999999577,0.04926410919687451,1.2244999999999986,0.745,17.0,4.0,17.0,17.0,0.9075223145585319,3212.0,33419,RL
RL-s9-b125-a1.00,0.74,104.12424999999618,0.07375190052533037,1.5674999999999981,0.8,6.0,2.0,6.0,17.0,0.9343211510267764,61.0,30657,RL
RL-s14-b225-a1.00,0.7375,109.46049999999589,0.07461803013270883,1.5867499999999983,0.81,8.0,4.0,8.0,17.0,0.9067875624196721,214.0,32696,RL
RL-s18-b150-a1.00,0.735,113.71074999999566,0.0873468591514795,0.9809999999999997,0.845,8.0,3.0,8.0,17.0,0.9276220465316916,196.0,34492,RL
RL-s14-b250-a1.00,0.7324999999999999,115.32674999999557,0.04718043549170049,1.0934999999999988,0.75,9.0,4.0,9.0,17.0,0.9092659864686021,358.0,35482,RL
RL-s9-b250-a1.00,0.73,112.49024999999571,0.04981926364614718,0.8492499999999992,0.765,4.0,1.0,4.0,17.0,0.9508841098972723,16.0,34000,RL
RL-s15-b300-a1.00,0.7275,113.29124999999569,0.04581888282051698,0.8319999999999994,0.74,4.0,2.0,4.0,17.0,0.9581204167113078,16.0,34409,RL
RL-s14-b175-a1.00,0.7225,113.0684999999957,0.06226980065743635,1.3344999999999987,0.765,6.0,4.0,6.0,17.0,0.9206724552973776,62.0,33048,RL
RL-s17-b200-a1.00,0.7225,113.28049999999567,0.05018817923577101,1.0689999999999988,0.79,5.0,2.0,5.0,17.0,0.9407715324953368,32.0,33866,RL
RL-s18-b250-a1.00,0.7224999999999999,114.92774999999557,0.044841442653054536,0.43674999999999997,0.74,11.0,3.0,11.0,17.0,0.9280020636921427,631.0,33376,RL
RL-s17-b125-a1.00,0.7224999999999999,108.63424999999596,0.11029026316427107,1.3822499999999982,0.825,7.0,3.0,7.0,17.0,0.9192890849033768,106.0,33177,RL
RL-s13-b250-a1.00,0.7224999999999999,112.8534999999957,0.051192201977476655,1.0399999999999994,0.73,7.0,4.0,7.0,17.0,0.9029584794595773,118.0,33777,RL
RL-s9-b275-a1.00,0.72,115.00149999999557,0.03739828476389668,0.5552499999999999,0.725,4.0,1.0,4.0,17.0,0.9581160615362372,16.0,35422,RL
RL-s13-b225-a1.00,0.72,113.51374999999564,0.05088866402934192,0.9754999999999993,0.715,6.0,3.0,6.0,17.0,0.9295185509180399,61.0,34331,RL
RL-s9-b300-a1.00,0.72,113.26749999999566,0.04834627657177832,0.6567499999999997,0.74,4.0,1.0,4.0,17.0,0.952744750518804,16.0,35098,RL
RL-s16-b25-a1.00,0.7150000000000001,102.35224999999629,0.12153075956199882,1.9637499999999972,0.925,10.0,5.0,10.0,17.0,0.8873721379317155,506.0,30017,RL
RL-s12-b125-a1.00,0.715,110.46024999999582,0.05412873156259351,1.2937499999999988,0.725,7.0,4.0,7.0,17.0,0.9121049725385685,104.0,33254,RL
RL-s13-b125-a1.00,0.7125,116.2729999999955,0.04214486668796484,0.8769999999999991,0.745,6.0,3.0,6.0,17.0,0.9268907581119555,63.0,35477,RL
RL-s12-b75-a1.00,0.7125,105.41424999999609,0.06538802645976276,1.513749999999998,0.78,6.0,2.0,6.0,17.0,0.9418198477614278,64.0,32420,RL
RL-s9-b200-a1.00,0.7125,112.28924999999572,0.053642560674856475,1.006499999999999,0.755,5.0,2.0,5.0,17.0,0.9392577428214798,31.0,33645,RL
RL-s17-b225-a1.00,0.71,113.46774999999568,0.04397925988394266,1.0247499999999987,0.76,5.0,3.0,5.0,17.0,0.9341990973405332,31.0,33351,RL
RL-s15-b100-a1.00,0.71,110.04574999999585,0.07495065453351364,1.0084999999999988,0.78,4.0,2.0,4.0,17.0,0.955068659752,16.0,33426,RL
RL-s10-b275-a1.00,0.71,103.76724999999618,0.06811228679528696,1.5189999999999984,0.76,17.0,5.0,17.0,17.0,0.8945648038778392,3755.0,31996,RL
RL-s11-b100-a1.00,0.71,116.88949999999546,0.04182172061462876,0.5474999999999999,0.71,6.0,2.0,6.0,17.0,0.9368866775520373,59.0,34294,RL
RL-s17-b150-a1.00,0.7075,110.49274999999582,0.05102168215751117,1.0317499999999988,0.73,6.0,4.0,6.0,17.0,0.9151954507041209,59.0,33108,RL
