opponent,cond_a,cond_b,mean_a,mean_b,diff,n,p_raw,p_holm,significant
BT-v2,RL-s10-b100-a1.00,RL-s10-b125-a1.00,0.58,0.41,0.16999999999999998,50,0.00120335622316192,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s10-b150-a1.00,0.58,0.6,-0.020000000000000018,50,0.7523349396432817,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s10-b175-a1.00,0.58,0.655,-0.07500000000000007,50,0.06296285635954083,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s10-b200-a1.00,0.58,0.75,-0.17000000000000004,50,1.6505880143677966e-05,0.2985913717991344,False
BT-v2,RL-s10-b100-a1.00,RL-s10-b225-a1.00,0.58,0.72,-0.14,50,0.0007296304543969826,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s10-b25-a1.00,0.58,0.495,0.08499999999999996,50,0.06040747832443731,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s10-b250-a1.00,0.58,0.78,-0.20000000000000007,50,7.571013296385825e-06,0.1399804648368775,False
BT-v2,RL-s10-b100-a1.00,RL-s10-b275-a1.00,0.58,0.66,-0.08000000000000007,50,0.02895627314522579,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s10-b300-a1.00,0.58,0.73,-0.15000000000000002,50,0.0002891283642453621,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s10-b50-a1.00,0.58,0.545,0.03499999999999992,50,0.2965208287117381,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s10-b75-a1.00,0.58,0.64,-0.06000000000000005,50,0.11511807793209364,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s11-b100-a1.00,0.58,0.71,-0.13,50,0.00046282987823826856,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s11-b125-a1.00,0.58,0.635,-0.05500000000000005,50,0.22445179674012983,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s11-b150-a1.00,0.58,0.66,-0.08000000000000007,50,0.11794163538761544,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s11-b175-a1.00,0.58,0.625,-0.04500000000000004,50,0.34612428427213826,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s11-b200-a1.00,0.58,0.655,-0.07500000000000007,50,0.12068317421543816,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s11-b225-a1.00,0.58,0.6,-0.020000000000000018,50,0.8125253922719163,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s11-b25-a1.00,0.58,0.505,0.07499999999999996,50,0.08528052328131042,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s11-b250-a1.00,0.58,0.63,-0.050000000000000044,50,0.2727225495361141,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s11-b275-a1.00,0.58,0.67,-0.09000000000000008,50,0.028574729167163616,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s11-b300-a1.00,0.58,0.72,-0.14,50,0.0038864067663567947,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s11-b50-a1.00,0.58,0.425,0.15499999999999997,50,0.00048653684093244985,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s11-b75-a1.00,0.58,0.44,0.13999999999999996,50,0.007703182633482123,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s12-b100-a1.00,0.58,0.635,-0.05500000000000005,50,0.14532757157495693,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s12-b125-a1.00,0.58,0.705,-0.125,50,0.003062592824606664,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s12-b150-a1.00,0.58,0.715,-0.135,50,0.0062520748719212755,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s12-b175-a1.00,0.58,0.735,-0.15500000000000003,50,0.0003438667316472881,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s12-b200-a1.00,0.58,0.64,-0.06000000000000005,50,0.23202426470759063,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s12-b225-a1.00,0.58,0.705,-0.125,50,0.01164206776428178,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s12-b25-a1.00,0.58,0.54,0.039999999999999925,50,0.19812861469583076,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s12-b250-a1.00,0.58,0.73,-0.15000000000000002,50,0.0013307119282215001,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s12-b275-a1.00,0.58,0.64,-0.06000000000000005,50,0.22540033702387596,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s12-b300-a1.00,0.58,0.675,-0.09500000000000008,50,0.022798081049578776,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s12-b50-a1.00,0.58,0.54,0.039999999999999925,50,0.2950030147630701,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s12-b75-a1.00,0.58,0.645,-0.06500000000000006,50,0.19405855123929827,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s13-b100-a1.00,0.58,0.64,-0.06000000000000005,50,0.19641747334431636,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s13-b125-a1.00,0.58,0.68,-0.10000000000000009,50,0.02533244610917684,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s13-b150-a1.00,0.58,0.67,-0.09000000000000008,50,0.019150528381580385,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s13-b175-a1.00,0.58,0.695,-0.11499999999999999,50,0.028883176265209493,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s13-b200-a1.00,0.58,0.635,-0.05500000000000005,50,0.1849596491806491,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s13-b225-a1.00,0.58,0.725,-0.14500000000000002,50,0.0011595330904180304,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s13-b25-a1.00,0.58,0.45,0.12999999999999995,50,0.004828627937445843,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s13-b250-a1.00,0.58,0.715,-0.135,50,0.0018866533473335507,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s13-b275-a1.00,0.58,0.73,-0.15000000000000002,50,0.0005646280917037793,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s13-b300-a1.00,0.58,0.68,-0.10000000000000009,50,0.030703271493044897,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s13-b50-a1.00,0.58,0.55,0.029999999999999916,50,0.27684333365145253,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s13-b75-a1.00,0.58,0.58,0.0,50,0.8320113002224396,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s14-b100-a1.00,0.58,0.575,0.0050000000000000044,50,0.8092861083636127,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s14-b125-a1.00,0.58,0.615,-0.03500000000000003,50,0.48139151050277396,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s14-b150-a1.00,0.58,0.635,-0.05500000000000005,50,0.22740995697251543,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s14-b175-a1.00,0.58,0.68,-0.10000000000000009,50,0.02403156319055099,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s14-b200-a1.00,0.58,0.62,-0.040000000000000036,50,0.523929871580402,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s14-b225-a1.00,0.58,0.665,-0.08500000000000008,50,0.025746308369602778,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s14-b25-a1.00,0.58,0.29,0.29,50,1.5827206713487833e-07,0.003133628657203456,True
BT-v2,RL-s10-b100-a1.00,RL-s14-b250-a1.00,0.58,0.715,-0.135,50,0.0013190103445899271,1.0,False
BT-v2,RL-s10-b100-a1.00,RL-s14-b275-a1.00,0.58,0.7,-0.12,50,0.0038278431221678453,1.0,False
