cond,opponent,n_seeds,score,score_lo,score_hi,pure_winrate,draw_rate,wez_time,damage,surv_time,viol_deck,viol_over_g,viol_total
RL-s10-b250-a1.00,BT-v2,50,0.78,0.6475845041874633,0.872460840297856,0.868421052631579,0.24,1.8439999999999983,46.1,103.26249999999622,0.00731671396782757,0.04851373584177744,0.07239914500174416
RL-s19-b250-a1.00,BT-v2,50,0.775,0.64212657300466,0.8686322474719927,0.8481012658227848,0.21,0.496,12.4,117.64249999999545,0.0,0.026652550935561566,0.03073095481949017
RL-s19-b275-a1.00,BT-v2,50,0.765,0.6312713134076325,0.8609144590516874,0.8192771084337349,0.17,0.6095,15.2375,117.48849999999544,0.00013727121464226198,0.029034976189110075,0.03343231352503323
RL-s10-b200-a1.00,BT-v2,50,0.75,0.6151339165427337,0.849192283890587,0.8472222222222222,0.28,0.9159999999999999,22.9,110.61949999999581,0.0,0.034869977919063516,0.039868296580085755
RL-s12-b175-a1.00,BT-v2,50,0.735,0.5991625353626994,0.837304093044622,0.821917808219178,0.27,1.084999999999999,27.125,113.92199999999565,0.0,0.03171400506133887,0.0480883636629623
RL-s9-b175-a1.00,BT-v2,50,0.735,0.5991625353626994,0.837304093044622,0.8133333333333334,0.25,1.3979999999999984,34.95,107.62849999999597,0.03196234107311814,0.041351511353370105,0.0929427621507977
RL-s10-b300-a1.00,BT-v2,50,0.73,0.5938741460882104,0.8333059583104446,0.7738095238095238,0.16,1.330999999999999,33.275,102.98649999999623,0.02882241136704218,0.0764120775412278,0.11981918310140008
RL-s12-b250-a1.00,BT-v2,50,0.73,0.5938741460882104,0.8333059583104446,0.8108108108108109,0.26,1.7419999999999984,43.55,107.406499999996,0.040447818934463066,0.048879905775195,0.11769841502332593
RL-s13-b275-a1.00,BT-v2,50,0.73,0.5938741460882104,0.8333059583104446,0.8108108108108109,0.26,0.704,17.6,118.0834999999954,0.020287021630615635,0.036318056239079854,0.0633937633938219
RL-s13-b225-a1.00,BT-v2,50,0.725,0.5886029780472277,0.8292906023427609,0.8260869565217391,0.31,0.6105,15.2625,115.85099999999552,0.0,0.041123005542490224,0.05140148647928228
RL-s10-b225-a1.00,BT-v2,50,0.72,0.5833487630404344,0.8252582933408877,0.7894736842105263,0.24,0.9584999999999999,23.9625,116.88099999999548,0.0010149750415973371,0.02694483649646432,0.03303314390681477
RL-s11-b300-a1.00,BT-v2,50,0.72,0.5833487630404344,0.8252582933408877,0.8235294117647058,0.32,0.37949999999999984,9.4875,115.15899999999556,0.018367320912514227,0.03864165719732147,0.06337857186225077
RL-s12-b150-a1.00,BT-v2,50,0.715,0.578111245429785,0.8212092869428708,0.8028169014084507,0.29,0.8649999999999993,21.625,113.73849999999564,0.0,0.03451338455564236,0.04771601423256135
RL-s13-b250-a1.00,BT-v2,50,0.715,0.578111245429785,0.8212092869428708,0.7945205479452054,0.27,0.6405,16.0125,112.91199999999566,0.0,0.04638840214536616,0.05827258461956694
RL-s14-b250-a1.00,BT-v2,50,0.715,0.578111245429785,0.8212092869428708,0.7866666666666666,0.25,0.575,14.375,116.63649999999548,0.0026871880199667198,0.03154180482813125,0.04640272553672465
RL-s15-b300-a1.00,BT-v2,50,0.715,0.578111245429785,0.8212092869428708,0.7721518987341772,0.21,0.4974999999999998,12.4375,113.46399999999568,0.0,0.034247380474067696,0.04565415731196218
RL-s9-b275-a1.00,BT-v2,50,0.715,0.578111245429785,0.8212092869428708,0.7792207792207793,0.23,0.5964999999999998,14.9125,112.20749999999572,0.0,0.03327638771133414,0.037105252460723104
RL-s11-b100-a1.00,BT-v2,50,0.71,0.5728901814719899,0.8171438268919994,0.828125,0.36,0.3919999999999999,9.8,117.52149999999543,0.003202995008319467,0.028243977141709106,0.03859368890157058
RL-s12-b125-a1.00,BT-v2,50,0.705,0.5676853387010256,0.8130621456542974,0.8059701492537313,0.33,0.9679999999999995,24.2,115.38449999999557,0.0015973377703826942,0.03515703706876936,0.052855396960438616
RL-s12-b225-a1.00,BT-v2,50,0.705,0.5676853387010256,0.8130621456542974,0.8253968253968254,0.37,1.4289999999999987,35.725,110.25899999999584,0.036168635554875955,0.04197931114987487,0.09716406638731573
RL-s18-b250-a1.00,BT-v2,50,0.705,0.5676853387010256,0.8130621456542974,0.7662337662337663,0.23,0.4434999999999999,11.0875,114.04899999999562,0.0,0.042323553779869974,0.047745639369998975
RL-s9-b100-a1.00,BT-v2,50,0.705,0.5676853387010256,0.8130621456542974,0.7733333333333333,0.25,0.9144999999999994,22.8625,113.82199999999564,0.14154135173963922,0.038683188397788414,0.20814218008291271
RL-s14-b275-a1.00,BT-v2,50,0.7,0.562496495355466,0.8089644649911906,0.8571428571428571,0.44,0.8369999999999996,20.925,109.18149999999586,0.05170726300781732,0.04003719643008957,0.10796057713171335
RL-s9-b300-a1.00,BT-v2,50,0.7,0.562496495355466,0.8089644649911906,0.7857142857142857,0.3,0.5119999999999998,12.8,114.34099999999562,0.0,0.0335403872934621,0.038208964543285324
RL-s13-b175-a1.00,BT-v2,50,0.695,0.557323439846859,0.8048509964911311,0.782608695652174,0.31,0.49149999999999994,12.2875,114.28549999999561,0.0,0.03643645543223295,0.04169208260325928
RL-s9-b250-a1.00,BT-v2,50,0.695,0.557323439846859,0.8048509964911311,0.7671232876712328,0.27,0.5679999999999997,14.2,113.49549999999566,0.0,0.03608837996118718,0.045579253392788094
RL-s19-b300-a1.00,BT-v2,50,0.69,0.5521659702657463,0.8007219420635773,0.7375,0.2,0.5535,13.8375,118.23399999999539,0.016719609603884068,0.029664899934063484,0.05029358112329254
RL-s17-b150-a1.00,BT-v2,50,0.685,0.5470238939222649,0.7965774943983924,0.7936507936507936,0.37,0.6314999999999995,15.7875,112.8279999999957,0.0,0.032507998119276266,0.04612555399161394
RL-s8-b275-a1.00,BT-v2,50,0.685,0.5470238939222649,0.7965774943983924,0.7846153846153846,0.35,0.335,8.375,117.52249999999545,0.0,0.03196000883857528,0.03581529085363266
RL-s13-b125-a1.00,BT-v2,50,0.68,0.5418970269185592,0.7924178373934317,0.78125,0.36,0.4734999999999999,11.8375,118.05199999999542,0.0,0.032551043338362534,0.04199301266453591
RL-s13-b300-a1.00,BT-v2,50,0.68,0.5418970269185592,0.7924178373934317,0.7647058823529411,0.32,0.575,14.375,112.06199999999572,0.0,0.04531285385693397,0.049651273285179126
RL-s14-b175-a1.00,BT-v2,50,0.68,0.5418970269185592,0.7924178373934317,0.78125,0.36,0.6569999999999997,16.425,117.57149999999545,0.010503327787021626,0.03262897611307866,0.0576612339330336
RL-s17-b300-a1.00,BT-v2,50,0.68,0.5418970269185592,0.7924178373934317,0.7368421052631579,0.24,0.40099999999999997,10.025,116.16599999999555,0.0,0.026810479978361026,0.03576697151433106
RL-s18-b225-a1.00,BT-v2,50,0.68,0.5418970269185592,0.7924178373934317,0.7647058823529411,0.32,0.3629999999999998,9.075,114.47899999999564,0.0,0.034340283376032225,0.03933278832046735
RL-s19-b175-a1.00,BT-v2,50,0.68,0.5418970269185592,0.7924178373934317,0.75,0.28,0.41999999999999993,10.5,116.3194999999955,0.0,0.03335259985549459,0.037263045179427176
RL-s9-b125-a1.00,BT-v2,50,0.68,0.5418970269185592,0.7924178373934317,0.78125,0.36,1.2854999999999988,32.1375,107.10799999999603,0.032033978042748566,0.04077617731863338,0.09086898822931783
RL-s12-b300-a1.00,BT-v2,50,0.675,0.5367851937505073,0.7882431465528174,0.7611940298507462,0.33,0.9174999999999995,22.9375,110.13449999999582,0.0,0.041046459145727826,0.05895489473250454
RL-s16-b200-a1.00,BT-v2,50,0.675,0.5367851937505073,0.7882431465528174,0.7966101694915254,0.41,0.45899999999999996,11.475,115.63499999999556,0.00017886855241264503,0.027805696486059815,0.03339441893452364
RL-s17-b250-a1.00,BT-v2,50,0.675,0.5367851937505073,0.7882431465528174,0.7611940298507462,0.33,0.41649999999999987,10.4125,116.01299999999551,0.0,0.02741021075777396,0.03170688517458476
RL-s18-b175-a1.00,BT-v2,50,0.675,0.5367851937505073,0.7882431465528174,0.7536231884057971,0.31,0.40449999999999997,10.1125,115.26999999999558,0.0,0.03436179459067965,0.04035523459103473
RL-s9-b150-a1.00,BT-v2,50,0.675,0.5367851937505073,0.7882431465528174,0.7611940298507462,0.33,1.1879999999999986,29.7,109.80799999999589,0.056149464673509834,0.04207091762877293,0.1163198339699018
RL-s11-b275-a1.00,BT-v2,50,0.67,0.5316882269364904,0.7840535893581677,0.765625,0.36,0.3869999999999999,9.675,115.88299999999553,0.0,0.026559856456793627,0.0308412308563118
RL-s13-b150-a1.00,BT-v2,50,0.67,0.5316882269364904,0.7840535893581677,0.7428571428571429,0.3,0.44449999999999984,11.1125,113.63949999999562,0.0,0.041436189406718435,0.0446337474707385
RL-s16-b150-a1.00,BT-v2,50,0.67,0.5316882269364904,0.7840535893581677,0.7833333333333333,0.4,0.46149999999999985,11.5375,115.78399999999554,0.00103161397670549,0.036154548960238696,0.04530115957795991
RL-s16-b175-a1.00,BT-v2,50,0.67,0.5316882269364904,0.7840535893581677,0.7741935483870968,0.38,0.5489999999999998,13.725,116.5769999999955,0.0,0.028746806788592653,0.03226276245297229
RL-s8-b75-a1.00,BT-v2,50,0.67,0.5316882269364904,0.7840535893581677,0.75,0.32,0.37499999999999994,9.375,115.77199999999556,0.0,0.027273821997465114,0.0319635481377722
RL-s9-b200-a1.00,BT-v2,50,0.67,0.5316882269364904,0.7840535893581677,0.7741935483870968,0.38,0.5124999999999996,12.8125,114.3669999999956,0.002287853577371048,0.04136902097581028,0.053791833836230686
RL-s14-b225-a1.00,BT-v2,50,0.665,0.5266059666711593,0.7798493256148324,0.7538461538461538,0.35,0.9824999999999996,24.5625,112.36549999999573,0.04980729798609837,0.033472539282776645,0.09920648883525685
RL-s8-b125-a1.00,BT-v2,50,0.665,0.5266059666711593,0.7798493256148324,0.7704918032786885,0.39,0.4214999999999998,10.5375,114.32949999999565,0.0,0.02930853228691504,0.03397441069884632
RL-s10-b275-a1.00,BT-v2,50,0.66,0.5215382605023261,0.7756305077749992,0.7424242424242424,0.34,1.0339999999999996,25.85,104.97149999999607,0.016432855405695626,0.04427049544861819,0.07790501321512736
RL-s11-b150-a1.00,BT-v2,50,0.66,0.5215382605023261,0.7756305077749992,0.7666666666666667,0.4,0.292,7.3,116.04699999999553,0.0,0.026098477392889792,0.031171566575031066
RL-s17-b225-a1.00,BT-v2,50,0.66,0.5215382605023261,0.7756305077749992,0.7424242424242424,0.34,0.5544999999999994,13.8625,115.37599999999557,0.0,0.03170082997773201,0.04380871615684368
RL-s10-b175-a1.00,BT-v2,50,0.655,0.5164849630292923,0.7713972812393667,0.7384615384615385,0.35,0.5855,14.6375,113.55249999999569,0.0,0.02872298015080316,0.035399753912962975
RL-s11-b200-a1.00,BT-v2,50,0.655,0.5164849630292923,0.7713972812393667,0.7384615384615385,0.35,0.36849999999999994,9.2125,114.6339999999956,0.0,0.032972892456501784,0.03763769846704578
RL-s17-b200-a1.00,BT-v2,50,0.655,0.5164849630292923,0.7713972812393667,0.7384615384615385,0.35,0.5614999999999997,14.0375,116.17649999999553,0.0,0.030873680853455147,0.04246067015739035
RL-s9-b225-a1.00,BT-v2,50,0.655,0.5164849630292923,0.7713972812393667,0.7313432835820896,0.33,0.4254999999999998,10.6375,113.29849999999567,0.0,0.031062148612582403,0.03834472056289194
RL-s12-b75-a1.00,BT-v2,50,0.645,0.5064210461530909,0.7628881500982351,0.7457627118644068,0.41,0.9994999999999991,24.9875,109.76999999999585,0.015761231281198,0.036271127820965116,0.06681283531855348
RL-s15-b225-a1.00,BT-v2,50,0.645,0.5064210461530909,0.7628881500982351,0.7164179104477612,0.33,0.4184999999999997,10.4625,111.63999999999577,0.006347753743760397,0.03560849976108601,0.04615658147196077
RL-s10-b75-a1.00,BT-v2,50,0.64,0.501410168761127,0.7586125034815326,0.75,0.44,0.5009999999999998,12.525,113.03149999999567,0.008161293491170049,0.04057096614475695,0.053047704746573124
RL-s12-b200-a1.00,BT-v2,50,0.64,0.501410168761127,0.7586125034815326,0.7413793103448276,0.42,1.2099999999999986,30.25,109.50049999999588,0.003286189683860231,0.035261199197868666,0.05384678074500827
RL-s12-b275-a1.00,BT-v2,50,0.64,0.501410168761127,0.7586125034815326,0.7333333333333333,0.4,0.6919999999999997,17.3,113.59799999999565,0.0,0.03201632885519511,0.04393696645399239
RL-s13-b100-a1.00,BT-v2,50,0.64,0.501410168761127,0.7586125034815326,0.7592592592592593,0.46,0.3794999999999999,9.4875,115.33599999999555,0.0,0.031093595725984278,0.042166090592807424
RL-s14-b300-a1.00,BT-v2,50,0.64,0.501410168761127,0.7586125034815326,0.7258064516129032,0.38,0.5384999999999996,13.4625,112.25149999999572,0.07347238081175637,0.09116418676741528,0.17336765388079528
RL-s15-b100-a1.00,BT-v2,50,0.64,0.501410168761127,0.7586125034815326,0.7592592592592593,0.46,0.3434999999999999,8.5875,116.03449999999552,0.052741499218332176,0.029294326790012922,0.08897459166870089
RL-s16-b275-a1.00,BT-v2,50,0.64,0.501410168761127,0.7586125034815326,0.7058823529411765,0.32,0.5264999999999997,13.1625,110.53149999999579,0.0,0.04359531417925119,0.04880176696324095
