cond,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples
RL-s10-b100-a1.00,9.0,4.0,9.0,17.0,0.9116172176148635,379.0,34602
RL-s10-b125-a1.00,17.0,7.0,17.0,17.0,0.8379122574141558,4635.0,28980
RL-s10-b150-a1.00,7.0,4.0,7.0,17.0,0.9085061652704812,125.0,33107
RL-s10-b175-a1.00,7.0,3.0,7.0,17.0,0.9299269741240965,127.0,34221
RL-s10-b200-a1.00,17.0,4.0,17.0,17.0,0.9182646793858072,4326.0,33523
RL-s10-b225-a1.00,7.0,4.0,7.0,17.0,0.9120920250494492,125.0,33553
RL-s10-b25-a1.00,7.0,4.0,7.0,17.0,0.9241976573430045,117.0,32283
RL-s10-b250-a1.00,17.0,5.0,17.0,17.0,0.8945987339891512,4113.0,30252
RL-s10-b275-a1.00,17.0,5.0,17.0,17.0,0.8945648038778392,3755.0,31996
RL-s10-b300-a1.00,17.0,5.0,17.0,17.0,0.8911391693827496,4150.0,29785
RL-s10-b50-a1.00,7.0,4.0,7.0,17.0,0.9169864050070093,123.0,34558
RL-s10-b75-a1.00,8.0,4.0,8.0,17.0,0.9100753775284206,211.0,32897
RL-s11-b100-a1.00,6.0,2.0,6.0,17.0,0.9368866775520373,59.0,34294
RL-s11-b125-a1.00,6.0,2.0,6.0,17.0,0.9424480387902928,57.0,35043
RL-s11-b150-a1.00,5.0,3.0,5.0,17.0,0.9392463578309319,32.0,34395
RL-s11-b175-a1.00,6.0,3.0,6.0,17.0,0.9334567182047067,63.0,34322
RL-s11-b200-a1.00,5.0,3.0,5.0,17.0,0.9389176281624637,32.0,34836
RL-s11-b225-a1.00,5.0,2.0,5.0,17.0,0.9396854085449242,32.0,33598
RL-s11-b25-a1.00,10.0,5.0,10.0,17.0,0.883347018858108,473.0,34058
RL-s11-b250-a1.00,7.0,4.0,7.0,17.0,0.9205284159868509,114.0,33560
RL-s11-b275-a1.00,5.0,3.0,5.0,17.0,0.9257001723492392,30.0,34506
RL-s11-b300-a1.00,3.0,2.0,3.0,17.0,0.9618636105087349,8.0,33975
RL-s11-b50-a1.00,13.0,5.0,13.0,17.0,0.8973708742543931,1567.0,31574
RL-s11-b75-a1.00,17.0,4.0,17.0,17.0,0.9136563955370298,3782.0,32848
RL-s12-b100-a1.00,4.0,1.0,4.0,17.0,0.95695954003598,16.0,33407
RL-s12-b125-a1.00,7.0,4.0,7.0,17.0,0.9121049725385685,104.0,33254
RL-s12-b150-a1.00,8.0,3.0,8.0,17.0,0.9162835667072229,179.0,32919
RL-s12-b175-a1.00,17.0,4.0,17.0,17.0,0.9075223145585319,3212.0,33419
RL-s12-b200-a1.00,9.0,4.0,9.0,17.0,0.910542856052375,322.0,33200
RL-s12-b225-a1.00,16.0,4.0,16.0,17.0,0.9147444971540649,3480.0,31837
RL-s12-b25-a1.00,4.0,1.0,4.0,17.0,0.9530646480959752,16.0,32805
RL-s12-b250-a1.00,17.0,4.0,17.0,17.0,0.9060285085974826,3074.0,29755
RL-s12-b275-a1.00,9.0,4.0,9.0,17.0,0.9153226051439791,338.0,34375
RL-s12-b300-a1.00,8.0,4.0,8.0,17.0,0.9056624869893762,204.0,32583
RL-s12-b50-a1.00,7.0,3.0,7.0,17.0,0.9302581135798124,117.0,32745
RL-s12-b75-a1.00,6.0,2.0,6.0,17.0,0.9418198477614278,64.0,32420
RL-s13-b100-a1.00,5.0,2.0,5.0,17.0,0.9424600415713003,32.0,34756
RL-s13-b125-a1.00,6.0,3.0,6.0,17.0,0.9268907581119555,63.0,35477
RL-s13-b150-a1.00,7.0,4.0,7.0,17.0,0.9119464804837814,112.0,34602
RL-s13-b175-a1.00,6.0,3.0,6.0,17.0,0.9253394551927312,63.0,34553
RL-s13-b200-a1.00,6.0,4.0,6.0,17.0,0.9195536257491495,64.0,34514
RL-s13-b225-a1.00,6.0,3.0,6.0,17.0,0.9295185509180399,61.0,34331
RL-s13-b25-a1.00,3.0,1.0,3.0,10.0,0.9808248458238213,8.0,32381
RL-s13-b250-a1.00,7.0,4.0,7.0,17.0,0.9029584794595773,118.0,33777
RL-s13-b275-a1.00,17.0,4.0,17.0,17.0,0.9028532934959025,3196.0,34978
RL-s13-b300-a1.00,9.0,5.0,9.0,17.0,0.8972071485302056,358.0,34332
RL-s13-b50-a1.00,5.0,3.0,5.0,17.0,0.9468565305275206,32.0,34394
RL-s13-b75-a1.00,7.0,3.0,7.0,17.0,0.9254702109348701,123.0,34449
RL-s14-b100-a1.00,7.0,4.0,7.0,17.0,0.9141956363345792,114.0,32970
RL-s14-b125-a1.00,10.0,4.0,10.0,17.0,0.9058537093896741,601.0,31874
RL-s14-b150-a1.00,7.0,3.0,7.0,17.0,0.9195263158662144,116.0,34930
RL-s14-b175-a1.00,6.0,4.0,6.0,17.0,0.9206724552973776,62.0,33048
RL-s14-b200-a1.00,9.0,4.0,9.0,17.0,0.9038896626317144,321.0,33079
RL-s14-b225-a1.00,8.0,4.0,8.0,17.0,0.9067875624196721,214.0,32696
RL-s14-b25-a1.00,17.0,17.0,17.0,17.0,0.7908906255793247,3778.0,32208
RL-s14-b250-a1.00,9.0,4.0,9.0,17.0,0.9092659864686021,358.0,35482
RL-s14-b275-a1.00,10.0,5.0,10.0,17.0,0.8987900614131804,633.0,33670
RL-s14-b300-a1.00,11.0,5.0,11.0,17.0,0.8996333329175231,966.0,31033
RL-s14-b50-a1.00,6.0,3.0,6.0,17.0,0.9307659043963414,63.0,36060
RL-s14-b75-a1.00,8.0,4.0,8.0,17.0,0.9135483278539421,199.0,32982
RL-s15-b100-a1.00,4.0,2.0,4.0,17.0,0.955068659752,16.0,33426
RL-s15-b125-a1.00,5.0,1.0,5.0,17.0,0.9410880551274775,31.0,33466
RL-s15-b150-a1.00,4.0,1.0,4.0,17.0,0.9612452641282084,16.0,34727
RL-s15-b175-a1.00,4.0,2.0,4.0,13.0,0.9517922914046342,16.0,33980
RL-s15-b200-a1.00,4.0,2.0,4.0,17.0,0.9563603366636015,16.0,34475
RL-s15-b225-a1.00,4.0,2.0,4.0,17.0,0.9525174749644832,16.0,33684
RL-s15-b25-a1.00,7.0,4.0,7.0,17.0,0.9163205734306457,121.0,31383
RL-s15-b250-a1.00,5.0,2.0,5.0,17.0,0.9461673357908396,32.0,32576
RL-s15-b275-a1.00,6.0,3.0,6.0,17.0,0.9415443203208183,63.0,32435
RL-s15-b300-a1.00,4.0,2.0,4.0,17.0,0.9581204167113078,16.0,34409
RL-s15-b50-a1.00,4.0,2.0,4.0,17.0,0.9570168170184139,16.0,32534
