cond,d_star_common,d_star_090_common,d_star_099_common,f4_common,coverage_entropy,coverage_std
RL-s8-b25-a1.00,6.0,2.0,17.0,0.9416893165985051,0.698123132080309,0.2422844381726279
RL-s8-b50-a1.00,6.0,2.0,17.0,0.9294513192008302,0.7173978964472323,0.27481556229492854
RL-s8-b75-a1.00,17.0,6.0,17.0,0.890170957614701,0.6895280905199764,0.26673621756950067
RL-s8-b100-a1.00,10.0,4.0,17.0,0.9061942822171689,0.6446321447965594,0.23029399944954784
RL-s8-b125-a1.00,17.0,4.0,17.0,0.9022536486593129,0.6209520627729149,0.22568838941508412
RL-s8-b150-a1.00,17.0,5.0,17.0,0.8836019114475457,0.692163049835072,0.2897939314664204
RL-s8-b175-a1.00,5.0,2.0,17.0,0.94530656295074,0.6798942096688535,0.23201539747782438
RL-s8-b200-a1.00,17.0,5.0,17.0,0.8876481169030724,0.6759180987143445,0.24634826838142254
RL-s8-b225-a1.00,17.0,8.0,17.0,0.8649277320524557,0.6840481838007633,0.23035108428775158
RL-s8-b250-a1.00,17.0,9.0,17.0,0.8474369857018611,0.685899781289047,0.2341154871994561
RL-s8-b275-a1.00,17.0,6.0,17.0,0.8739613533324238,0.6608143388549561,0.215717558919827
RL-s8-b300-a1.00,17.0,6.0,17.0,0.8649017184273007,0.6752364326866644,0.22267850425233968
RL-s9-b25-a1.00,6.0,3.0,17.0,0.9369955232370588,0.7010417795466706,0.2458269790410327
RL-s9-b50-a1.00,6.0,1.0,17.0,0.9427577440832476,0.6709680904169171,0.23708544485471827
RL-s9-b75-a1.00,17.0,4.0,17.0,0.9094065408235923,0.7329376157569117,0.3051003199926094
RL-s9-b100-a1.00,5.0,1.0,17.0,0.940434274433927,0.6292871980696138,0.23226341722345212
RL-s9-b125-a1.00,10.0,2.0,17.0,0.9287956474170426,0.6602326703155184,0.25015829479893426
RL-s9-b150-a1.00,17.0,4.0,17.0,0.9081713958071488,0.6903271947197508,0.26135751375182015
RL-s9-b175-a1.00,12.0,3.0,17.0,0.9107391685539797,0.7022239927249146,0.2616482484422833
