cond,opponent,wins,losses,pure_winrate,p_raw,p_holm,significant
BT-v1,BT-v2,50,114,0.3048780487804878,6.331600153869773e-07,1.2030040292352569e-05,True
BT-v1,BT-v3,44,104,0.2972972972972973,8.873046763703882e-07,1.5971484174666987e-05,True
BT-v2,BT-v2,109,53,0.6728395061728395,1.2874323447942745e-05,0.00020598917516708392,True
BT-v2,BT-v3,67,80,0.4557823129251701,0.3223076486087749,1.0,False
BT-v3,BT-v2,67,91,0.4240506329113924,0.06694263927535082,0.7363690320288591,False
BT-v3,BT-v3,62,90,0.40789473684210525,0.02819284181764288,0.36650694362935743,False
HYB-b1000000-a0.25,BT-v2,83,76,0.5220125786163522,0.6343339062839174,1.0,False
HYB-b1000000-a0.25,BT-v3,75,85,0.46875,0.47688215872526807,1.0,False
HYB-b1000000-a0.50,BT-v2,83,75,0.5253164556962026,0.5777428358653738,1.0,False
HYB-b1000000-a0.50,BT-v3,78,81,0.49056603773584906,0.8740403384263966,1.0,False
HYB-b1000000-a0.75,BT-v2,86,69,0.5548387096774193,0.19858360530805014,1.0,False
HYB-b1000000-a0.75,BT-v3,77,75,0.506578947368421,0.9353893704780406,1.0,False
HYB-b3000000-a0.50,BT-v2,90,68,0.569620253164557,0.09447453522193175,0.9447453522193174,False
HYB-b3000000-a0.50,BT-v3,92,67,0.5786163522012578,0.056655996833771365,0.6798719620052563,False
RL-b1000000-a1.00,BT-v2,80,71,0.5298013245033113,0.5151625027710794,1.0,False
RL-b1000000-a1.00,BT-v3,76,83,0.4779874213836478,0.6343339062839174,1.0,False
RL-b3000000-a1.00,BT-v2,105,56,0.6521739130434783,0.00013904177586029201,0.00208562663790438,True
RL-b3000000-a1.00,BT-v3,93,63,0.5961538461538461,0.01994574873683422,0.2792404823156791,False
RL-b8000000-a1.00,BT-v2,115,44,0.7232704402515723,1.6530481609841425e-08,3.306096321968285e-07,True
RL-b8000000-a1.00,BT-v3,111,51,0.6851851851851852,2.7745059299599955e-06,4.716660080931992e-05,True
