cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family
RL-b8000000-a1.00,0.6637500000000001,77.75141769061335,0.11846751236167007,3.983512846988205,0.65,17.0,5.0,17.0,17.0,0.8937844536141569,7593.0,12000,RL
RL-b3000000-a1.00,0.59875,75.77374354945988,0.09093546543506076,4.018533427619385,0.575,9.0,5.0,9.0,17.0,0.8934261849783213,511.0,12000,RL
HYB-b3000000-a0.50,0.5587500000000001,75.42937517078468,0.023767392107828737,3.918024504906657,0.5625,7.0,4.0,7.0,17.0,0.9114177731640395,128.0,12000,Hybrid
BT-v2,0.55375,72.40150122146316,0.09833295293361821,4.032984009670626,0.4675,5.0,4.0,5.0,17.0,0.9424863940380808,32.0,12000,BT
HYB-b1000000-a0.75,0.5237499999999999,75.34893497452475,0.03991006424530086,3.8948431702916944,0.505,7.0,4.0,7.0,17.0,0.902434913482969,128.0,12000,Hybrid
HYB-b1000000-a0.50,0.50625,74.23985517442497,0.02027388070094368,3.9474924413596124,0.4925,6.0,4.0,6.0,17.0,0.9118251863791665,64.0,12000,Hybrid
RL-b1000000-a1.00,0.5025,73.6262869600416,0.06880324258070644,4.23809827461025,0.4825,8.0,5.0,8.0,17.0,0.8982672423692113,256.0,12000,RL
HYB-b1000000-a0.25,0.49624999999999997,75.14505201983795,0.00783839345922861,4.077607441176717,0.475,6.0,4.0,6.0,17.0,0.9311952797724863,64.0,12000,Hybrid
BT-v3,0.435,75.4333884024801,8.19638964378876e-05,3.974930549697222,0.43,5.0,4.0,5.0,17.0,0.9344386877387538,32.0,12000,BT
BT-v1,0.345,74.2177938245365,0.004019692781417435,4.010356827038617,0.35,5.0,4.0,5.0,7.0,0.9496448339485085,32.0,12000,BT
