opponent,cond_a,cond_b,mean_a,mean_b,diff,n,p_raw,p_holm,significant
BT-v2,BT-v1,BT-v2,0.34,0.64,-0.3,100,8.324440254338418e-09,7.325507423817807e-07,True
BT-v2,BT-v1,BT-v3,0.34,0.44,-0.09999999999999998,100,0.03566826067606685,1.0,False
BT-v2,BT-v1,HYB-b1000000-a0.25,0.34,0.5175,-0.17749999999999994,100,4.56810698421802e-05,0.0036544855873744163,True
BT-v2,BT-v1,HYB-b1000000-a0.50,0.34,0.52,-0.18,100,0.0009990925207036675,0.06893738392855306,False
BT-v2,BT-v1,HYB-b1000000-a0.75,0.34,0.5425,-0.20249999999999996,100,3.551397240627738e-05,0.0028766317649084674,True
BT-v2,BT-v1,HYB-b3000000-a0.50,0.34,0.555,-0.21500000000000002,100,2.5832700222132382e-05,0.002118281418214855,True
BT-v2,BT-v1,RL-b1000000-a1.00,0.34,0.5225,-0.18249999999999994,100,5.390924517244921e-05,0.0042588303686234875,True
BT-v2,BT-v1,RL-b3000000-a1.00,0.34,0.6225,-0.28250000000000003,100,3.805861764311947e-08,3.311099734951394e-06,True
BT-v2,BT-v1,RL-b8000000-a1.00,0.34,0.6775,-0.33749999999999997,100,1.668672743210553e-10,1.5018054688894976e-08,True
BT-v2,BT-v2,BT-v3,0.64,0.44,0.2,100,6.837320491360433e-05,0.005333109983261138,True
BT-v2,BT-v2,HYB-b1000000-a0.25,0.64,0.5175,0.12250000000000005,100,0.008021485215076965,0.47326762768954095,False
BT-v2,BT-v2,HYB-b1000000-a0.50,0.64,0.52,0.12,100,0.009785716081512123,0.5675715327277031,False
BT-v2,BT-v2,HYB-b1000000-a0.75,0.64,0.5425,0.09750000000000003,100,0.042219659665063455,1.0,False
BT-v2,BT-v2,HYB-b3000000-a0.50,0.64,0.555,0.08499999999999996,100,0.052543295698826084,1.0,False
BT-v2,BT-v2,RL-b1000000-a1.00,0.64,0.5225,0.11750000000000005,100,0.0016519723837176512,0.10572623255792968,False
BT-v2,BT-v2,RL-b3000000-a1.00,0.64,0.6225,0.01749999999999996,100,0.5764078588823429,1.0,False
BT-v2,BT-v2,RL-b8000000-a1.00,0.64,0.6775,-0.03749999999999998,100,0.36306410321839966,1.0,False
BT-v2,BT-v3,HYB-b1000000-a0.25,0.44,0.5175,-0.07749999999999996,100,0.09242984741882614,1.0,False
BT-v2,BT-v3,HYB-b1000000-a0.50,0.44,0.52,-0.08000000000000002,100,0.07944168859479492,1.0,False
BT-v2,BT-v3,HYB-b1000000-a0.75,0.44,0.5425,-0.10249999999999998,100,0.041339264037768816,1.0,False
BT-v2,BT-v3,HYB-b3000000-a0.50,0.44,0.555,-0.11500000000000005,100,0.011107676162269535,0.6331375412493635,False
BT-v2,BT-v3,RL-b1000000-a1.00,0.44,0.5225,-0.08249999999999996,100,0.08126587878405193,1.0,False
BT-v2,BT-v3,RL-b3000000-a1.00,0.44,0.6225,-0.18250000000000005,100,0.00026832509864264145,0.02012438239819811,True
BT-v2,BT-v3,RL-b8000000-a1.00,0.44,0.6775,-0.2375,100,5.924069793420447e-06,0.0004976218626473175,True
BT-v2,HYB-b1000000-a0.25,HYB-b1000000-a0.50,0.5175,0.52,-0.0025000000000000577,100,0.936487587141613,1.0,False
BT-v2,HYB-b1000000-a0.25,HYB-b1000000-a0.75,0.5175,0.5425,-0.025000000000000022,100,0.6898151620169382,1.0,False
BT-v2,HYB-b1000000-a0.25,HYB-b3000000-a0.50,0.5175,0.555,-0.03750000000000009,100,0.5150655008640668,1.0,False
BT-v2,HYB-b1000000-a0.25,RL-b1000000-a1.00,0.5175,0.5225,-0.0050000000000000044,100,0.8862590790011703,1.0,False
BT-v2,HYB-b1000000-a0.25,RL-b3000000-a1.00,0.5175,0.6225,-0.1050000000000001,100,0.03454094150490807,1.0,False
BT-v2,HYB-b1000000-a0.25,RL-b8000000-a1.00,0.5175,0.6775,-0.16000000000000003,100,0.001038596802027609,0.07062458253787741,False
BT-v2,HYB-b1000000-a0.50,HYB-b1000000-a0.75,0.52,0.5425,-0.022499999999999964,100,0.6324794038144839,1.0,False
BT-v2,HYB-b1000000-a0.50,HYB-b3000000-a0.50,0.52,0.555,-0.03500000000000003,100,0.43820507043889634,1.0,False
BT-v2,HYB-b1000000-a0.50,RL-b1000000-a1.00,0.52,0.5225,-0.0024999999999999467,100,0.9486657050424472,1.0,False
BT-v2,HYB-b1000000-a0.50,RL-b3000000-a1.00,0.52,0.6225,-0.10250000000000004,100,0.03404240960877991,1.0,False
BT-v2,HYB-b1000000-a0.50,RL-b8000000-a1.00,0.52,0.6775,-0.15749999999999997,100,0.0007268321436968295,0.05233191434617172,False
BT-v2,HYB-b1000000-a0.75,HYB-b3000000-a0.50,0.5425,0.555,-0.012500000000000067,100,0.6175852698376347,1.0,False
BT-v2,HYB-b1000000-a0.75,RL-b1000000-a1.00,0.5425,0.5225,0.020000000000000018,100,0.6084138508181857,1.0,False
BT-v2,HYB-b1000000-a0.75,RL-b3000000-a1.00,0.5425,0.6225,-0.08000000000000007,100,0.04872712695553156,1.0,False
BT-v2,HYB-b1000000-a0.75,RL-b8000000-a1.00,0.5425,0.6775,-0.135,100,0.0009646801649892733,0.06752761154924913,False
BT-v2,HYB-b3000000-a0.50,RL-b1000000-a1.00,0.555,0.5225,0.032500000000000084,100,0.7044501972527055,1.0,False
BT-v2,HYB-b3000000-a0.50,RL-b3000000-a1.00,0.555,0.6225,-0.0675,100,0.19420205021128445,1.0,False
BT-v2,HYB-b3000000-a0.50,RL-b8000000-a1.00,0.555,0.6775,-0.12249999999999994,100,0.01630707048572184,0.8968888767147013,False
BT-v2,RL-b1000000-a1.00,RL-b3000000-a1.00,0.5225,0.6225,-0.10000000000000009,100,0.036448026643233225,1.0,False
BT-v2,RL-b1000000-a1.00,RL-b8000000-a1.00,0.5225,0.6775,-0.15500000000000003,100,0.00029417881230673287,0.0214750532983915,True
BT-v2,RL-b3000000-a1.00,RL-b8000000-a1.00,0.6225,0.6775,-0.05499999999999994,100,0.20623963576935855,1.0,False
BT-v3,BT-v1,BT-v2,0.35,0.4675,-0.11750000000000005,100,0.014655969533310621,0.8207342938653948,False
BT-v3,BT-v1,BT-v3,0.35,0.43,-0.08000000000000002,100,0.04744535251014407,1.0,False
BT-v3,BT-v1,HYB-b1000000-a0.25,0.35,0.475,-0.125,100,0.0018592052822519634,0.1171299327818737,False
BT-v3,BT-v1,HYB-b1000000-a0.50,0.35,0.4925,-0.14250000000000002,100,0.004168018211022218,0.25008109266133305,False
BT-v3,BT-v1,HYB-b1000000-a0.75,0.35,0.505,-0.15500000000000003,100,0.000794275016730101,0.056393526187837176,False
BT-v3,BT-v1,HYB-b3000000-a0.50,0.35,0.5625,-0.21250000000000002,100,7.686754436139257e-07,6.610608815079761e-05,True
BT-v3,BT-v1,RL-b1000000-a1.00,0.35,0.4825,-0.1325,100,0.003385308226869692,0.2098891100659209,False
BT-v3,BT-v1,RL-b3000000-a1.00,0.35,0.575,-0.22499999999999998,100,1.0987841600939661e-06,9.339665360798712e-05,True
BT-v3,BT-v1,RL-b8000000-a1.00,0.35,0.65,-0.30000000000000004,100,3.540249187134641e-09,3.1508217765498305e-07,True
BT-v3,BT-v2,BT-v3,0.4675,0.43,0.03750000000000003,100,0.41964592145615287,1.0,False
BT-v3,BT-v2,HYB-b1000000-a0.25,0.4675,0.475,-0.007499999999999951,100,0.9309549137881078,1.0,False
BT-v3,BT-v2,HYB-b1000000-a0.50,0.4675,0.4925,-0.024999999999999967,100,0.4669145695764354,1.0,False
BT-v3,BT-v2,HYB-b1000000-a0.75,0.4675,0.505,-0.03749999999999998,100,0.39860042373197935,1.0,False
BT-v3,BT-v2,HYB-b3000000-a0.50,0.4675,0.5625,-0.09499999999999997,100,0.09292009717257962,1.0,False
