cond,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples
BT-v1,5.0,4.0,5.0,7.0,0.9496448339485085,32.0,12000
BT-v2,5.0,4.0,5.0,17.0,0.9424863940380808,32.0,12000
BT-v3,5.0,4.0,5.0,17.0,0.9344386877387538,32.0,12000
HYB-b1000000-a0.25,6.0,4.0,6.0,17.0,0.9311952797724863,64.0,12000
HYB-b1000000-a0.50,6.0,4.0,6.0,17.0,0.9118251863791665,64.0,12000
HYB-b1000000-a0.75,7.0,4.0,7.0,17.0,0.902434913482969,128.0,12000
HYB-b3000000-a0.50,7.0,4.0,7.0,17.0,0.9114177731640395,128.0,12000
RL-b1000000-a1.00,8.0,5.0,8.0,17.0,0.8982672423692113,256.0,12000
RL-b3000000-a1.00,9.0,5.0,9.0,17.0,0.8934261849783213,511.0,12000
RL-b8000000-a1.00,17.0,5.0,17.0,17.0,0.8937844536141569,7593.0,12000
