[15:22:44] results/es\monitor.html  (6 ckpt evaluated)
[15:25:08] results/es\monitor.html  (8 ckpt evaluated)
[15:26:52] results/es\monitor.html  (9 ckpt evaluated)
[15:27:55] results/es\monitor.html  (9 ckpt evaluated)
[15:28:58] results/es\monitor.html  (9 ckpt evaluated)
[15:29:59] results/es\monitor.html  (9 ckpt evaluated)
[15:31:23] results/es\monitor.html  (10 ckpt evaluated)
[15:32:24] results/es\monitor.html  (10 ckpt evaluated)
[15:33:44] results/es\monitor.html  (11 ckpt evaluated)
[15:34:45] results/es\monitor.html  (11 ckpt evaluated)
[15:35:46] results/es\monitor.html  (11 ckpt evaluated)
[15:37:09] results/es\monitor.html  (12 ckpt evaluated)
[15:38:10] results/es\monitor.html  (12 ckpt evaluated)
[15:39:10] results/es\monitor.html  (12 ckpt evaluated)
[15:40:11] results/es\monitor.html  (12 ckpt evaluated)
[15:41:11] results/es\monitor.html  (12 ckpt evaluated)
