cond,phase,item,situation,answer_bank,answer_g,raw_bank_deg,raw_load_cmd,row_index
BT-v2,학습,1,"상대 거리 737 m, 내 기수에서 우 112° 위 24°, 애스펙트각 132° (0°=내가 상대 후방), 접근률 +57 m/s, 상대보다 -114 m, 내 고도 3885 m, 속도 172 m/s, 내 뱅크 +78°, HP 나 71 / 상대 100, 경과 69 s",우,중간(3–6G),78.08628302074908,1.0,29884
BT-v2,학습,2,"상대 거리 1136 m, 내 기수에서 우 104° 위 17°, 애스펙트각 54° (0°=내가 상대 후방), 접근률 -139 m/s, 상대보다 -22 m, 내 고도 1713 m, 속도 159 m/s, 내 뱅크 +81°, HP 나 89 / 상대 100, 경과 82 s",우,높음(>6G),80.79931392951246,1.0,20396
BT-v2,학습,3,"상대 거리 280 m, 내 기수에서 우 71° 위 9°, 애스펙트각 112° (0°=내가 상대 후방), 접근률 +113 m/s, 상대보다 -3 m, 내 고도 3116 m, 속도 163 m/s, 내 뱅크 +81°, HP 나 100 / 상대 100, 경과 52 s",우,중간(3–6G),82.45541835599512,1.0,9067
BT-v2,학습,4,"상대 거리 1007 m, 내 기수에서 우 127° 위 12°, 애스펙트각 80° (0°=내가 상대 후방), 접근률 -114 m/s, 상대보다 +33 m, 내 고도 565 m, 속도 153 m/s, 내 뱅크 +85°, HP 나 94 / 상대 100, 경과 105 s",우,높음(>6G),84.51004961165029,1.0,2493
BT-v2,학습,5,"상대 거리 1286 m, 내 기수에서 우 93° 위 15°, 애스펙트각 101° (0°=내가 상대 후방), 접근률 +22 m/s, 상대보다 +16 m, 내 고도 1423 m, 속도 158 m/s, 내 뱅크 +81°, HP 나 95 / 상대 100, 경과 106 s",우,높음(>6G),80.61014054023218,1.0,528
BT-v2,학습,6,"상대 거리 944 m, 내 기수에서 우 43° 위 9°, 애스펙트각 124° (0°=내가 상대 후방), 접근률 +219 m/s, 상대보다 +22 m, 내 고도 2578 m, 속도 163 m/s, 내 뱅크 +77°, HP 나 89 / 상대 100, 경과 58 s",우,높음(>6G),77.6215029762099,1.0,20273
BT-v2,학습,7,"상대 거리 754 m, 내 기수에서 우 138° 위 24°, 애스펙트각 128° (0°=내가 상대 후방), 접근률 -12 m/s, 상대보다 -97 m, 내 고도 4275 m, 속도 173 m/s, 내 뱅크 +80°, HP 나 38 / 상대 100, 경과 52 s",우,중간(3–6G),80.15205290587454,1.0,17982
BT-v2,학습,8,"상대 거리 401 m, 내 기수에서 좌 95° 위 10°, 애스펙트각 54° (0°=내가 상대 후방), 접근률 -102 m/s, 상대보다 +28 m, 내 고도 869 m, 속도 155 m/s, 내 뱅크 -85°, HP 나 100 / 상대 100, 경과 117 s",좌,높음(>6G),-84.14591851655976,1.0,8788
BT-v2,학습,9,"상대 거리 469 m, 내 기수에서 우 153° 위 8°, 애스펙트각 53° (0°=내가 상대 후방), 접근률 -252 m/s, 상대보다 -7 m, 내 고도 2961 m, 속도 162 m/s, 내 뱅크 +86°, HP 나 82 / 상대 100, 경과 48 s",우,중간(3–6G),87.02688236440436,1.0,31071
BT-v2,학습,10,"상대 거리 949 m, 내 기수에서 좌 24° 위 4°, 애스펙트각 119° (0°=내가 상대 후방), 접근률 +236 m/s, 상대보다 +45 m, 내 고도 2747 m, 속도 161 m/s, 내 뱅크 -79°, HP 나 100 / 상대 100, 경과 77 s",좌,중간(3–6G),-79.69358575361669,1.0,27083
BT-v2,학습,11,"상대 거리 648 m, 내 기수에서 우 158° 위 5°, 애스펙트각 41° (0°=내가 상대 후방), 접근률 -216 m/s, 상대보다 -84 m, 내 고도 3779 m, 속도 127 m/s, 내 뱅크 +90°, HP 나 92 / 상대 100, 경과 20 s",우,중간(3–6G),88.1174498092981,1.0,19484
BT-v2,학습,12,"상대 거리 1940 m, 내 기수에서 좌 97° 위 19°, 애스펙트각 81° (0°=내가 상대 후방), 접근률 -48 m/s, 상대보다 -200 m, 내 고도 4562 m, 속도 168 m/s, 내 뱅크 -80°, HP 나 100 / 상대 100, 경과 22 s",좌,중간(3–6G),-79.135456568781,1.0,1401
BT-v2,시험,13,"상대 거리 821 m, 내 기수에서 좌 24° 위 5°, 애스펙트각 133° (0°=내가 상대 후방), 접근률 +272 m/s, 상대보다 +24 m, 내 고도 3543 m, 속도 163 m/s, 내 뱅크 -77°, HP 나 100 / 상대 95, 경과 21 s",좌,중간(3–6G),-77.71930376013142,1.0,24523
BT-v2,시험,14,"상대 거리 430 m, 내 기수에서 우 126° 위 16°, 애스펙트각 94° (0°=내가 상대 후방), 접근률 -89 m/s, 상대보다 -60 m, 내 고도 4306 m, 속도 170 m/s, 내 뱅크 +81°, HP 나 72 / 상대 100, 경과 68 s",우,중간(3–6G),82.59700341590361,1.0,12742
BT-v2,시험,15,"상대 거리 1550 m, 내 기수에서 좌 92° 위 18°, 애스펙트각 120° (0°=내가 상대 후방), 접근률 +89 m/s, 상대보다 +42 m, 내 고도 3461 m, 속도 169 m/s, 내 뱅크 -80°, HP 나 68 / 상대 100, 경과 68 s",좌,높음(>6G),-79.1594590113647,1.0,17459
BT-v2,시험,16,"상대 거리 1212 m, 내 기수에서 좌 94° 위 16°, 애스펙트각 80° (0°=내가 상대 후방), 접근률 -36 m/s, 상대보다 -6 m, 내 고도 1200 m, 속도 157 m/s, 내 뱅크 -81°, HP 나 100 / 상대 100, 경과 116 s",좌,높음(>6G),-80.55113373430204,1.0,9987
BT-v2,시험,17,"상대 거리 1415 m, 내 기수에서 좌 71° 위 17°, 애스펙트각 46° (0°=내가 상대 후방), 접근률 -79 m/s, 상대보다 -107 m, 내 고도 3744 m, 속도 173 m/s, 내 뱅크 -77°, HP 나 100 / 상대 80, 경과 16 s",좌,높음(>6G),-76.82598094328438,1.0,29183
