cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family
RL-s1-b300-a1.00,0.785,110.41612499999587,0.06684199745627652,1.9426249999999974,0.79,17.0,5.0,17.0,17.0,0.8981994883402624,2996.0,33946,RL
HYB-s1-b300-a0.75,0.765,107.77549999999599,0.06986717286098039,1.9079999999999977,0.865,17.0,5.0,17.0,17.0,0.8983885670767339,3520.0,31836,Hybrid
HYB-s1-b200-a0.75,0.765,109.92949999999584,0.07256592819240726,1.4503749999999984,0.8525,17.0,17.0,17.0,17.0,0.8815300973757094,2870.0,32433,Hybrid
RL-s1-b200-a1.00,0.7475,112.9603749999957,0.05914570177227414,1.2809999999999986,0.77,17.0,3.0,17.0,17.0,0.9183590402195994,3675.0,33465,RL
RL-s2-b300-a1.00,0.74625,116.21037499999548,0.033456888188505306,0.593375,0.7525,6.0,4.0,6.0,17.0,0.923618598082829,63.0,34197,RL
RL-s0-b300-a1.00,0.72875,117.05562499999544,0.04000593480374728,0.33862499999999995,0.7375,3.0,1.0,3.0,17.0,0.9657879878027142,8.0,35287,RL
RL-s2-b200-a1.00,0.7262500000000001,114.16837499999562,0.04261637918070381,0.9344999999999991,0.735,7.0,3.0,7.0,17.0,0.9258647818832463,119.0,34629,RL
HYB-s2-b100-a0.75,0.71875,109.90749999999585,0.05089198825279191,1.4142499999999985,0.7675,17.0,3.0,17.0,17.0,0.9218864545971219,3216.0,31769,Hybrid
HYB-s2-b200-a0.75,0.71875,109.58487499999588,0.050053835467289524,1.1691249999999986,0.755,17.0,6.0,17.0,17.0,0.8880818893476422,2680.0,32693,Hybrid
HYB-s1-b100-a0.50,0.71,103.22649999999614,0.0945222993379022,1.4062499999999982,0.8675,17.0,4.0,17.0,17.0,0.9109804667737785,2900.0,32431,Hybrid
HYB-s0-b300-a0.75,0.7050000000000001,116.32599999999545,0.04087569888892113,0.3537499999999999,0.7075,6.0,1.0,6.0,17.0,0.9485651676243689,60.0,34471,Hybrid
HYB-s1-b100-a0.75,0.6975,107.24637499999596,0.08074544698093425,1.3526249999999982,0.8075,17.0,3.0,17.0,17.0,0.9214623771911767,2912.0,32824,Hybrid
HYB-s0-b200-a0.75,0.6975,113.04687499999565,0.04780985640472643,0.7504999999999993,0.7525,17.0,1.0,17.0,17.0,0.934617218998436,3168.0,33357,Hybrid
HYB-s1-b300-a0.50,0.6975,104.71312499999607,0.09350834516814316,1.3448749999999983,0.7625,17.0,5.0,17.0,17.0,0.8940247683398411,3357.0,30681,Hybrid
RL-s2-b100-a1.00,0.6950000000000001,109.41712499999588,0.04911529843205102,1.2458749999999985,0.7475,6.0,3.0,6.0,17.0,0.9293113844947402,61.0,32705,RL
RL-s0-b200-a1.00,0.6950000000000001,115.73599999999553,0.03749123415743684,0.7159999999999995,0.7275,4.0,1.0,4.0,17.0,0.952853330877906,16.0,34253,RL
HYB-s1-b200-a0.50,0.6925,104.68624999999608,0.0824876922900864,1.3024999999999984,0.7875,17.0,7.0,17.0,17.0,0.886192608029084,2121.0,31499,Hybrid
HYB-s0-b100-a0.75,0.6925,99.43462499999646,0.09328607277658049,1.681499999999998,0.805,17.0,4.0,17.0,17.0,0.9020401042642746,4238.0,30903,Hybrid
HYB-s1-b300-a0.25,0.67875,102.4003749999962,0.08977148588232349,1.3722499999999982,0.8025,17.0,6.0,17.0,17.0,0.8905273495833478,3250.0,30677,Hybrid
HYB-s1-b100-a0.25,0.67875,104.12124999999611,0.10140920452128849,1.423874999999998,0.835,17.0,5.0,17.0,17.0,0.8933605612828904,2967.0,31830,Hybrid
HYB-s2-b300-a0.75,0.67625,117.00124999999545,0.03425930096155663,0.42400000000000004,0.68,10.0,3.0,10.0,17.0,0.9233124802108807,619.0,34955,Hybrid
HYB-s2-b100-a0.50,0.6725,103.68449999999609,0.06957474129339368,1.2488749999999984,0.7825,7.0,3.0,7.0,17.0,0.9397377101363849,112.0,33191,Hybrid
BT-v2,0.67125,101.60124999999621,0.10049144181910204,1.493624999999998,0.8425,4.0,2.0,4.0,17.0,0.9523549886447117,16.0,31978,BT
HYB-s2-b100-a0.25,0.66875,104.46062499999607,0.08378129746908239,1.331624999999998,0.8125,17.0,3.0,17.0,17.0,0.9255286502486609,3000.0,30911,Hybrid
HYB-s0-b100-a0.50,0.6625,94.40149999999662,0.11563451023063352,1.340374999999998,0.7875,17.0,4.0,17.0,17.0,0.9084446090236644,4378.0,27302,Hybrid
HYB-s0-b0-a0.25,0.6575,101.8398749999962,0.10332516588051473,1.5021249999999982,0.83,5.0,2.0,5.0,17.0,0.9497840808309042,32.0,30881,Hybrid
HYB-s1-b200-a0.25,0.655,105.11762499999605,0.08463911630422988,1.3141249999999984,0.7925,17.0,4.0,17.0,17.0,0.9109033112879306,2862.0,31662,Hybrid
RL-s1-b100-a1.00,0.6475,108.6363749999959,0.06581449935405084,1.0409999999999986,0.7475,15.0,2.0,15.0,17.0,0.9259358984729622,2823.0,32497,RL
HYB-s0-b100-a0.25,0.645,101.09074999999626,0.09841385559004719,1.5087499999999978,0.8325,17.0,3.0,17.0,17.0,0.9223386487017194,3238.0,30964,Hybrid
HYB-s0-b300-a0.25,0.63875,106.76099999999593,0.07186711130042198,1.1134999999999986,0.7475,5.0,2.0,5.0,17.0,0.9475766836102352,32.0,33372,Hybrid
RL-s0-b0-a1.00,0.6387499999999999,105.08612499999609,0.09556612407754006,1.4877499999999984,0.84,2.0,1.0,2.0,17.0,0.9749631399800442,4.0,31100,RL
HYB-s2-b200-a0.25,0.63625,101.86474999999618,0.0781857594367423,1.0638749999999988,0.7275,17.0,4.0,17.0,17.0,0.9145507670021324,3155.0,29963,Hybrid
HYB-s0-b0-a0.50,0.63625,105.26062499999605,0.0955079137082866,1.4869999999999979,0.8275,3.0,1.0,3.0,17.0,0.9677290751298626,8.0,30177,Hybrid
RL-s0-b100-a1.00,0.6325,97.24637499999656,0.12945023650889725,1.5942499999999982,0.815,8.0,3.0,8.0,17.0,0.9204671500785542,215.0,29091,RL
HYB-s2-b200-a0.50,0.62625,105.35912499999598,0.06330167648550866,0.7994999999999991,0.685,17.0,4.0,17.0,17.0,0.9129101854075468,3710.0,30590,Hybrid
HYB-s0-b200-a0.50,0.625,106.24587499999596,0.06031257995035694,0.7947499999999992,0.7,11.0,4.0,11.0,17.0,0.9044512892323534,730.0,30794,Hybrid
HYB-s2-b300-a0.50,0.62375,104.36837499999599,0.05831076938267679,0.4158749999999998,0.6525,17.0,4.0,17.0,17.0,0.9045914203631876,3737.0,28721,Hybrid
HYB-s0-b300-a0.50,0.62125,108.63124999999582,0.05664501840426316,0.5098749999999996,0.6425,6.0,3.0,6.0,17.0,0.9360953472580681,63.0,32079,Hybrid
HYB-s0-b0-a0.75,0.62,104.54687499999609,0.09633652872139783,1.4192499999999983,0.8075,3.0,1.0,3.0,17.0,0.9669414511098692,8.0,30583,Hybrid
