cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family,train_seed,budget,alpha,bt_version,d_star_common,d_star_090_common,d_star_099_common,f4_common,coverage_entropy,coverage_std
RL-s9-b100-a1.00,0.84625,100.70587499999638,0.1372384506005456,2.3607499999999964,0.9775,6.0,2.0,6.0,17.0,0.9439743980434212,60.0,30125,RL,9,100,1.0,-1,4.0,1.0,17.0,0.9586932860205052,0.6292871980696138,0.2322634172234521
HYB-s10-b300-a0.75,0.8225,98.93524999999649,0.0754181440466008,2.0242499999999977,0.865,17.0,5.0,17.0,17.0,0.8865393178123838,5263.0,29226,Hybrid,10,300,0.75,-1,17.0,7.0,17.0,0.8337203491420816,0.7031991623266312,0.2694035030516309
HYB-s9-b100-a0.75,0.81375,102.35749999999628,0.1305670297958765,2.149749999999997,0.99,17.0,4.0,17.0,17.0,0.9086023700166072,3244.0,31622,Hybrid,9,100,0.75,-1,17.0,1.0,17.0,0.9417268482015366,0.6556607695882458,0.2433316656519446
HYB-s12-b300-a0.75,0.80125,104.2511249999962,0.05514275241734,2.175874999999997,0.8575,17.0,6.0,17.0,17.0,0.8875001259520536,3222.0,31270,Hybrid,12,300,0.75,-1,17.0,5.0,17.0,0.8859708793311292,0.6361712021565851,0.2397827425418215
RL-s1-b300-a1.00,0.785,110.41612499999589,0.0668419974562765,1.9426249999999972,0.79,17.0,5.0,17.0,17.0,0.8981994883402624,2996.0,33946,RL,1,300,1.0,-1,17.0,5.0,17.0,0.8976781624648136,0.6527122688322599,0.2451195465196974
RL-s11-b300-a1.00,0.77625,116.2909999999955,0.0486327190952883,0.9619999999999992,0.8325,3.0,2.0,3.0,17.0,0.9618636105087348,8.0,33975,RL,11,300,1.0,-1,9.0,4.0,17.0,0.9162010993059044,0.6319284359777754,0.2267653479909051
RL-s10-b300-a1.00,0.77,103.06699999999624,0.0848616134932432,1.6999999999999984,0.8125,17.0,5.0,17.0,17.0,0.8911391693827496,4150.0,29785,RL,10,300,1.0,-1,17.0,7.0,17.0,0.8160009593649654,0.691967348804772,0.2627957522986412
RL-s12-b300-a1.00,0.76875,112.70312499999572,0.0510700614416768,1.702249999999998,0.8375,8.0,4.0,8.0,17.0,0.9056624869893762,204.0,32583,RL,12,300,1.0,-1,17.0,8.0,17.0,0.8459797032451107,0.6362842855337522,0.2480545055380244
HYB-s1-b300-a0.75,0.765,107.775499999996,0.0698671728609803,1.9079999999999977,0.865,17.0,5.0,17.0,17.0,0.8983885670767339,3520.0,31836,Hybrid,1,300,0.75,-1,17.0,5.0,17.0,0.8972936028352072,0.6409526949775365,0.2322604063837114
HYB-s1-b200-a0.75,0.765,109.92949999999584,0.0725659281924072,1.4503749999999984,0.8525,17.0,17.0,17.0,17.0,0.8815300973757094,2870.0,32433,Hybrid,1,200,0.75,-1,17.0,4.0,17.0,0.9026047594070742,0.643098306097385,0.2368918077566519
HYB-s4-b300-a0.75,0.76125,112.07412499999572,0.0480316475086783,1.0187499999999992,0.785,17.0,3.0,17.0,17.0,0.9180979216647908,5554.0,34243,Hybrid,4,300,0.75,-1,17.0,5.0,17.0,0.8846191427985681,0.6782562225850365,0.2405550000024102
HYB-s10-b300-a0.50,0.75625,101.9652499999962,0.0746360498668472,1.3971249999999984,0.8075,17.0,5.0,17.0,17.0,0.8892632250201309,3750.0,30696,Hybrid,10,300,0.5,-1,17.0,6.0,17.0,0.857706729814047,0.6903022806053265,0.2450059336378457
RL-s4-b300-a1.00,0.755,114.6563749999956,0.0387349762404476,0.8699999999999994,0.7625,5.0,2.0,5.0,17.0,0.9449104162582058,32.0,35346,RL,4,300,1.0,-1,17.0,5.0,17.0,0.8919443288023341,0.6705502402660246,0.2707124295332352
HYB-s5-b100-a0.75,0.7525,113.66412499999566,0.0620257169314335,1.1367499999999988,0.8125,17.0,3.0,17.0,17.0,0.9160447640529228,3502.0,33453,Hybrid,5,100,0.75,-1,17.0,4.0,17.0,0.9155711375344052,0.6629088920433461,0.2325583864663324
HYB-s11-b300-a0.75,0.7525,114.0076249999956,0.05459856724184,0.994624999999999,0.8125,17.0,2.0,17.0,17.0,0.9291259469457938,3342.0,33891,Hybrid,11,300,0.75,-1,17.0,4.0,17.0,0.9091519350263928,0.6441228949605657,0.2280992544084301
RL-s19-b300-a1.00,0.74875,116.41212499999548,0.0449338359014846,0.8291249999999994,0.7975,5.0,2.0,5.0,17.0,0.9383493736815552,32.0,35146,RL,19,300,1.0,-1,17.0,5.0,17.0,0.8858368994882773,0.6726540885176094,0.2406803985342872
HYB-s4-b200-a0.75,0.7475,105.72812499999613,0.0796290627980812,1.520249999999998,0.82,17.0,3.0,17.0,17.0,0.9258664907430826,4984.0,31214,Hybrid,4,200,0.75,-1,17.0,3.0,17.0,0.9127383206299412,0.6828627791492666,0.245575736124114
RL-s10-b200-a1.00,0.7475,114.57912499999556,0.0352175848621703,0.8411250000000001,0.75,17.0,4.0,17.0,17.0,0.9182646793858072,4326.0,33523,RL,10,200,1.0,-1,17.0,17.0,17.0,0.7735598222216946,0.6923917642763234,0.2501538298555522
RL-s1-b200-a1.00,0.7475,112.9603749999957,0.0591457017722741,1.2809999999999986,0.77,17.0,3.0,17.0,17.0,0.9183590402195994,3675.0,33465,RL,1,200,1.0,-1,17.0,5.0,17.0,0.8996909387924824,0.6571518519424511,0.2528644130772869
RL-s6-b300-a1.00,0.7462500000000001,117.15949999999545,0.0330556909050671,0.562125,0.765,5.0,2.0,5.0,17.0,0.9470774548307748,32.0,35436,RL,6,300,1.0,-1,17.0,6.0,17.0,0.8632904352665777,0.6557012015932684,0.2577801883475022
RL-s2-b300-a1.00,0.74625,116.21037499999548,0.0334568881885053,0.593375,0.7525,6.0,4.0,6.0,17.0,0.923618598082829,63.0,34197,RL,2,300,1.0,-1,17.0,6.0,17.0,0.8493077868542828,0.6782257850007152,0.2370438678880016
HYB-s15-b300-a0.75,0.745,111.74787499999576,0.0510463813172172,1.004374999999999,0.7725,5.0,1.0,5.0,17.0,0.9499631010943024,32.0,33905,Hybrid,15,300,0.75,-1,17.0,3.0,17.0,0.9244093798262836,0.6404582789087959,0.2278507324168932
HYB-s10-b200-a0.75,0.7437499999999999,116.83674999999546,0.0313148440456067,0.7177500000000001,0.7575,17.0,4.0,17.0,17.0,0.9158593973203,5235.0,35203,Hybrid,10,200,0.75,-1,17.0,17.0,17.0,0.8183778283157885,0.6681863768935001,0.2393332428325888
HYB-s14-b300-a0.75,0.7424999999999999,110.58049999999582,0.1028052095130853,1.3444999999999985,0.8075,17.0,5.0,17.0,17.0,0.8999068143990927,5007.0,33678,Hybrid,14,300,0.75,-1,17.0,5.0,17.0,0.898131411877465,0.6581840872420425,0.2141600959482658
HYB-s6-b300-a0.75,0.73875,116.75312499999546,0.0366753106608235,0.6322499999999998,0.755,6.0,2.0,6.0,17.0,0.9352908935611236,64.0,35297,Hybrid,6,300,0.75,-1,17.0,6.0,17.0,0.8736427909558273,0.6751054303830571,0.2455752896602068
