opponent,cond_a,cond_b,mean_a,mean_b,diff,n,p_raw,p_holm,significant
BT-v2,BT-v1,BT-v2,0.25,0.5,-0.25,100,8.638747650492352e-16,1.4642677267584536e-12,True
BT-v2,BT-v1,BT-v3,0.25,0.1575,0.0925,100,0.002512511718253933,1.0,False
BT-v2,BT-v1,HYB-s0-b0-a0.25,0.25,0.485,-0.235,100,3.3416653379851446e-12,5.460281162267726e-09,True
BT-v2,BT-v1,HYB-s0-b0-a0.50,0.25,0.445,-0.195,100,7.00508593905317e-09,1.0633720455482712e-05,True
BT-v2,BT-v1,HYB-s0-b0-a0.75,0.25,0.4325,-0.1825,100,1.1830303048300864e-08,1.78400969968377e-05,True
BT-v2,BT-v1,HYB-s0-b100-a0.25,0.25,0.4575,-0.20750000000000002,100,1.1498468772702142e-07,0.0001669577665796351,True
BT-v2,BT-v1,HYB-s0-b100-a0.50,0.25,0.5375,-0.2875,100,3.140575145441775e-10,4.987233330961539e-07,True
BT-v2,BT-v1,HYB-s0-b100-a0.75,0.25,0.58,-0.32999999999999996,100,3.4009567174115553e-13,5.621781453881301e-10,True
BT-v2,BT-v1,HYB-s0-b200-a0.25,0.25,0.51,-0.26,100,1.5520424956657648e-13,2.5748385003095037e-10,True
BT-v2,BT-v1,HYB-s0-b200-a0.50,0.25,0.55,-0.30000000000000004,100,3.306669096418574e-16,5.641177478490087e-13,True
BT-v2,BT-v1,HYB-s0-b200-a0.75,0.25,0.6425,-0.39249999999999996,100,4.157733133257224e-17,7.213666986201284e-14,True
BT-v2,BT-v1,HYB-s0-b300-a0.25,0.25,0.53,-0.28,100,4.102142572255398e-15,6.8957016639613235e-12,True
BT-v2,BT-v1,HYB-s0-b300-a0.50,0.25,0.6,-0.35,100,8.625116823764427e-17,1.4835200936874815e-13,True
BT-v2,BT-v1,HYB-s0-b300-a0.75,0.25,0.7025,-0.4525,100,2.2002132005353152e-17,3.8349716085330544e-14,True
BT-v2,BT-v1,HYB-s1-b100-a0.25,0.25,0.5225,-0.27249999999999996,100,4.5824164642320654e-14,7.629723412946389e-11,True
BT-v2,BT-v1,HYB-s1-b100-a0.50,0.25,0.5525,-0.3025,100,3.3705680269374956e-14,5.6221074689317425e-11,True
BT-v2,BT-v1,HYB-s1-b100-a0.75,0.25,0.5875,-0.3375,100,1.6514417856535828e-15,2.7925880595402084e-12,True
BT-v2,BT-v1,HYB-s1-b200-a0.25,0.25,0.5175,-0.26749999999999996,100,4.921590364630103e-12,8.032035475076329e-09,True
BT-v2,BT-v1,HYB-s1-b200-a0.50,0.25,0.5975,-0.34750000000000003,100,2.124297038780181e-15,3.5815648073833854e-12,True
