cond,d1,d2,f1,f2,s_even,s_odd
RL-s9-b100-a1.00,5.0,17.0,0.9399776137081804,0.9267689113484738,0.8725,0.82
HYB-s10-b300-a0.75,17.0,17.0,0.9149924706619635,0.8576850588997749,0.8075,0.8375
HYB-s9-b100-a0.75,17.0,17.0,0.9255954056794631,0.8494598099046509,0.8225,0.805
HYB-s12-b300-a0.75,17.0,17.0,0.8913833354520637,0.8705061752430759,0.7875,0.815
RL-s1-b300-a1.00,17.0,17.0,0.9220636428873332,0.8843904015385007,0.795,0.775
RL-s11-b300-a1.00,3.0,3.0,0.9663664874057223,0.9590048157315009,0.775,0.7775
RL-s10-b300-a1.00,10.0,17.0,0.9108493228601935,0.865454941648435,0.75,0.79
RL-s12-b300-a1.00,17.0,17.0,0.894586065339437,0.8971234055532257,0.765,0.7725
HYB-s1-b300-a0.75,17.0,17.0,0.8994325698466065,0.851379686257346,0.77,0.76
HYB-s1-b200-a0.75,17.0,17.0,0.9040683067745582,0.871804804029924,0.775,0.755
HYB-s4-b300-a0.75,17.0,17.0,0.9157942735385176,0.9142581118975226,0.75,0.7725
HYB-s10-b300-a0.50,17.0,17.0,0.8901212422294779,0.8963472671501129,0.775,0.7375
RL-s4-b300-a1.00,4.0,5.0,0.9530221428449333,0.9458763503913724,0.745,0.765
HYB-s5-b100-a0.75,17.0,17.0,0.9135727879393144,0.9129384256627804,0.745,0.76
HYB-s11-b300-a0.75,17.0,17.0,0.9026549259576563,0.9064644173991145,0.7225,0.7825
RL-s19-b300-a1.00,5.0,9.0,0.9497872227772305,0.9347374464535252,0.7525,0.745
HYB-s4-b200-a0.75,17.0,17.0,0.8929577606114598,0.9178487253412552,0.7275,0.7675
RL-s10-b200-a1.00,17.0,17.0,0.9140927058226659,0.9284755351107886,0.75,0.745
RL-s1-b200-a1.00,17.0,17.0,0.941974244695655,0.9035348158902622,0.7575,0.7375
RL-s6-b300-a1.00,4.0,4.0,0.9505355387407504,0.9521605106156021,0.7675,0.725
RL-s2-b300-a1.00,6.0,17.0,0.9175061547041677,0.9078937369784928,0.755,0.7375
HYB-s15-b300-a0.75,4.0,17.0,0.9598900641777551,0.9319084152728114,0.7375,0.7525
HYB-s10-b200-a0.75,17.0,17.0,0.9113922229344174,0.9223197879231815,0.7275,0.76
HYB-s14-b300-a0.75,17.0,17.0,0.9013321478325989,0.8926954108091231,0.755,0.73
HYB-s6-b300-a0.75,17.0,5.0,0.9397235122113133,0.9491854490109835,0.7375,0.74
RL-s4-b200-a1.00,4.0,17.0,0.957014534012917,0.9105884126043051,0.715,0.76
RL-s17-b200-a1.00,8.0,5.0,0.9256635396990035,0.9394746431606751,0.735,0.7375
HYB-s9-b100-a0.50,17.0,17.0,0.9484348877125052,0.8930908519960479,0.7175,0.75
RL-s3-b300-a1.00,17.0,17.0,0.9243389671991121,0.9183544571126733,0.7325,0.7325
RL-s5-b100-a1.00,6.0,17.0,0.9282709989389621,0.9190493557095856,0.71,0.755
HYB-s19-b300-a0.75,17.0,17.0,0.9157938018158974,0.9079131422506281,0.7425,0.7175
RL-s9-b200-a1.00,17.0,17.0,0.928798723307603,0.9196938743351378,0.72,0.74
HYB-s16-b100-a0.75,17.0,17.0,0.9050218544828189,0.9266145210566722,0.725,0.7325
RL-s0-b300-a1.00,3.0,3.0,0.9736452527065456,0.9581007912943765,0.7275,0.73
HYB-s5-b100-a0.50,17.0,17.0,0.9279370634989347,0.9046909385338543,0.73,0.725
RL-s2-b200-a1.00,15.0,8.0,0.9205819420663689,0.9170834874781132,0.7225,0.73
RL-s15-b300-a1.00,4.0,6.0,0.9594503701153655,0.942193650531125,0.72,0.725
RL-s9-b300-a1.00,5.0,4.0,0.9434146713342666,0.9500562309528466,0.72,0.7225
HYB-s2-b200-a0.75,17.0,17.0,0.8965088388062042,0.8865266428830724,0.705,0.7325
HYB-s2-b100-a0.75,17.0,17.0,0.9028400028820343,0.9085665410007957,0.6975,0.74
HYB-s12-b200-a0.75,17.0,17.0,0.8940579770333242,0.8778505716055167,0.7,0.735
HYB-s15-b100-a0.75,17.0,17.0,0.925658489798997,0.8861556158666964,0.695,0.74
HYB-s16-b200-a0.75,17.0,17.0,0.9120812586708431,0.9117483646598276,0.715,0.7175
HYB-s17-b200-a0.75,13.0,17.0,0.9248487840883202,0.8952541715288925,0.6925,0.7375
HYB-s16-b300-a0.75,17.0,17.0,0.896403757138446,0.9012293209504345,0.705,0.725
RL-s15-b100-a1.00,5.0,5.0,0.9438167800879046,0.9362758396562533,0.7225,0.705
HYB-s6-b200-a0.75,5.0,17.0,0.9418642747805709,0.9220269277573093,0.7325,0.6925
RL-s14-b200-a1.00,11.0,17.0,0.9111343153384438,0.8942134531416196,0.7,0.725
HYB-s1-b100-a0.50,17.0,17.0,0.9118360006465029,0.9063574499515913,0.715,0.705
HYB-s14-b300-a0.50,17.0,17.0,0.900020012193125,0.8752913979904917,0.71,0.705
HYB-s0-b300-a0.75,5.0,17.0,0.938154114333359,0.936913908020596,0.6925,0.7175
HYB-s13-b300-a0.75,17.0,17.0,0.895450397326315,0.9037423171551701,0.685,0.725
RL-s14-b300-a1.00,6.0,17.0,0.9337459721623559,0.8879017232332614,0.715,0.6925
RL-s3-b200-a1.00,5.0,6.0,0.9438640973142529,0.9356933220908107,0.7025,0.6975
HYB-s12-b300-a0.50,17.0,17.0,0.86091428419714,0.8883427348600836,0.7025,0.6975
HYB-s17-b300-a0.75,17.0,17.0,0.9163944529896458,0.9260405844788019,0.6875,0.7125
HYB-s1-b100-a0.75,17.0,17.0,0.9300615086787952,0.9096867004937571,0.7025,0.6925
HYB-s13-b100-a0.75,17.0,17.0,0.9357094392241841,0.9129533942061554,0.705,0.69
HYB-s0-b200-a0.75,17.0,17.0,0.9313781035624007,0.9286162622764493,0.68,0.715
HYB-s1-b300-a0.50,17.0,17.0,0.9190460949987692,0.8714626758806147,0.6975,0.6975
HYB-s9-b300-a0.75,17.0,17.0,0.9059319546150331,0.913948688656592,0.7,0.6925
RL-s5-b300-a1.00,4.0,5.0,0.9531767031068615,0.9364522177088973,0.6825,0.71
RL-s0-b200-a1.00,4.0,4.0,0.959839848483285,0.9518467531109532,0.6675,0.7225
RL-s2-b100-a1.00,5.0,17.0,0.9337887742848111,0.9311881438786358,0.7075,0.6825
HYB-s9-b100-a0.25,17.0,17.0,0.883127654745823,0.8970229478222657,0.7,0.6875
HYB-s1-b200-a0.50,17.0,17.0,0.9141448054264775,0.8939380680788198,0.6925,0.6925
RL-s13-b100-a1.00,6.0,5.0,0.9182525743689723,0.9465400327178809,0.6775,0.7075
HYB-s0-b100-a0.75,17.0,17.0,0.9023172161559798,0.8905937111000825,0.68,0.705
HYB-s5-b200-a0.75,17.0,17.0,0.9157628292373368,0.9036986528222197,0.69,0.6925
HYB-s12-b100-a0.75,17.0,17.0,0.9236715666873726,0.9243894338013351,0.675,0.7075
HYB-s10-b300-a0.25,17.0,17.0,0.8968896621284124,0.9010088037243664,0.695,0.6875
RL-s5-b200-a1.00,5.0,6.0,0.935848261529424,0.9179928333136684,0.7075,0.675
HYB-s10-b100-a0.75,17.0,17.0,0.8793458953123823,0.8798978259738797,0.6825,0.6975
RL-s17-b300-a1.00,4.0,4.0,0.9637171888219024,0.9624652277428222,0.6825,0.695
HYB-s17-b100-a0.50,17.0,17.0,0.9161170420421705,0.8840616579823803,0.69,0.6875
HYB-s5-b300-a0.75,17.0,17.0,0.8966819725141195,0.91351884933908,0.68,0.695
RL-s11-b100-a1.00,5.0,17.0,0.9374997277512944,0.9162682182533395,0.68,0.6925
HYB-s14-b200-a0.75,17.0,17.0,0.8879972124787985,0.8956274548511421,0.6625,0.7075
RL-s13-b300-a1.00,11.0,17.0,0.8943800198145224,0.9035850746380782,0.6625,0.705
