cond,kill_win,timeout,wez,duration,dmg,family,score,d_star,fidelity_at_4,budget,cluster
RL-s0-b300-a1.00,0.0075,0.9625,0.33862499999999995,117.05562499999546,8.465625,RL,0.72875,3.0,0.9657879878027142,300,C1
RL-s1-b300-a1.00,0.335,0.6025,1.9426249999999976,110.41612499999586,48.565625,RL,0.785,17.0,0.8981994883402624,300,C3
RL-s10-b300-a1.00,0.2575,0.635,1.6999999999999984,103.06699999999624,42.5,RL,0.77,17.0,0.8911391693827496,300,C2
RL-s11-b300-a1.00,0.1125,0.8625,0.9619999999999992,116.29099999999553,24.05,RL,0.77625,3.0,0.9618636105087348,300,C1
RL-s12-b300-a1.00,0.2425,0.715,1.7022499999999983,112.70312499999572,42.55625,RL,0.76875,8.0,0.9056624869893762,300,C3
RL-s13-b300-a1.00,0.0125,0.915,0.534,115.46512499999555,13.35,RL,0.6837500000000001,9.0,0.8972071485302056,300,C1
RL-s14-b300-a1.00,0.235,0.67,1.2897499999999986,108.95137499999593,32.24375,RL,0.70375,11.0,0.8996333329175231,300,C2
RL-s15-b300-a1.00,0.0725,0.8725,0.7671249999999994,114.9402499999956,19.178125,RL,0.7224999999999999,4.0,0.9581204167113078,300,C1
RL-s16-b300-a1.00,0.09,0.8225,0.7461249999999994,112.7701249999957,18.653125,RL,0.62625,17.0,0.8991041823480044,300,C1
RL-s17-b300-a1.00,0.0375,0.895,0.5287499999999998,115.12624999999558,13.21875,RL,0.68875,4.0,0.9591758481958844,300,C1
RL-s18-b300-a1.00,0.02,0.925,0.4501249999999999,114.19074999999562,11.253125,RL,0.5974999999999999,9.0,0.932946122094987,300,C1
RL-s19-b300-a1.00,0.07,0.8825,0.8291249999999996,116.41212499999553,20.728125,RL,0.74875,5.0,0.9383493736815552,300,C1
RL-s2-b300-a1.00,0.0125,0.9275,0.593375,116.21037499999551,14.834375,RL,0.74625,6.0,0.923618598082829,300,C1
RL-s3-b300-a1.00,0.0325,0.9225,0.6156249999999999,114.34874999999562,15.390625,RL,0.7325,6.0,0.9314722870402548,300,C1
RL-s4-b300-a1.00,0.0975,0.8525,0.8699999999999993,114.6563749999956,21.75,RL,0.755,5.0,0.9449104162582058,300,C1
RL-s5-b300-a1.00,0.01,0.9575,0.527875,117.12412499999546,13.196875,RL,0.69625,5.0,0.9440381768284404,300,C1
RL-s6-b300-a1.00,0.02,0.935,0.5621249999999999,117.15949999999548,14.053125,RL,0.7462500000000001,5.0,0.9470774548307748,300,C1
RL-s7-b300-a1.00,0.055,0.91,0.5713749999999996,116.72912499999548,14.284375,RL,0.6825,7.0,0.9105768669969456,300,C1
RL-s8-b300-a1.00,0.0075,0.9575,0.338125,116.26474999999549,8.453125,RL,0.6425000000000001,7.0,0.9101923367475904,300,C1
RL-s9-b300-a1.00,0.045,0.91,0.6476249999999998,114.75249999999559,16.190625,RL,0.72125,4.0,0.952744750518804,300,C1
