cond,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples
BT-v1,1.0,1.0,1.0,3.0,0.995244845451407,2.0,28033
BT-v2,4.0,2.0,4.0,17.0,0.9523549886447117,16.0,31978
BT-v3,5.0,3.0,5.0,17.0,0.9402036139137073,28.0,31234
BTO-s0-b100,3.0,3.0,3.0,17.0,0.9608680824605718,8.0,32287
BTO-s0-b200,4.0,3.0,4.0,17.0,0.956316709852643,16.0,32468
BTO-s0-b300,5.0,3.0,5.0,17.0,0.9464720178901376,30.0,31096
BTO-s1-b100,3.0,3.0,3.0,17.0,0.9732194205430335,8.0,31043
BTO-s1-b200,3.0,3.0,3.0,17.0,0.9676053900736874,8.0,31994
BTO-s1-b300,3.0,3.0,3.0,17.0,0.96784459239109,8.0,32558
BTO-s2-b100,3.0,3.0,3.0,17.0,0.9800987506546895,8.0,32699
BTO-s2-b200,3.0,3.0,3.0,6.0,0.9844303195997993,8.0,30741
BTO-s2-b300,3.0,3.0,3.0,17.0,0.9780720611892694,8.0,31317
HYB-s0-b0-a0.25,5.0,2.0,5.0,17.0,0.9497840808309042,32.0,30881
HYB-s0-b0-a0.50,3.0,1.0,3.0,17.0,0.9677290751298626,8.0,30177
HYB-s0-b0-a0.75,3.0,1.0,3.0,17.0,0.9669414511098692,8.0,30583
HYB-s0-b100-a0.25,17.0,3.0,17.0,17.0,0.9223386487017194,3238.0,30964
HYB-s0-b100-a0.50,17.0,4.0,17.0,17.0,0.9084446090236644,4378.0,27302
HYB-s0-b100-a0.75,17.0,4.0,17.0,17.0,0.9020401042642746,4238.0,30903
HYB-s0-b200-a0.25,5.0,3.0,5.0,17.0,0.9320590267024785,32.0,30946
HYB-s0-b200-a0.50,11.0,4.0,11.0,17.0,0.9044512892323534,730.0,30794
HYB-s0-b200-a0.75,17.0,1.0,17.0,17.0,0.934617218998436,3168.0,33357
HYB-s0-b300-a0.25,5.0,2.0,5.0,17.0,0.9475766836102352,32.0,33372
HYB-s0-b300-a0.50,6.0,3.0,6.0,17.0,0.9360953472580681,63.0,32079
HYB-s0-b300-a0.75,6.0,1.0,6.0,17.0,0.9485651676243689,60.0,34471
HYB-s1-b100-a0.25,17.0,5.0,17.0,17.0,0.8933605612828904,2967.0,31830
HYB-s1-b100-a0.50,17.0,4.0,17.0,17.0,0.9109804667737785,2900.0,32431
HYB-s1-b100-a0.75,17.0,3.0,17.0,17.0,0.9214623771911767,2912.0,32824
HYB-s1-b200-a0.25,17.0,4.0,17.0,17.0,0.9109033112879306,2862.0,31662
HYB-s1-b200-a0.50,17.0,7.0,17.0,17.0,0.886192608029084,2121.0,31499
HYB-s1-b200-a0.75,17.0,17.0,17.0,17.0,0.8815300973757094,2870.0,32433
HYB-s1-b300-a0.25,17.0,6.0,17.0,17.0,0.8905273495833478,3250.0,30677
HYB-s1-b300-a0.50,17.0,5.0,17.0,17.0,0.8940247683398411,3357.0,30681
HYB-s1-b300-a0.75,17.0,5.0,17.0,17.0,0.8983885670767339,3520.0,31836
HYB-s10-b100-a0.25,17.0,3.0,17.0,17.0,0.9211928523781558,3335.0,30491
HYB-s10-b100-a0.50,17.0,4.0,17.0,17.0,0.9209428301907665,3935.0,32444
HYB-s10-b100-a0.75,17.0,6.0,17.0,17.0,0.8817261512216817,4459.0,34667
HYB-s10-b200-a0.25,17.0,6.0,17.0,17.0,0.8984250355568799,4381.0,31072
HYB-s10-b200-a0.50,17.0,5.0,17.0,17.0,0.897978092450472,4316.0,30091
HYB-s10-b200-a0.75,17.0,4.0,17.0,17.0,0.9158593973203001,5235.0,35203
HYB-s10-b300-a0.25,17.0,5.0,17.0,17.0,0.8959885447280388,3138.0,29051
HYB-s10-b300-a0.50,17.0,5.0,17.0,17.0,0.8892632250201309,3750.0,30696
HYB-s10-b300-a0.75,17.0,5.0,17.0,17.0,0.8865393178123838,5263.0,29226
HYB-s11-b100-a0.25,17.0,4.0,17.0,17.0,0.9106323640136172,3515.0,31481
HYB-s11-b100-a0.50,17.0,4.0,17.0,17.0,0.9054835834024214,3896.0,31244
HYB-s11-b100-a0.75,17.0,5.0,17.0,17.0,0.8989680069001317,3858.0,31698
HYB-s11-b200-a0.25,17.0,3.0,17.0,17.0,0.9341478181192793,5302.0,33521
HYB-s11-b200-a0.50,17.0,6.0,17.0,17.0,0.886470610840587,6025.0,32016
HYB-s11-b200-a0.75,17.0,3.0,17.0,17.0,0.9102399490618329,3636.0,33232
HYB-s11-b300-a0.25,17.0,6.0,17.0,17.0,0.8868742929728278,2385.0,31327
HYB-s11-b300-a0.50,17.0,3.0,17.0,17.0,0.9222306504764438,3841.0,29519
HYB-s11-b300-a0.75,17.0,2.0,17.0,17.0,0.9291259469457938,3342.0,33891
HYB-s12-b100-a0.25,17.0,3.0,17.0,17.0,0.9192079409554064,3368.0,31133
HYB-s12-b100-a0.50,17.0,4.0,17.0,17.0,0.9057744666113735,3265.0,30333
HYB-s12-b100-a0.75,8.0,1.0,8.0,17.0,0.9358990673579031,202.0,33896
HYB-s12-b200-a0.25,17.0,4.0,17.0,17.0,0.9012115308474477,3302.0,31908
HYB-s12-b200-a0.50,17.0,4.0,17.0,17.0,0.9002204443464218,4592.0,33172
HYB-s12-b200-a0.75,17.0,4.0,17.0,17.0,0.902995653726031,3303.0,33563
HYB-s12-b300-a0.25,17.0,4.0,17.0,17.0,0.9093341579936259,3163.0,33474
HYB-s12-b300-a0.50,17.0,4.0,17.0,17.0,0.9047625606308507,3612.0,32284
HYB-s12-b300-a0.75,17.0,6.0,17.0,17.0,0.8875001259520536,3222.0,31270
HYB-s13-b100-a0.25,17.0,3.0,17.0,17.0,0.9371902710636659,3450.0,32944
HYB-s13-b100-a0.50,9.0,4.0,9.0,17.0,0.9237582388381028,362.0,33418
HYB-s13-b100-a0.75,10.0,3.0,10.0,17.0,0.9177330983576987,590.0,34060
HYB-s13-b200-a0.25,7.0,3.0,7.0,17.0,0.9376037009682616,114.0,32728
HYB-s13-b200-a0.50,17.0,3.0,17.0,17.0,0.9276092133811668,4207.0,33104
HYB-s13-b200-a0.75,8.0,3.0,8.0,17.0,0.9197667478858973,213.0,34383
HYB-s13-b300-a0.25,5.0,3.0,5.0,17.0,0.9334090093665501,32.0,31200
HYB-s13-b300-a0.50,6.0,4.0,6.0,17.0,0.9218151514976178,63.0,32442
HYB-s13-b300-a0.75,17.0,4.0,17.0,17.0,0.9138826220140678,4287.0,34615
HYB-s14-b100-a0.25,17.0,3.0,17.0,17.0,0.9244037361721964,3764.0,31701
HYB-s14-b100-a0.50,17.0,4.0,17.0,17.0,0.9077792371424245,3671.0,33211
HYB-s14-b100-a0.75,17.0,3.0,17.0,17.0,0.9261568225989585,4319.0,33896
HYB-s14-b200-a0.25,17.0,4.0,17.0,17.0,0.9161417778160669,4625.0,31617
HYB-s14-b200-a0.50,17.0,5.0,17.0,17.0,0.8975016413692503,3585.0,31922
HYB-s14-b200-a0.75,17.0,5.0,17.0,17.0,0.8956950824138111,4765.0,32948
HYB-s14-b300-a0.25,17.0,5.0,17.0,17.0,0.8951340609645729,4218.0,31523
HYB-s14-b300-a0.50,17.0,5.0,17.0,17.0,0.8904799353203996,5581.0,32625
HYB-s14-b300-a0.75,17.0,5.0,17.0,17.0,0.8999068143990927,5007.0,33678
HYB-s15-b100-a0.25,17.0,3.0,17.0,17.0,0.9222487292731408,3281.0,30881
HYB-s15-b100-a0.50,6.0,3.0,6.0,17.0,0.9344861123437169,61.0,32251
HYB-s15-b100-a0.75,14.0,2.0,14.0,17.0,0.918090905763677,1774.0,33537
HYB-s15-b200-a0.25,17.0,3.0,17.0,17.0,0.9333302301539037,3484.0,31448
HYB-s15-b200-a0.50,5.0,3.0,5.0,17.0,0.9335917257491727,32.0,31456
HYB-s15-b200-a0.75,17.0,2.0,17.0,17.0,0.9366200058599223,4143.0,34066
HYB-s15-b300-a0.25,17.0,3.0,17.0,17.0,0.9272503318125747,3630.0,29843
HYB-s15-b300-a0.50,17.0,3.0,17.0,17.0,0.9232039655276736,4069.0,32164
HYB-s15-b300-a0.75,5.0,1.0,5.0,17.0,0.9499631010943023,32.0,33905
HYB-s16-b100-a0.25,17.0,3.0,17.0,17.0,0.9236870626386793,3193.0,30230
HYB-s16-b100-a0.50,17.0,4.0,17.0,17.0,0.9138230132707434,4243.0,32830
HYB-s16-b100-a0.75,17.0,4.0,17.0,17.0,0.9212009476333463,4910.0,35082
HYB-s16-b200-a0.25,5.0,3.0,5.0,17.0,0.9334511155591745,32.0,31242
HYB-s16-b200-a0.50,17.0,4.0,17.0,17.0,0.9218763840205166,5077.0,33615
HYB-s16-b200-a0.75,17.0,3.0,17.0,17.0,0.9167725447562447,4343.0,34480
HYB-s16-b300-a0.25,17.0,3.0,17.0,17.0,0.9149386202148144,3718.0,31694
HYB-s16-b300-a0.50,17.0,5.0,17.0,17.0,0.8948470285393435,3306.0,32011
HYB-s16-b300-a0.75,17.0,4.0,17.0,17.0,0.9030348819113466,4070.0,33140
HYB-s17-b100-a0.25,17.0,4.0,17.0,17.0,0.9101435069716439,2998.0,30920
HYB-s17-b100-a0.50,7.0,5.0,7.0,17.0,0.8907632935489913,100.0,31945
HYB-s17-b100-a0.75,17.0,4.0,17.0,17.0,0.9024056591893317,4000.0,34758
HYB-s17-b200-a0.25,17.0,4.0,17.0,17.0,0.9141778262470811,3694.0,30818
HYB-s17-b200-a0.50,17.0,3.0,17.0,17.0,0.9240234825189672,4616.0,32882
HYB-s17-b200-a0.75,17.0,4.0,17.0,17.0,0.9099014134014579,3207.0,33353
HYB-s17-b300-a0.25,17.0,3.0,17.0,17.0,0.9292223291007677,3119.0,30854
HYB-s17-b300-a0.50,17.0,4.0,17.0,17.0,0.9153449286637968,3324.0,32156
HYB-s17-b300-a0.75,17.0,2.0,17.0,17.0,0.9195948121844252,3725.0,33391
HYB-s18-b100-a0.25,17.0,4.0,17.0,17.0,0.9230696141824644,3196.0,32041
HYB-s18-b100-a0.50,17.0,4.0,17.0,17.0,0.9036067812054893,2531.0,30836
HYB-s18-b100-a0.75,17.0,17.0,17.0,17.0,0.8671877060124135,3968.0,32088
HYB-s18-b200-a0.25,17.0,3.0,17.0,17.0,0.9273221185490519,3082.0,31400
HYB-s18-b200-a0.50,17.0,17.0,17.0,17.0,0.8682355808744748,3085.0,31936
HYB-s18-b200-a0.75,17.0,4.0,17.0,17.0,0.9061514752777251,2770.0,33038
HYB-s18-b300-a0.25,6.0,2.0,6.0,17.0,0.9372681121427409,63.0,33056
HYB-s18-b300-a0.50,17.0,4.0,17.0,17.0,0.9034669422102424,3057.0,31776
HYB-s18-b300-a0.75,17.0,4.0,17.0,17.0,0.910905809563849,3041.0,33913
HYB-s19-b100-a0.25,6.0,3.0,6.0,17.0,0.9191250659131855,60.0,30002
HYB-s19-b100-a0.50,17.0,5.0,17.0,17.0,0.882333427280041,3545.0,27959
HYB-s19-b100-a0.75,17.0,17.0,17.0,17.0,0.8635485830507371,4024.0,29299
HYB-s19-b200-a0.25,17.0,3.0,17.0,17.0,0.9249685985490624,3513.0,32136
HYB-s19-b200-a0.50,17.0,3.0,17.0,17.0,0.9107654463248187,2783.0,31705
HYB-s19-b200-a0.75,17.0,3.0,17.0,17.0,0.9135848285372853,3915.0,33721
HYB-s19-b300-a0.25,17.0,3.0,17.0,17.0,0.923087253666278,2713.0,33236
HYB-s19-b300-a0.50,17.0,3.0,17.0,17.0,0.9220228849249661,4201.0,33426
HYB-s19-b300-a0.75,17.0,2.0,17.0,17.0,0.9313587550012926,4921.0,33660
