cond,d_star_common,d_star_090_common,d_star_099_common,f4_common,coverage_entropy,coverage_std
BT-v1,3.0,1.0,6.0,0.9717788030600061,0.5697357870623475,0.33118515935517595
BT-v2,5.0,2.0,17.0,0.9430784939424449,0.6973319403185401,0.24131164300649394
BT-v3,5.0,3.0,17.0,0.9326212939679754,0.7203627516104031,0.26069807649442156
HYB-s0-b0-a0.25,4.0,1.0,17.0,0.9518966479584594,0.7051329768934911,0.24079872881428227
HYB-s0-b0-a0.50,4.0,1.0,17.0,0.9617287297520533,0.7058846273484736,0.24604083099804996
HYB-s0-b0-a0.75,4.0,1.0,17.0,0.956003616448495,0.7198020739312921,0.2504591883784602
RL-s0-b0-a1.00,4.0,1.0,17.0,0.9551189350028528,0.7092869851738921,0.24979795737960475
HYB-s0-b100-a0.25,5.0,2.0,17.0,0.93658905260392,0.6861740860279313,0.22998670579441483
HYB-s0-b100-a0.50,5.0,2.0,17.0,0.9351512355316616,0.6815921044714548,0.24251058499808612
HYB-s0-b100-a0.75,4.0,1.0,17.0,0.9532871972690721,0.64422322353947,0.2620890629307368
RL-s0-b100-a1.00,3.0,1.0,17.0,0.9621582435774643,0.6515744646818737,0.27589230613792265
HYB-s1-b100-a0.25,17.0,3.0,17.0,0.9331824110758064,0.6953035788458755,0.23933836853743495
HYB-s1-b100-a0.50,17.0,4.0,17.0,0.9133601017453795,0.6894177847033123,0.232081150801281
HYB-s1-b100-a0.75,17.0,1.0,17.0,0.9213492707698496,0.670939084074867,0.24068366987402426
RL-s1-b100-a1.00,6.0,1.0,17.0,0.9379704323859946,0.6649428982484105,0.23315378248729032
HYB-s2-b100-a0.25,6.0,3.0,17.0,0.9346400275167164,0.6752101038490893,0.22169301762437962
HYB-s2-b100-a0.50,7.0,4.0,17.0,0.9193845439093544,0.6623327886876156,0.22101882754804794
HYB-s2-b100-a0.75,17.0,3.0,17.0,0.9274363843450485,0.6313541225602886,0.22438213012496375
RL-s2-b100-a1.00,6.0,3.0,17.0,0.9205382695824235,0.6387401278160514,0.2331849179151344
HYB-s3-b100-a0.25,9.0,4.0,17.0,0.9216618227663897,0.6787484417916414,0.2376705485376002
HYB-s3-b100-a0.50,17.0,5.0,17.0,0.8819770106789595,0.6858213475953424,0.23624694616079744
