cond,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples
BT-v1,1.0,1.0,1.0,3.0,0.995244845451407,2.0,28033
BT-v2,4.0,2.0,4.0,17.0,0.9523549886447117,16.0,31978
BT-v3,5.0,3.0,5.0,17.0,0.9402036139137073,28.0,31234
HYB-s0-b0-a0.25,5.0,2.0,5.0,17.0,0.9497840808309042,32.0,30881
HYB-s0-b0-a0.50,3.0,1.0,3.0,17.0,0.9677290751298626,8.0,30177
HYB-s0-b0-a0.75,3.0,1.0,3.0,17.0,0.9669414511098692,8.0,30583
HYB-s0-b100-a0.25,17.0,3.0,17.0,17.0,0.9223386487017194,3238.0,30964
HYB-s0-b100-a0.50,17.0,4.0,17.0,17.0,0.9084446090236644,4378.0,27302
HYB-s0-b100-a0.75,17.0,4.0,17.0,17.0,0.9020401042642746,4238.0,30903
HYB-s0-b200-a0.25,5.0,3.0,5.0,17.0,0.9320590267024785,32.0,30946
HYB-s0-b200-a0.50,11.0,4.0,11.0,17.0,0.9044512892323534,730.0,30794
HYB-s0-b200-a0.75,17.0,1.0,17.0,17.0,0.934617218998436,3168.0,33357
HYB-s0-b300-a0.25,5.0,2.0,5.0,17.0,0.9475766836102352,32.0,33372
HYB-s0-b300-a0.50,6.0,3.0,6.0,17.0,0.9360953472580681,63.0,32079
HYB-s0-b300-a0.75,6.0,1.0,6.0,17.0,0.9485651676243689,60.0,34471
HYB-s1-b100-a0.25,17.0,5.0,17.0,17.0,0.8933605612828904,2967.0,31830
HYB-s1-b100-a0.50,17.0,4.0,17.0,17.0,0.9109804667737785,2900.0,32431
HYB-s1-b100-a0.75,17.0,3.0,17.0,17.0,0.9214623771911767,2912.0,32824
HYB-s1-b200-a0.25,17.0,4.0,17.0,17.0,0.9109033112879306,2862.0,31662
HYB-s1-b200-a0.50,17.0,7.0,17.0,17.0,0.886192608029084,2121.0,31499
HYB-s1-b200-a0.75,17.0,17.0,17.0,17.0,0.8815300973757094,2870.0,32433
HYB-s1-b300-a0.25,17.0,6.0,17.0,17.0,0.8905273495833478,3250.0,30677
HYB-s1-b300-a0.50,17.0,5.0,17.0,17.0,0.8940247683398411,3357.0,30681
HYB-s1-b300-a0.75,17.0,5.0,17.0,17.0,0.8983885670767339,3520.0,31836
HYB-s2-b100-a0.25,17.0,3.0,17.0,17.0,0.9255286502486609,3000.0,30911
HYB-s2-b100-a0.50,7.0,3.0,7.0,17.0,0.9397377101363849,112.0,33191
HYB-s2-b100-a0.75,17.0,3.0,17.0,17.0,0.9218864545971219,3216.0,31769
HYB-s2-b200-a0.25,17.0,4.0,17.0,17.0,0.9145507670021324,3155.0,29963
HYB-s2-b200-a0.50,17.0,4.0,17.0,17.0,0.9129101854075468,3710.0,30590
HYB-s2-b200-a0.75,17.0,6.0,17.0,17.0,0.8880818893476422,2680.0,32693
HYB-s2-b300-a0.25,8.0,3.0,8.0,17.0,0.9308302765491548,206.0,30253
HYB-s2-b300-a0.50,17.0,4.0,17.0,17.0,0.9045914203631876,3737.0,28721
HYB-s2-b300-a0.75,10.0,3.0,10.0,17.0,0.9233124802108807,619.0,34955
RL-s0-b0-a1.00,2.0,1.0,2.0,17.0,0.9749631399800442,4.0,31100
RL-s0-b100-a1.00,8.0,3.0,8.0,17.0,0.9204671500785542,215.0,29091
RL-s0-b200-a1.00,4.0,1.0,4.0,17.0,0.952853330877906,16.0,34253
RL-s0-b300-a1.00,3.0,1.0,3.0,17.0,0.9657879878027142,8.0,35287
RL-s1-b100-a1.00,15.0,2.0,15.0,17.0,0.9259358984729622,2823.0,32497
RL-s1-b200-a1.00,17.0,3.0,17.0,17.0,0.9183590402195994,3675.0,33465
RL-s1-b300-a1.00,17.0,5.0,17.0,17.0,0.8981994883402624,2996.0,33946
RL-s2-b100-a1.00,6.0,3.0,6.0,17.0,0.9293113844947402,61.0,32705
RL-s2-b200-a1.00,7.0,3.0,7.0,17.0,0.9258647818832463,119.0,34629
RL-s2-b300-a1.00,6.0,4.0,6.0,17.0,0.923618598082829,63.0,34197
