cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family,train_seed,budget,alpha,bt_version,d_star_common,d_star_090_common,d_star_099_common,f4_common,coverage_entropy,coverage_std
RL-s1-b300-a1.00,0.785,110.41612499999589,0.0668419974562765,1.9426249999999972,0.79,17.0,5.0,17.0,17.0,0.8981994883402624,2996.0,33946,RL,1,300,1.0,-1,17.0,5.0,17.0,0.8858557902545239,0.6527122688322599,0.2451195465196974
HYB-s1-b300-a0.75,0.765,107.775499999996,0.0698671728609803,1.9079999999999977,0.865,17.0,5.0,17.0,17.0,0.8983885670767339,3520.0,31836,Hybrid,1,300,0.75,-1,17.0,6.0,17.0,0.8846453085284484,0.6409526949775365,0.2322604063837114
HYB-s1-b200-a0.75,0.765,109.92949999999584,0.0725659281924072,1.4503749999999984,0.8525,17.0,17.0,17.0,17.0,0.8815300973757094,2870.0,32433,Hybrid,1,200,0.75,-1,17.0,6.0,17.0,0.8861302545745658,0.643098306097385,0.2368918077566519
HYB-s4-b300-a0.75,0.76125,112.07412499999572,0.0480316475086783,1.0187499999999992,0.785,17.0,3.0,17.0,17.0,0.9180979216647908,5554.0,34243,Hybrid,4,300,0.75,-1,17.0,5.0,17.0,0.8969567226302942,0.6782562225850365,0.2405550000024102
RL-s4-b300-a1.00,0.755,114.6563749999956,0.0387349762404476,0.8699999999999994,0.7625,5.0,2.0,5.0,17.0,0.9449104162582058,32.0,35346,RL,4,300,1.0,-1,17.0,5.0,17.0,0.8969855615106623,0.6705502402660246,0.2707124295332352
RL-s1-b200-a1.00,0.7475,112.9603749999957,0.0591457017722741,1.2809999999999986,0.77,17.0,3.0,17.0,17.0,0.9183590402195994,3675.0,33465,RL,1,200,1.0,-1,17.0,4.0,17.0,0.9047473194608898,0.6571518519424511,0.2528644130772869
HYB-s4-b200-a0.75,0.7475,105.72812499999613,0.0796290627980812,1.520249999999998,0.82,17.0,3.0,17.0,17.0,0.9258664907430826,4984.0,31214,Hybrid,4,200,0.75,-1,17.0,4.0,17.0,0.9045441115144356,0.6828627791492666,0.245575736124114
RL-s2-b300-a1.00,0.74625,116.21037499999548,0.0334568881885053,0.593375,0.7525,6.0,4.0,6.0,17.0,0.923618598082829,63.0,34197,RL,2,300,1.0,-1,17.0,7.0,17.0,0.8298272784767212,0.6782257850007152,0.2370438678880016
RL-s4-b200-a1.00,0.7375,105.42099999999613,0.0981620870503571,1.5244999999999984,0.8475,6.0,4.0,6.0,17.0,0.9372885220838404,64.0,31793,RL,4,200,1.0,-1,17.0,4.0,17.0,0.9061466241295292,0.694487288302399,0.2660408675403916
RL-s3-b300-a1.00,0.7325,114.3487499999956,0.0445581285139139,0.615625,0.7475,6.0,2.0,6.0,17.0,0.9314722870402548,61.0,34483,RL,3,300,1.0,-1,17.0,6.0,17.0,0.85432860889908,0.6519887566043474,0.2189185198634191
RL-s0-b300-a1.00,0.72875,117.05562499999544,0.0400059348037472,0.3386249999999999,0.7375,3.0,1.0,3.0,17.0,0.9657879878027142,8.0,35287,RL,0,300,1.0,-1,10.0,4.0,17.0,0.9193702936830312,0.6693134880389866,0.2326029459987839
RL-s2-b200-a1.00,0.7262500000000001,114.16837499999562,0.0426163791807038,0.9344999999999992,0.735,7.0,3.0,7.0,17.0,0.9258647818832464,119.0,34629,RL,2,200,1.0,-1,17.0,6.0,17.0,0.8878213906001468,0.6793396549867877,0.2390191016035037
HYB-s2-b200-a0.75,0.71875,109.58487499999588,0.0500538354672895,1.1691249999999986,0.755,17.0,6.0,17.0,17.0,0.8880818893476422,2680.0,32693,Hybrid,2,200,0.75,-1,17.0,5.0,17.0,0.8897662372907019,0.6775989294445326,0.2358632882381791
HYB-s2-b100-a0.75,0.71875,109.90749999999584,0.0508919882527919,1.4142499999999985,0.7675,17.0,3.0,17.0,17.0,0.921886454597122,3216.0,31769,Hybrid,2,100,0.75,-1,17.0,2.0,17.0,0.9210550189328502,0.6313541225602886,0.2243821301249637
HYB-s1-b100-a0.50,0.71,103.22649999999614,0.0945222993379022,1.4062499999999982,0.8675,17.0,4.0,17.0,17.0,0.9109804667737784,2900.0,32431,Hybrid,1,100,0.5,-1,17.0,4.0,17.0,0.9022836043063086,0.6894177847033123,0.232081150801281
HYB-s0-b300-a0.75,0.7050000000000001,116.32599999999545,0.0408756988889211,0.3537499999999999,0.7075,6.0,1.0,6.0,17.0,0.9485651676243688,60.0,34471,Hybrid,0,300,0.75,-1,17.0,3.0,17.0,0.9156309364225852,0.6516870681111371,0.2214943667068702
RL-s3-b200-a1.00,0.7,116.93112499999546,0.0326976713144683,0.389375,0.73,5.0,3.0,5.0,17.0,0.9311919272759568,32.0,35237,RL,3,200,1.0,-1,17.0,7.0,17.0,0.8411498037167059,0.6812728127040545,0.2438204994842369
HYB-s0-b200-a0.75,0.6975,113.04687499999564,0.0478098564047264,0.7504999999999993,0.7525,17.0,1.0,17.0,17.0,0.934617218998436,3168.0,33357,Hybrid,0,200,0.75,-1,17.0,3.0,17.0,0.913638673584097,0.6988774272860955,0.2366107741742301
HYB-s1-b300-a0.50,0.6975,104.71312499999608,0.0935083451681431,1.3448749999999985,0.7625,17.0,5.0,17.0,17.0,0.8940247683398411,3357.0,30681,Hybrid,1,300,0.5,-1,17.0,6.0,17.0,0.8797139385490511,0.6751756121726215,0.2318479132397941
HYB-s1-b100-a0.75,0.6975,107.24637499999596,0.0807454469809342,1.3526249999999982,0.8075,17.0,3.0,17.0,17.0,0.9214623771911769,2912.0,32824,Hybrid,1,100,0.75,-1,17.0,4.0,17.0,0.9043250517664136,0.670939084074867,0.2406836698740242
RL-s0-b200-a1.00,0.6950000000000001,115.73599999999551,0.0374912341574368,0.7159999999999995,0.7275,4.0,1.0,4.0,17.0,0.952853330877906,16.0,34253,RL,0,200,1.0,-1,8.0,3.0,17.0,0.9252176907339648,0.719915181157469,0.2466218405339109
RL-s2-b100-a1.00,0.6950000000000001,109.41712499999588,0.049115298432051,1.2458749999999983,0.7475,6.0,3.0,6.0,17.0,0.9293113844947402,61.0,32705,RL,2,100,1.0,-1,7.0,2.0,17.0,0.9255402462392182,0.6387401278160514,0.2331849179151344
HYB-s1-b200-a0.50,0.6925,104.68624999999608,0.0824876922900864,1.3024999999999984,0.7875,17.0,7.0,17.0,17.0,0.886192608029084,2121.0,31499,Hybrid,1,200,0.5,-1,17.0,6.0,17.0,0.8809391746789567,0.6687757986119013,0.2297402143242298
HYB-s0-b100-a0.75,0.6925,99.43462499999646,0.0932860727765804,1.681499999999998,0.805,17.0,4.0,17.0,17.0,0.9020401042642746,4238.0,30903,Hybrid,0,100,0.75,-1,6.0,1.0,17.0,0.9424987646466998,0.64422322353947,0.2620890629307368
HYB-s4-b100-a0.75,0.6825,110.40037499999582,0.0503349494210014,0.9591249999999992,0.7675,11.0,4.0,11.0,17.0,0.9221511031819956,800.0,32983,Hybrid,4,100,0.75,-1,17.0,4.0,17.0,0.9105253443598396,0.6592877734512272,0.2293365924413928
HYB-s1-b100-a0.25,0.67875,104.12124999999612,0.1014092045212884,1.423874999999998,0.835,17.0,5.0,17.0,17.0,0.8933605612828904,2967.0,31830,Hybrid,1,100,0.25,-1,17.0,3.0,17.0,0.9256748178708264,0.6953035788458755,0.2393383685374349
HYB-s1-b300-a0.25,0.67875,102.4003749999962,0.0897714858823234,1.3722499999999982,0.8025,17.0,6.0,17.0,17.0,0.8905273495833478,3250.0,30677,Hybrid,1,300,0.25,-1,17.0,5.0,17.0,0.8961207785333564,0.6864900834391717,0.2388898518201949
HYB-s2-b300-a0.75,0.67625,117.00124999999544,0.0342593009615566,0.424,0.68,10.0,3.0,10.0,17.0,0.9233124802108807,619.0,34955,Hybrid,2,300,0.75,-1,17.0,17.0,17.0,0.830110258676939,0.6723704937462066,0.229928701837586
HYB-s2-b100-a0.50,0.6725,103.68449999999608,0.0695747412933936,1.2488749999999984,0.7825,7.0,3.0,7.0,17.0,0.9397377101363849,112.0,33191,Hybrid,2,100,0.5,-1,7.0,4.0,17.0,0.9088560350968056,0.6623327886876156,0.2210188275480479
BT-v2,0.67125,101.6012499999962,0.100491441819102,1.493624999999998,0.8425,4.0,2.0,4.0,17.0,0.9523549886447116,16.0,31978,BT,-1,0,0.0,2,6.0,4.0,17.0,0.9299678936496204,0.6973319403185401,0.2413116430064939
HYB-s2-b100-a0.25,0.66875,104.46062499999609,0.0837812974690823,1.331624999999998,0.8125,17.0,3.0,17.0,17.0,0.9255286502486608,3000.0,30911,Hybrid,2,100,0.25,-1,7.0,4.0,17.0,0.91790312601512,0.6752101038490893,0.2216930176243796
HYB-s3-b300-a0.75,0.665,114.16237499999562,0.0461771639489011,0.7136249999999994,0.695,17.0,7.0,17.0,17.0,0.8970647412668051,3528.0,33595,Hybrid,3,300,0.75,-1,17.0,17.0,17.0,0.8750359273615662,0.639619125049643,0.2282489643417738
HYB-s0-b100-a0.50,0.6625,94.40149999999662,0.1156345102306335,1.340374999999998,0.7875,17.0,4.0,17.0,17.0,0.9084446090236644,4378.0,27302,Hybrid,0,100,0.5,-1,17.0,3.0,17.0,0.917116310505204,0.6815921044714548,0.2425105849980861
HYB-s0-b0-a0.25,0.6575,101.8398749999962,0.1033251658805147,1.5021249999999982,0.83,5.0,2.0,5.0,17.0,0.9497840808309042,32.0,30881,Hybrid,0,0,0.25,-1,5.0,3.0,17.0,0.9394185709461425,0.7051329768934911,0.2407987288142822
HYB-s1-b200-a0.25,0.655,105.11762499999604,0.0846391163042298,1.3141249999999984,0.7925,17.0,4.0,17.0,17.0,0.9109033112879306,2862.0,31662,Hybrid,1,200,0.25,-1,17.0,4.0,17.0,0.9125092466187968,0.6797285226779333,0.2294503484328076
HYB-s4-b100-a0.50,0.655,105.13474999999602,0.0657672077613297,1.046874999999999,0.765,17.0,3.0,17.0,17.0,0.9271965952351578,4914.0,31659,Hybrid,4,100,0.5,-1,17.0,4.0,17.0,0.9022437384579745,0.6882389366530248,0.2310457444368134
RL-s4-b100-a1.00,0.6475,114.3718749999956,0.0382079729027625,0.9174999999999988,0.7225,7.0,4.0,7.0,17.0,0.9224582280886784,104.0,33560,RL,4,100,1.0,-1,17.0,4.0,17.0,0.9081591367024608,0.6621609641565922,0.2328408153334881
RL-s1-b100-a1.00,0.6475,108.6363749999959,0.0658144993540508,1.0409999999999986,0.7475,15.0,2.0,15.0,17.0,0.9259358984729622,2823.0,32497,RL,1,100,1.0,-1,6.0,2.0,17.0,0.9373814541951986,0.6649428982484105,0.2331537824872903
HYB-s4-b200-a0.50,0.64625,99.44012499999636,0.0883614566492169,1.062874999999999,0.7375,17.0,4.0,17.0,17.0,0.9179081146477992,4426.0,28091,Hybrid,4,200,0.5,-1,17.0,5.0,17.0,0.8988857706132136,0.685283859980728,0.2370361516433364
HYB-s0-b100-a0.25,0.645,101.09074999999626,0.0984138555900471,1.5087499999999978,0.8325,17.0,3.0,17.0,17.0,0.9223386487017194,3238.0,30964,Hybrid,0,100,0.25,-1,17.0,4.0,17.0,0.9148578053765248,0.6861740860279313,0.2299867057944148
HYB-s4-b300-a0.50,0.645,106.37337499999596,0.0649899890359859,0.7156249999999993,0.68,17.0,3.0,17.0,17.0,0.9173697096741456,4299.0,31023,Hybrid,4,300,0.5,-1,17.0,6.0,17.0,0.8708970830218725,0.6732292902171155,0.2273620657005535
HYB-s0-b300-a0.25,0.63875,106.76099999999592,0.0718671113004219,1.1134999999999986,0.7475,5.0,2.0,5.0,17.0,0.9475766836102352,32.0,33372,Hybrid,0,300,0.25,-1,17.0,5.0,17.0,0.8999687544398454,0.6766860454153958,0.2181473878936937
RL-s0-b0-a1.00,0.6387499999999999,105.08612499999607,0.09556612407754,1.4877499999999984,0.84,2.0,1.0,2.0,17.0,0.9749631399800442,4.0,31100,RL,0,0,1.0,-1,4.0,1.0,17.0,0.9620693453197504,0.7092869851738921,0.2497979573796047
HYB-s0-b0-a0.50,0.63625,105.26062499999604,0.0955079137082866,1.486999999999998,0.8275,3.0,1.0,3.0,17.0,0.9677290751298626,8.0,30177,Hybrid,0,0,0.5,-1,4.0,1.0,17.0,0.9522136657448762,0.7058846273484736,0.2460408309980499
HYB-s2-b200-a0.25,0.63625,101.86474999999618,0.0781857594367423,1.0638749999999988,0.7275,17.0,4.0,17.0,17.0,0.9145507670021324,3155.0,29963,Hybrid,2,200,0.25,-1,7.0,4.0,17.0,0.9126838158149638,0.7066206744407021,0.24262429524997
HYB-s4-b100-a0.25,0.635,103.51387499999608,0.0762709754553304,1.1061249999999987,0.755,17.0,3.0,17.0,17.0,0.9163177606888075,4307.0,31972,Hybrid,4,100,0.25,-1,17.0,4.0,17.0,0.9173416356602376,0.6802590910120297,0.2203777244192349
HYB-s3-b300-a0.25,0.635,105.923624999996,0.0740708325589739,1.1561249999999987,0.74,17.0,4.0,17.0,17.0,0.9201465038307048,3048.0,32311,Hybrid,3,300,0.25,-1,17.0,4.0,17.0,0.9138518415248436,0.6881507369664184,0.2387271637227442
RL-s0-b100-a1.00,0.6325,97.24637499999656,0.1294502365088972,1.5942499999999982,0.815,8.0,3.0,8.0,17.0,0.9204671500785542,215.0,29091,RL,0,100,1.0,-1,4.0,1.0,17.0,0.95246330569114,0.6515744646818737,0.2758923061379226
