cond,d1,d2,f1,f2,s_even,s_odd
RL-s1-b300-a1.00,17.0,17.0,0.9220636428873332,0.8843904015385007,0.795,0.775
HYB-s1-b300-a0.75,17.0,17.0,0.8994325698466065,0.851379686257346,0.77,0.76
HYB-s1-b200-a0.75,17.0,17.0,0.9040683067745582,0.871804804029924,0.775,0.755
HYB-s4-b300-a0.75,17.0,17.0,0.9157942735385176,0.9142581118975226,0.75,0.7725
RL-s4-b300-a1.00,4.0,5.0,0.9530221428449333,0.9458763503913724,0.745,0.765
RL-s1-b200-a1.00,17.0,17.0,0.941974244695655,0.9035348158902622,0.7575,0.7375
HYB-s4-b200-a0.75,17.0,17.0,0.8929577606114598,0.9178487253412552,0.7275,0.7675
RL-s2-b300-a1.00,6.0,17.0,0.9175061547041677,0.9078937369784928,0.755,0.7375
RL-s4-b200-a1.00,4.0,17.0,0.957014534012917,0.9105884126043051,0.715,0.76
RL-s3-b300-a1.00,17.0,17.0,0.9243389671991121,0.9183544571126733,0.7325,0.7325
RL-s0-b300-a1.00,3.0,3.0,0.9736452527065456,0.9581007912943765,0.7275,0.73
RL-s2-b200-a1.00,15.0,8.0,0.9205819420663689,0.9170834874781132,0.7225,0.73
HYB-s2-b200-a0.75,17.0,17.0,0.8965088388062042,0.8865266428830724,0.705,0.7325
HYB-s2-b100-a0.75,17.0,17.0,0.9028400028820343,0.9085665410007957,0.6975,0.74
HYB-s1-b100-a0.50,17.0,17.0,0.9118360006465029,0.9063574499515913,0.715,0.705
HYB-s0-b300-a0.75,5.0,17.0,0.938154114333359,0.936913908020596,0.6925,0.7175
RL-s3-b200-a1.00,5.0,6.0,0.9438640973142529,0.9356933220908107,0.7025,0.6975
HYB-s0-b200-a0.75,17.0,17.0,0.9313781035624007,0.9286162622764493,0.68,0.715
HYB-s1-b300-a0.50,17.0,17.0,0.9190460949987692,0.8714626758806147,0.6975,0.6975
HYB-s1-b100-a0.75,17.0,17.0,0.9300615086787952,0.9096867004937571,0.7025,0.6925
RL-s0-b200-a1.00,4.0,4.0,0.959839848483285,0.9518467531109532,0.6675,0.7225
RL-s2-b100-a1.00,5.0,17.0,0.9337887742848111,0.9311881438786358,0.7075,0.6825
HYB-s1-b200-a0.50,17.0,17.0,0.9141448054264775,0.8939380680788198,0.6925,0.6925
HYB-s0-b100-a0.75,17.0,17.0,0.9023172161559798,0.8905937111000825,0.68,0.705
HYB-s4-b100-a0.75,17.0,17.0,0.9093775070285329,0.88945712636206,0.665,0.7
HYB-s1-b100-a0.25,17.0,17.0,0.8969142227766601,0.9017831300351559,0.69,0.6675
HYB-s1-b300-a0.25,17.0,17.0,0.8866043201291889,0.8917717017252906,0.675,0.6825
HYB-s2-b300-a0.75,17.0,17.0,0.8948018136969889,0.9213626667954307,0.6675,0.685
HYB-s2-b100-a0.50,6.0,17.0,0.9367112250250017,0.9082037515765548,0.6925,0.6525
BT-v2,4.0,5.0,0.951217873069442,0.9489927492435009,0.6725,0.67
HYB-s2-b100-a0.25,17.0,17.0,0.9378551361691101,0.9062550936895858,0.6725,0.665
HYB-s3-b300-a0.75,17.0,17.0,0.8831495448337104,0.8827636173946816,0.66,0.67
HYB-s0-b100-a0.50,17.0,17.0,0.9328907459156346,0.9136605504158014,0.6525,0.6725
HYB-s0-b0-a0.25,4.0,6.0,0.9624520501695648,0.9338392382997576,0.68,0.635
HYB-s1-b200-a0.25,17.0,17.0,0.9196941531753526,0.9041986552169328,0.685,0.625
HYB-s4-b100-a0.50,17.0,17.0,0.9324623740499267,0.9062690993079435,0.645,0.665
RL-s4-b100-a1.00,6.0,17.0,0.91440463297981,0.8994340449555476,0.64,0.655
RL-s1-b100-a1.00,6.0,12.0,0.9289086873934195,0.9161827955167855,0.66,0.635
HYB-s4-b200-a0.50,17.0,17.0,0.9095418300837966,0.8915157094232686,0.6375,0.655
HYB-s0-b100-a0.25,17.0,17.0,0.9249958108790021,0.9246287515406795,0.6475,0.6425
HYB-s4-b300-a0.50,17.0,17.0,0.9297422473865907,0.9104373757613065,0.6325,0.6575
HYB-s0-b300-a0.25,4.0,17.0,0.9536616245414714,0.9275773810432514,0.6375,0.64
RL-s0-b0-a1.00,2.0,3.0,0.9790846736365276,0.9690278835789348,0.6525,0.625
HYB-s0-b0-a0.50,3.0,4.0,0.9610146257455019,0.9635913394898522,0.66,0.6125
HYB-s2-b200-a0.25,17.0,17.0,0.8971443057771177,0.9052015183766057,0.6475,0.625
HYB-s4-b100-a0.25,17.0,17.0,0.935678844712001,0.907329764636597,0.61,0.66
HYB-s3-b300-a0.25,17.0,17.0,0.9210570567964229,0.8984401682825659,0.615,0.655
RL-s0-b100-a1.00,4.0,10.0,0.9508716701279882,0.8813341384898217,0.5875,0.6775
HYB-s4-b300-a0.25,17.0,17.0,0.898555781924839,0.9176327443309128,0.6225,0.635
HYB-s2-b200-a0.50,17.0,17.0,0.9201085422331834,0.9080405706807053,0.6275,0.625
HYB-s4-b200-a0.25,17.0,17.0,0.937550575881805,0.9118016312077533,0.615,0.635
HYB-s0-b200-a0.50,17.0,17.0,0.913685921619201,0.8919456647933955,0.6225,0.6275
HYB-s2-b300-a0.50,17.0,17.0,0.8939344520633299,0.9219899493858456,0.6175,0.63
HYB-s0-b300-a0.50,7.0,17.0,0.9277941234231039,0.9246319436985222,0.6,0.6425
HYB-s0-b0-a0.75,3.0,4.0,0.9690606403633082,0.9589404291548316,0.6175,0.6225
HYB-s0-b200-a0.25,7.0,17.0,0.9380623897106815,0.9292498129339786,0.61,0.6175
HYB-s2-b300-a0.25,17.0,17.0,0.9163666583840775,0.9367701805035976,0.5925,0.625
HYB-s3-b100-a0.75,17.0,17.0,0.9223014163504047,0.9271340361454748,0.5675,0.605
HYB-s3-b200-a0.75,17.0,17.0,0.8970297207084572,0.8836466004439824,0.5775,0.585
HYB-s3-b100-a0.25,17.0,17.0,0.9032968715760087,0.8868977731676225,0.5725,0.5775
HYB-s3-b300-a0.50,17.0,17.0,0.8678807791140416,0.8920002475405631,0.5725,0.57
RL-s3-b100-a1.00,4.0,6.0,0.9634784435580062,0.9433721088514269,0.5525,0.5425
HYB-s3-b100-a0.50,17.0,17.0,0.9167146324605119,0.9240548726800334,0.555,0.535
HYB-s3-b200-a0.25,17.0,17.0,0.9217148592208037,0.9043146592514522,0.5475,0.52
HYB-s3-b200-a0.50,17.0,17.0,0.8886844453948168,0.8824358863985168,0.5325,0.5275
BT-v3,5.0,5.0,0.9456361923461366,0.9382229632910438,0.3275,0.33
BT-v1,1.0,1.0,0.9911346570251255,0.9925860402220982,0.26,0.2225
