cond,kill_win,timeout,wez,duration,dmg,family,score,d_star,fidelity_at_4,budget,cluster
HYB-s0-b0-a0.25,0.3,0.525,1.5021249999999982,101.83987499999621,37.553125,Hybrid,0.6575,5.0,0.9497840808309042,0,C1
HYB-s0-b0-a0.50,0.3075,0.56,1.4869999999999979,105.26062499999607,37.175,Hybrid,0.63625,3.0,0.9677290751298626,0,C1
HYB-s0-b0-a0.75,0.2825,0.575,1.4192499999999981,104.5468749999961,35.48125,Hybrid,0.62,3.0,0.9669414511098692,0,C1
HYB-s0-b100-a0.25,0.3175,0.4675,1.508749999999998,101.09074999999628,37.71875,Hybrid,0.645,17.0,0.9223386487017194,100,C1
HYB-s0-b100-a0.50,0.27,0.45,1.3403749999999983,94.40149999999662,33.509375,Hybrid,0.6625,17.0,0.9084446090236644,100,C1
HYB-s0-b100-a0.75,0.2925,0.53,1.681499999999998,99.43462499999647,42.0375,Hybrid,0.6925,17.0,0.9020401042642746,100,C1
HYB-s0-b200-a0.25,0.175,0.7025,0.9437499999999989,105.46562499999601,23.59375,Hybrid,0.61375,5.0,0.9320590267024784,200,C1
HYB-s0-b200-a0.50,0.14,0.755,0.7947499999999991,106.24587499999598,19.86875,Hybrid,0.625,11.0,0.9044512892323534,200,C1
HYB-s0-b200-a0.75,0.1125,0.8425,0.7504999999999993,113.04687499999567,18.7625,Hybrid,0.6975,17.0,0.934617218998436,200,C1
HYB-s0-b300-a0.25,0.205,0.715,1.1134999999999986,106.76099999999595,27.8375,Hybrid,0.63875,5.0,0.9475766836102352,300,C1
HYB-s0-b300-a0.50,0.07,0.8425,0.5098749999999995,108.63124999999583,12.746875,Hybrid,0.62125,6.0,0.936095347258068,300,C1
HYB-s0-b300-a0.75,0.0175,0.955,0.35374999999999984,116.32599999999549,8.84375,Hybrid,0.7050000000000001,6.0,0.9485651676243688,300,C1
HYB-s1-b100-a0.25,0.2675,0.59,1.4238749999999982,104.1212499999961,35.596875,Hybrid,0.67875,17.0,0.8933605612828904,100,C1
HYB-s1-b100-a0.50,0.2625,0.605,1.4062499999999982,103.22649999999614,35.15625,Hybrid,0.71,17.0,0.9109804667737784,100,C1
HYB-s1-b100-a0.75,0.235,0.685,1.3526249999999984,107.24637499999596,33.815625,Hybrid,0.6975,17.0,0.9214623771911769,100,C1
HYB-s1-b200-a0.25,0.25,0.635,1.3141249999999982,105.11762499999605,32.853125,Hybrid,0.655,17.0,0.9109033112879306,200,C1
HYB-s1-b200-a0.50,0.2425,0.6325,1.3024999999999982,104.6862499999961,32.5625,Hybrid,0.6925,17.0,0.886192608029084,200,C1
HYB-s1-b200-a0.75,0.2275,0.6975,1.4503749999999984,109.92949999999585,36.259375,Hybrid,0.765,17.0,0.8815300973757094,200,C1
HYB-s1-b300-a0.25,0.26,0.5975,1.3722499999999982,102.4003749999962,34.30625,Hybrid,0.67875,17.0,0.8905273495833478,300,C1
HYB-s1-b300-a0.50,0.235,0.6225,1.3448749999999985,104.71312499999607,33.621875,Hybrid,0.6975,17.0,0.8940247683398411,300,C1
HYB-s1-b300-a0.75,0.2875,0.6025,1.907999999999998,107.77549999999601,47.7,Hybrid,0.765,17.0,0.8983885670767339,300,C1
HYB-s2-b100-a0.25,0.245,0.6675,1.3316249999999983,104.46062499999609,33.290625,Hybrid,0.66875,17.0,0.9255286502486608,100,C1
HYB-s2-b100-a0.50,0.22,0.685,1.2488749999999984,103.68449999999612,31.221875,Hybrid,0.6725,7.0,0.9397377101363849,100,C1
HYB-s2-b100-a0.75,0.245,0.7075,1.4142499999999985,109.90749999999588,35.35625,Hybrid,0.71875,17.0,0.921886454597122,100,C1
