cond,d_star_common,d_star_090_common,d_star_099_common,f4_common,coverage_entropy,coverage_std
BT-v1,4.0,1.0,8.0,0.9584892311481872,0.5697357870623475,0.33118515935517595
BT-v2,6.0,4.0,17.0,0.9299678936496205,0.6973319403185401,0.24131164300649394
BT-v3,6.0,3.0,17.0,0.9245911077061781,0.7203627516104031,0.26069807649442156
HYB-s0-b0-a0.25,5.0,3.0,17.0,0.9394185709461423,0.7051329768934911,0.24079872881428227
HYB-s0-b0-a0.50,4.0,1.0,17.0,0.9522136657448762,0.7058846273484736,0.24604083099804996
HYB-s0-b0-a0.75,4.0,1.0,17.0,0.9564058093040052,0.7198020739312921,0.2504591883784602
RL-s0-b0-a1.00,4.0,1.0,17.0,0.9620693453197503,0.7092869851738921,0.24979795737960475
HYB-s0-b100-a0.25,17.0,4.0,17.0,0.9148578053765248,0.6861740860279313,0.22998670579441483
HYB-s0-b100-a0.50,17.0,3.0,17.0,0.9171163105052039,0.6815921044714548,0.24251058499808612
HYB-s0-b100-a0.75,6.0,1.0,17.0,0.9424987646466998,0.64422322353947,0.2620890629307368
RL-s0-b100-a1.00,4.0,1.0,17.0,0.9524633056911399,0.6515744646818737,0.27589230613792265
HYB-s1-b100-a0.25,17.0,3.0,17.0,0.9256748178708265,0.6953035788458755,0.23933836853743495
HYB-s1-b100-a0.50,17.0,4.0,17.0,0.9022836043063086,0.6894177847033123,0.232081150801281
HYB-s1-b100-a0.75,17.0,4.0,17.0,0.9043250517664135,0.670939084074867,0.24068366987402426
RL-s1-b100-a1.00,6.0,2.0,17.0,0.9373814541951986,0.6649428982484105,0.23315378248729032
HYB-s2-b100-a0.25,7.0,4.0,17.0,0.9179031260151201,0.6752101038490893,0.22169301762437962
HYB-s2-b100-a0.50,7.0,4.0,17.0,0.9088560350968055,0.6623327886876156,0.22101882754804794
HYB-s2-b100-a0.75,17.0,2.0,17.0,0.9210550189328502,0.6313541225602886,0.22438213012496375
RL-s2-b100-a1.00,7.0,2.0,17.0,0.9255402462392182,0.6387401278160514,0.2331849179151344
HYB-s3-b100-a0.25,17.0,5.0,17.0,0.897513333629491,0.6787484417916414,0.2376705485376002
HYB-s3-b100-a0.50,17.0,9.0,17.0,0.8618145298561628,0.6858213475953424,0.23624694616079744
HYB-s3-b100-a0.75,17.0,6.0,17.0,0.8848156503947563,0.6907743979290252,0.2447754135858134
RL-s3-b100-a1.00,17.0,7.0,17.0,0.8811375308324992,0.6806637755938536,0.2527343503822602
HYB-s4-b100-a0.25,17.0,4.0,17.0,0.9173416356602377,0.6802590910120297,0.22037772441923492
HYB-s4-b100-a0.50,17.0,4.0,17.0,0.9022437384579743,0.6882389366530248,0.23104574443681342
HYB-s4-b100-a0.75,17.0,4.0,17.0,0.9105253443598397,0.6592877734512272,0.22933659244139282
RL-s4-b100-a1.00,17.0,4.0,17.0,0.9081591367024607,0.6621609641565922,0.23284081533348813
HYB-s0-b200-a0.25,17.0,4.0,17.0,0.9041872273230479,0.6906779791818853,0.22630009169165985
HYB-s0-b200-a0.50,17.0,5.0,17.0,0.892054181865159,0.7002586783193949,0.23612692679714478
HYB-s0-b200-a0.75,17.0,3.0,17.0,0.913638673584097,0.6988774272860955,0.23661077417423018
RL-s0-b200-a1.00,8.0,3.0,17.0,0.9252176907339648,0.719915181157469,0.24662184053391098
HYB-s1-b200-a0.25,17.0,4.0,17.0,0.9125092466187968,0.6797285226779333,0.22945034843280765
HYB-s1-b200-a0.50,17.0,6.0,17.0,0.8809391746789567,0.6687757986119013,0.22974021432422984
HYB-s1-b200-a0.75,17.0,6.0,17.0,0.8861302545745658,0.643098306097385,0.2368918077566519
RL-s1-b200-a1.00,17.0,4.0,17.0,0.9047473194608898,0.6571518519424511,0.2528644130772869
HYB-s2-b200-a0.25,7.0,4.0,17.0,0.9126838158149638,0.7066206744407021,0.24262429524997
HYB-s2-b200-a0.50,17.0,5.0,17.0,0.8864411669675342,0.6855240520328304,0.23040210220443438
HYB-s2-b200-a0.75,17.0,5.0,17.0,0.8897662372907019,0.6775989294445326,0.23586328823817912
RL-s2-b200-a1.00,17.0,6.0,17.0,0.8878213906001468,0.6793396549867877,0.23901910160350373
HYB-s3-b200-a0.25,17.0,4.0,17.0,0.9026553042911302,0.6648346484078422,0.23098428569057083
HYB-s3-b200-a0.50,17.0,17.0,17.0,0.8528413391465401,0.662652939205405,0.22642938260550785
HYB-s3-b200-a0.75,17.0,17.0,17.0,0.8311819143892266,0.6800285554003543,0.23632721433853457
RL-s3-b200-a1.00,17.0,7.0,17.0,0.8411498037167059,0.6812728127040545,0.2438204994842369
HYB-s4-b200-a0.25,17.0,4.0,17.0,0.9231835196743005,0.695484165255846,0.23761148914925237
HYB-s4-b200-a0.50,17.0,5.0,17.0,0.8988857706132136,0.685283859980728,0.23703615164333647
HYB-s4-b200-a0.75,17.0,4.0,17.0,0.9045441115144357,0.6828627791492666,0.24557573612411407
RL-s4-b200-a1.00,17.0,4.0,17.0,0.9061466241295292,0.694487288302399,0.26604086754039163
HYB-s0-b300-a0.25,17.0,5.0,17.0,0.8999687544398454,0.6766860454153958,0.21814738789369373
HYB-s0-b300-a0.50,17.0,5.0,17.0,0.8960986349796369,0.6655931514778624,0.21600224487317563
HYB-s0-b300-a0.75,17.0,3.0,17.0,0.9156309364225853,0.6516870681111371,0.2214943667068702
RL-s0-b300-a1.00,10.0,4.0,17.0,0.9193702936830312,0.6693134880389866,0.23260294599878398
HYB-s1-b300-a0.25,17.0,5.0,17.0,0.8961207785333564,0.6864900834391717,0.23888985182019498
HYB-s1-b300-a0.50,17.0,6.0,17.0,0.8797139385490511,0.6751756121726215,0.23184791323979415
HYB-s1-b300-a0.75,17.0,6.0,17.0,0.8846453085284484,0.6409526949775365,0.23226040638371143
RL-s1-b300-a1.00,17.0,5.0,17.0,0.8858557902545239,0.6527122688322599,0.2451195465196974
HYB-s2-b300-a0.25,17.0,4.0,17.0,0.9073806585670665,0.6791909588768864,0.22709807188831904
HYB-s2-b300-a0.50,17.0,6.0,17.0,0.8631216243114556,0.6942156096453227,0.23294286248647042
HYB-s2-b300-a0.75,17.0,17.0,17.0,0.830110258676939,0.6723704937462066,0.22992870183758607
RL-s2-b300-a1.00,17.0,7.0,17.0,0.8298272784767212,0.6782257850007152,0.23704386788800164
HYB-s3-b300-a0.25,17.0,4.0,17.0,0.9138518415248437,0.6881507369664184,0.23872716372274427
HYB-s3-b300-a0.50,17.0,5.0,17.0,0.8945826763849533,0.6712005769216959,0.2283657287824401
HYB-s3-b300-a0.75,17.0,17.0,17.0,0.8750359273615662,0.639619125049643,0.2282489643417738
RL-s3-b300-a1.00,17.0,6.0,17.0,0.85432860889908,0.6519887566043474,0.21891851986341915
HYB-s4-b300-a0.25,17.0,4.0,17.0,0.9044016428024578,0.6711031819945953,0.22768398328068512
HYB-s4-b300-a0.50,17.0,6.0,17.0,0.8708970830218725,0.6732292902171155,0.2273620657005535
HYB-s4-b300-a0.75,17.0,5.0,17.0,0.8969567226302942,0.6782562225850365,0.2405550000024102
RL-s4-b300-a1.00,17.0,5.0,17.0,0.8969855615106623,0.6705502402660246,0.2707124295332352
