cond,opponent,wins,losses,pure_winrate,p_raw,p_holm,significant
BT-v1,BT-v2,2,102,0.019230769230769232,5.384961754264932e-28,1.0500675420816617e-25,True
BT-v1,BT-v3,1,108,0.009174311926605505,3.389636702121535e-31,6.847066138285501e-29,True
BT-v2,BT-v2,51,51,0.5,1.0,1.0,False
BT-v2,BT-v3,152,15,0.9101796407185628,1.0384614835804017e-29,2.0769229671608035e-27,True
BT-v3,BT-v2,15,152,0.08982035928143713,1.0384614835804017e-29,2.0769229671608035e-27,True
BT-v3,BT-v3,67,67,0.5,1.0,1.0,False
HYB-s0-b0-a0.25,BT-v2,52,58,0.4727272727272727,0.6337556480191593,1.0,False
HYB-s0-b0-a0.25,BT-v3,148,16,0.9024390243902439,5.883217541821915e-28,1.1413442031134514e-25,True
HYB-s0-b0-a0.50,BT-v2,43,65,0.39814814814814814,0.04280722079922558,1.0,False
HYB-s0-b0-a0.50,BT-v3,149,18,0.8922155688622755,7.482437985622533e-27,1.4291456552539039e-24,True
HYB-s0-b0-a0.75,BT-v2,45,72,0.38461538461538464,0.015864496824406386,0.8566828285179449,False
HYB-s0-b0-a0.75,BT-v3,145,22,0.8682634730538922,2.0890323117801408e-23,3.8229291305576575e-21,True
HYB-s0-b100-a0.25,BT-v2,57,74,0.4351145038167939,0.16188152458394647,1.0,False
HYB-s0-b100-a0.25,BT-v3,148,15,0.9079754601226994,1.1394687722815318e-28,2.2447534813946178e-26,True
HYB-s0-b100-a0.50,BT-v2,66,51,0.5641025641025641,0.19534905940457784,1.0,False
HYB-s0-b100-a0.50,BT-v3,134,19,0.8758169934640523,1.684438433071452e-22,3.015144795197899e-20,True
HYB-s0-b100-a0.75,BT-v2,74,42,0.6379310344827587,0.0038069274291090776,0.23222257317565373,False
HYB-s0-b100-a0.75,BT-v3,138,16,0.8961038961038961,2.110387955035952e-25,3.9464254759172304e-23,True
HYB-s0-b200-a0.25,BT-v2,52,48,0.52,0.7643534344026669,1.0,False
HYB-s0-b200-a0.25,BT-v3,112,25,0.8175182481751825,2.403640054084458e-14,3.2109223945032196e-12,True
HYB-s0-b200-a0.50,BT-v2,57,37,0.6063829787234043,0.049450065253179916,1.0,False
HYB-s0-b200-a0.50,BT-v3,101,21,0.8278688524590164,9.677506062033449e-14,1.2677532941263818e-11,True
HYB-s0-b200-a0.75,BT-v2,84,27,0.7567567567567568,5.46197809541596e-08,4.9704000668285235e-06,True
HYB-s0-b200-a0.75,BT-v3,124,23,0.8435374149659864,6.0789951352681256e-18,9.908762070487044e-16,True
HYB-s0-b300-a0.25,BT-v2,52,40,0.5652173913043478,0.25132210347485456,1.0,False
HYB-s0-b300-a0.25,BT-v3,116,17,0.8721804511278195,2.643235632987314e-19,4.493500576078434e-17,True
HYB-s0-b300-a0.50,BT-v2,65,25,0.7222222222222222,2.9664529225201866e-05,0.002195175162664938,True
HYB-s0-b300-a0.50,BT-v3,84,27,0.7567567567567568,5.46197809541596e-08,4.9704000668285235e-06,True
HYB-s0-b300-a0.75,BT-v2,106,25,0.8091603053435115,4.547888946408773e-13,5.730340072475054e-11,True
HYB-s0-b300-a0.75,BT-v3,109,26,0.8074074074074075,2.766311459016305e-13,3.5132155529507076e-11,True
HYB-s1-b100-a0.25,BT-v2,60,51,0.5405405405405406,0.4478061321437484,1.0,False
HYB-s1-b100-a0.25,BT-v3,146,12,0.9240506329113924,1.9612726503036144e-30,3.9421580271102647e-28,True
HYB-s1-b100-a0.50,BT-v2,62,41,0.6019417475728155,0.04823365217099688,1.0,False
HYB-s1-b100-a0.50,BT-v3,158,11,0.9349112426035503,1.6561755167063462e-34,3.4117215644150733e-32,True
HYB-s1-b100-a0.75,BT-v2,75,40,0.6521739130434783,0.001412957498607674,0.08901632241228347,False
HYB-s1-b100-a0.75,BT-v3,139,16,0.896774193548387,1.1755851239034877e-25,2.210100032938557e-23,True
HYB-s1-b200-a0.25,BT-v2,58,51,0.5321100917431193,0.5657001139736346,1.0,False
HYB-s1-b200-a0.25,BT-v3,136,19,0.8774193548387097,5.462119416967247e-23,9.886436144710716e-21,True
HYB-s1-b200-a0.50,BT-v2,75,36,0.6756756756756757,0.0002718177522028417,0.018211789397590397,True
HYB-s1-b200-a0.50,BT-v3,130,15,0.896551724137931,4.813511452666796e-24,8.904996187433573e-22,True
HYB-s1-b200-a0.75,BT-v2,99,28,0.7795275590551181,1.71744082628715e-10,1.8720105006529934e-08,True
HYB-s1-b200-a0.75,BT-v3,154,13,0.9221556886227545,9.113778720543226e-32,1.8500970802702748e-29,True
HYB-s1-b300-a0.25,BT-v2,66,44,0.6,0.04476209415697338,1.0,False
HYB-s1-b300-a0.25,BT-v3,141,20,0.8757763975155279,1.3071098149359169e-23,2.405082059482087e-21,True
HYB-s1-b300-a0.50,BT-v2,84,31,0.7304347826086957,8.028561762207067e-07,6.583420645009795e-05,True
HYB-s1-b300-a0.50,BT-v3,129,24,0.8431372549019608,1.393061756076008e-18,2.3403437502076936e-16,True
HYB-s1-b300-a0.75,BT-v2,88,22,0.8,1.5502748845162157e-10,1.7053023729678373e-08,True
HYB-s1-b300-a0.75,BT-v3,159,13,0.9244186046511628,4.227536149253027e-33,8.666449105968705e-31,True
HYB-s2-b100-a0.25,BT-v2,51,41,0.5543478260869565,0.3481412903192059,1.0,False
HYB-s2-b100-a0.25,BT-v3,139,14,0.9084967320261438,4.653754863960281e-27,8.981746887443343e-25,True
HYB-s2-b100-a0.50,BT-v2,57,32,0.6404494382022472,0.010546897231105523,0.6011731421730149,False
HYB-s2-b100-a0.50,BT-v3,129,16,0.8896551724137931,3.9486813615345247e-23,7.186600077992835e-21,True
HYB-s2-b100-a0.75,BT-v2,91,23,0.7982456140350878,9.29097217602857e-11,1.0591708280672569e-08,True
HYB-s2-b100-a0.75,BT-v3,129,22,0.8543046357615894,1.2985264549289515e-19,2.2334655024777965e-17,True
HYB-s2-b200-a0.25,BT-v2,59,41,0.59,0.08862608011406767,1.0,False
HYB-s2-b200-a0.25,BT-v3,114,23,0.8321167883211679,1.090507026135235e-15,1.5812351878960907e-13,True
HYB-s2-b200-a0.50,BT-v2,64,37,0.6336633663366337,0.009335048120644805,0.5414327909973987,False
HYB-s2-b200-a0.50,BT-v3,95,21,0.8189655172413793,1.972638273199072e-12,2.406618693302868e-10,True
HYB-s2-b200-a0.75,BT-v2,94,21,0.8173913043478261,3.240204200619261e-12,3.888245040743113e-10,True
HYB-s2-b200-a0.75,BT-v3,122,20,0.8591549295774648,4.795961866809294e-19,8.105175554907707e-17,True
HYB-s2-b300-a0.25,BT-v2,57,37,0.6063829787234043,0.049450065253179916,1.0,False
HYB-s2-b300-a0.25,BT-v3,90,23,0.7964601769911505,1.4884906475803411e-10,1.6522246188141787e-08,True
HYB-s2-b300-a0.50,BT-v2,64,26,0.7111111111111111,7.657072931048342e-05,0.005283380322423356,True
HYB-s2-b300-a0.50,BT-v3,85,24,0.7798165137614679,3.504828331234894e-09,3.5398766145472434e-07,True
HYB-s2-b300-a0.75,BT-v2,101,32,0.7593984962406015,1.592089822624454e-09,1.6398525173031877e-07,True
HYB-s2-b300-a0.75,BT-v3,105,33,0.7608695652173914,6.093645485136748e-10,6.459264214244953e-08,True
HYB-s3-b100-a0.25,BT-v2,52,49,0.5148514851485149,0.8423820985077433,1.0,False
HYB-s3-b100-a0.25,BT-v3,88,31,0.7394957983193278,1.668715688008364e-07,1.4517826485672766e-05,True
HYB-s3-b100-a0.50,BT-v2,44,49,0.4731182795698925,0.6785320136533252,1.0,False
HYB-s3-b100-a0.50,BT-v3,74,33,0.6915887850467289,9.18202620626861e-05,0.0062437778202626545,True
HYB-s3-b100-a0.75,BT-v2,58,35,0.6236559139784946,0.022018588373923325,1.0,False
HYB-s3-b100-a0.75,BT-v3,86,40,0.6825396825396826,5.103265178960252e-05,0.003623318277061779,True
HYB-s3-b200-a0.25,BT-v2,50,59,0.45871559633027525,0.44366950120234916,1.0,False
HYB-s3-b200-a0.25,BT-v3,75,39,0.6578947368421053,0.0009591967698984278,0.06138859327349938,False
HYB-s3-b200-a0.50,BT-v2,54,58,0.48214285714285715,0.7769647513696718,1.0,False
HYB-s3-b200-a0.50,BT-v3,67,39,0.6320754716981132,0.008416993570533987,0.49660262066150523,False
HYB-s3-b200-a0.75,BT-v2,73,54,0.5748031496062992,0.1098495025660595,1.0,False
HYB-s3-b200-a0.75,BT-v3,83,37,0.6916666666666667,3.243159445418542e-05,0.002367506395155536,True
HYB-s3-b300-a0.25,BT-v2,55,43,0.5612244897959183,0.2664055944111921,1.0,False
HYB-s3-b300-a0.25,BT-v3,120,24,0.8333333333333334,1.4916559831780758e-16,2.3120667739260175e-14,True
HYB-s3-b300-a0.50,BT-v2,56,56,0.5,1.0,1.0,False
HYB-s3-b300-a0.50,BT-v3,92,35,0.7244094488188977,4.3609050114827153e-07,3.7503783098751355e-05,True
HYB-s3-b300-a0.75,BT-v2,85,31,0.7327586206896551,5.444609183150127e-07,4.573471713846106e-05,True
HYB-s3-b300-a0.75,BT-v3,104,26,0.8,3.025786266290503e-12,3.6612013822115086e-10,True
HYB-s4-b100-a0.25,BT-v2,51,45,0.53125,0.610068266105178,1.0,False
HYB-s4-b100-a0.25,BT-v3,120,18,0.8695652173913043,1.087064198398728e-19,1.8806210632297995e-17,True
HYB-s4-b100-a0.50,BT-v2,54,36,0.6,0.07254953219246177,1.0,False
HYB-s4-b100-a0.50,BT-v3,126,20,0.863013698630137,5.407411042600246e-20,9.408895214124428e-18,True
HYB-s4-b100-a0.75,BT-v2,66,27,0.7096774193548387,6.467045262218053e-05,0.004526931683552637,True
HYB-s4-b100-a0.75,BT-v3,126,19,0.8689655172413793,1.4679742967742358e-20,2.5689550193549126e-18,True
HYB-s4-b200-a0.25,BT-v2,62,52,0.543859649122807,0.39937318688053813,1.0,False
HYB-s4-b200-a0.25,BT-v3,110,20,0.8461538461538461,2.9914264919694234e-16,4.471475801372169e-14,True
HYB-s4-b200-a0.50,BT-v2,66,44,0.6,0.04476209415697338,1.0,False
HYB-s4-b200-a0.50,BT-v3,119,24,0.8321678321678322,2.491070910758037e-16,3.8113384934597963e-14,True
HYB-s4-b200-a0.75,BT-v2,103,33,0.7573529411764706,1.419571074706475e-09,1.4905496284417988e-07,True
HYB-s4-b200-a0.75,BT-v3,147,19,0.8855421686746988,1.0499069308703426e-25,1.9843240993449476e-23,True
HYB-s4-b300-a0.25,BT-v2,57,39,0.59375,0.08219306855694346,1.0,False
HYB-s4-b300-a0.25,BT-v3,108,23,0.8244274809160306,2.295317592526725e-14,3.1445851017616136e-12,True
HYB-s4-b300-a0.50,BT-v2,74,30,0.7115384615384616,1.8940835677418383e-05,0.0014584443471612155,True
HYB-s4-b300-a0.50,BT-v3,96,24,0.8,2.162228172529954e-11,2.573051525310645e-09,True
HYB-s4-b300-a0.75,BT-v2,114,19,0.8571428571428571,1.0551613780244042e-17,1.6988098186192908e-15,True
HYB-s4-b300-a0.75,BT-v3,134,20,0.8701298701298701,6.540692496507491e-22,1.1511618793853185e-19,True
HYB-s5-b100-a0.25,BT-v2,57,37,0.6063829787234043,0.049450065253179916,1.0,False
HYB-s5-b100-a0.25,BT-v3,133,18,0.8807947019867549,7.322317539663456e-23,1.3180171571394221e-20,True
HYB-s5-b100-a0.50,BT-v2,80,31,0.7207207207207207,3.681632925244418e-06,0.00029084900109430903,True
HYB-s5-b100-a0.50,BT-v3,142,9,0.9403973509933775,6.591678161717244e-32,1.3447023449903178e-29,True
HYB-s5-b100-a0.75,BT-v2,100,23,0.8130081300813008,1.2206923441568713e-12,1.5014515833129517e-10,True
HYB-s5-b100-a0.75,BT-v3,139,14,0.9084967320261438,4.653754863960281e-27,8.981746887443343e-25,True
HYB-s5-b200-a0.25,BT-v2,48,47,0.5052631578947369,1.0,1.0,False
HYB-s5-b200-a0.25,BT-v3,89,31,0.7416666666666667,1.1187721865433782e-07,9.845195241581728e-06,True
HYB-s5-b200-a0.50,BT-v2,51,35,0.5930232558139535,0.10522535125694396,1.0,False
HYB-s5-b200-a0.50,BT-v3,76,33,0.6972477064220184,4.655578894552281e-05,0.0033520168040776423,True
HYB-s5-b200-a0.75,BT-v2,86,26,0.7678571428571429,1.100922308456013e-08,1.0568854161177726e-06,True
HYB-s5-b200-a0.75,BT-v3,117,24,0.8297872340425532,6.918893453100373e-16,1.0101584441526545e-13,True
HYB-s5-b300-a0.25,BT-v2,47,42,0.5280898876404494,0.6718086491746103,1.0,False
HYB-s5-b300-a0.25,BT-v3,87,27,0.7631578947368421,1.5261651463770288e-08,1.4498568890581773e-06,True
HYB-s5-b300-a0.50,BT-v2,53,30,0.6385542168674698,0.015232201861994662,0.8377711024097064,False
HYB-s5-b300-a0.50,BT-v3,84,24,0.7777777777777778,5.489868446239806e-09,5.489868446239806e-07,True
HYB-s5-b300-a0.75,BT-v2,92,23,0.8,5.7870792629827734e-11,6.770882737689845e-09,True
HYB-s5-b300-a0.75,BT-v3,107,26,0.8045112781954887,7.240570875462991e-13,9.050713594328738e-11,True
HYB-s6-b100-a0.25,BT-v2,57,46,0.5533980582524272,0.3244787802880654,1.0,False
HYB-s6-b100-a0.25,BT-v3,96,29,0.768,1.4292764071780264e-09,1.4905496284417988e-07,True
HYB-s6-b100-a0.50,BT-v2,54,34,0.6136363636363636,0.04221061162240417,1.0,False
HYB-s6-b100-a0.50,BT-v3,84,26,0.7636363636363637,2.6140393458029345e-08,2.431056591596729e-06,True
HYB-s6-b100-a0.75,BT-v2,89,30,0.7478991596638656,5.6882868507839105e-08,5.062575297197681e-06,True
HYB-s6-b100-a0.75,BT-v3,84,32,0.7241379310344828,1.481143728223155e-06,0.00011997264198607556,True
HYB-s6-b200-a0.25,BT-v2,48,38,0.5581395348837209,0.3318343545999156,1.0,False
HYB-s6-b200-a0.25,BT-v3,105,23,0.8203125,1.0313887967736937e-13,1.3408054358058019e-11,True
HYB-s6-b200-a0.50,BT-v2,59,34,0.6344086021505376,0.012400602797937593,0.6944337566845052,False
HYB-s6-b200-a0.50,BT-v3,89,27,0.7672413793103449,6.438995104259033e-09,6.374605153216443e-07,True
HYB-s6-b200-a0.75,BT-v2,102,30,0.7727272727272727,2.2572672560500646e-10,2.4152759639735693e-08,True
HYB-s6-b200-a0.75,BT-v3,120,22,0.8450704225352113,1.5677310787896847e-17,2.5083697260634956e-15,True
HYB-s6-b300-a0.25,BT-v2,54,36,0.6,0.07254953219246177,1.0,False
HYB-s6-b300-a0.25,BT-v3,97,26,0.7886178861788617,7.967669169699199e-11,9.162819545154078e-09,True
HYB-s6-b300-a0.50,BT-v2,66,25,0.7252747252747253,2.0283289208145556e-05,0.0015415299798190623,True
HYB-s6-b300-a0.50,BT-v3,95,26,0.7851239669421488,1.992019573556286e-10,2.1513811394407888e-08,True
HYB-s6-b300-a0.75,BT-v2,112,23,0.8296296296296296,3.028830399743235e-15,4.3615157756302586e-13,True
HYB-s6-b300-a0.75,BT-v3,128,26,0.8311688311688312,2.1731117116190447e-17,3.4117853872419003e-15,True
HYB-s7-b100-a0.25,BT-v2,46,57,0.44660194174757284,0.3244787802880654,1.0,False
HYB-s7-b100-a0.25,BT-v3,94,37,0.7175572519083969,6.717865920862282e-07,5.575828714315694e-05,True
HYB-s7-b100-a0.50,BT-v2,36,55,0.3956043956043956,0.058573528410188855,1.0,False
HYB-s7-b100-a0.50,BT-v3,64,46,0.5818181818181818,0.10461305811126718,1.0,False
HYB-s7-b100-a0.75,BT-v2,37,51,0.42045454545454547,0.16544051293398976,1.0,False
HYB-s7-b100-a0.75,BT-v3,53,47,0.53,0.6172994135892521,1.0,False
HYB-s7-b200-a0.25,BT-v2,58,51,0.5321100917431193,0.5657001139736346,1.0,False
HYB-s7-b200-a0.25,BT-v3,128,22,0.8533333333333334,2.2220912616069364e-19,3.799776057347861e-17,True
HYB-s7-b200-a0.50,BT-v2,53,55,0.49074074074074076,0.9234010375945971,1.0,False
HYB-s7-b200-a0.50,BT-v3,116,23,0.8345323741007195,3.9040348640344726e-16,5.77797159877102e-14,True
HYB-s7-b200-a0.75,BT-v2,63,51,0.5526315789473685,0.302877552630325,1.0,False
HYB-s7-b200-a0.75,BT-v3,122,25,0.8299319727891157,1.5818511154852923e-16,2.43605071784735e-14,True
HYB-s7-b300-a0.25,BT-v2,50,49,0.5050505050505051,1.0,1.0,False
HYB-s7-b300-a0.25,BT-v3,112,24,0.8235294117647058,8.676026674232843e-15,1.2233197610668308e-12,True
HYB-s7-b300-a0.50,BT-v2,68,44,0.6071428571428571,0.029302222971632798,1.0,False
HYB-s7-b300-a0.50,BT-v3,104,36,0.7428571428571429,7.600909757854836e-09,7.44889156269774e-07,True
HYB-s7-b300-a0.75,BT-v2,74,29,0.7184466019417476,1.0705258229134963e-05,0.000835010141872527,True
HYB-s7-b300-a0.75,BT-v3,116,26,0.8169014084507042,9.051618305252369e-15,1.2581749444300793e-12,True
RL-s0-b0-a1.00,BT-v2,43,68,0.38738738738738737,0.022297954801947985,1.0,False
RL-s0-b0-a1.00,BT-v3,154,18,0.8953488372093024,4.074445781426416e-28,7.985913731595775e-26,True
RL-s0-b100-a1.00,BT-v2,57,77,0.4253731343283582,0.10036570149746177,1.0,False
RL-s0-b100-a1.00,BT-v3,142,16,0.8987341772151899,2.023295807001298e-26,3.844262033302466e-24,True
RL-s0-b200-a1.00,BT-v2,93,28,0.768595041322314,2.4401043194765048e-09,2.488906405866035e-07,True
RL-s0-b200-a1.00,BT-v3,120,29,0.8053691275167785,2.3641233503845848e-14,3.2109223945032196e-12,True
RL-s0-b300-a1.00,BT-v2,112,24,0.8235294117647058,8.676026674232843e-15,1.2233197610668308e-12,True
RL-s0-b300-a1.00,BT-v3,119,24,0.8321678321678322,2.491070910758037e-16,3.8113384934597963e-14,True
RL-s1-b100-a1.00,BT-v2,55,36,0.6043956043956044,0.058573528410188855,1.0,False
RL-s1-b100-a1.00,BT-v3,122,23,0.8413793103448276,1.73419434072608e-17,2.7573690017544675e-15,True
RL-s1-b200-a1.00,BT-v2,115,25,0.8214285714285714,5.4081768250748685e-15,7.679611091606313e-13,True
RL-s1-b200-a1.00,BT-v3,136,28,0.8292682926829268,3.158922745830929e-18,5.243811758079342e-16,True
RL-s1-b300-a1.00,BT-v2,129,17,0.8835616438356164,1.710414012325665e-22,3.0445369419396836e-20,True
RL-s1-b300-a1.00,BT-v3,137,21,0.8670886075949367,4.663888986812997e-22,8.255083506659006e-20,True
RL-s2-b100-a1.00,BT-v2,79,22,0.7821782178217822,1.012134755360389e-08,9.817707126995773e-07,True
RL-s2-b100-a1.00,BT-v3,122,23,0.8413793103448276,1.73419434072608e-17,2.7573690017544675e-15,True
RL-s2-b200-a1.00,BT-v2,105,18,0.8536585365853658,3.9641704747498244e-16,5.827330597882242e-14,True
RL-s2-b200-a1.00,BT-v3,112,18,0.8615384615384616,8.921023429334677e-18,1.4452057955522177e-15,True
RL-s2-b300-a1.00,BT-v2,130,34,0.7926829268292683,1.9801428445937144e-14,2.7325971255393256e-12,True
RL-s2-b300-a1.00,BT-v3,131,30,0.8136645962732919,2.980983867581446e-16,4.471475801372169e-14,True
RL-s3-b100-a1.00,BT-v2,50,49,0.5050505050505051,1.0,1.0,False
RL-s3-b100-a1.00,BT-v3,77,40,0.6581196581196581,0.0007995844433963236,0.05197298882076103,False
RL-s3-b200-a1.00,BT-v2,108,40,0.7297297297297297,2.0722273302304695e-08,1.9478936904166413e-06,True
RL-s3-b200-a1.00,BT-v3,124,32,0.7948717948717948,5.523336630751778e-14,7.290804352592347e-12,True
RL-s3-b300-a1.00,BT-v2,116,29,0.8,1.5922199070946208e-13,2.0539636801520608e-11,True
RL-s3-b300-a1.00,BT-v3,127,28,0.8193548387096774,2.9129823112383076e-16,4.398603289969844e-14,True
RL-s4-b100-a1.00,BT-v2,60,31,0.6593406593406593,0.00311268984839376,0.1929867706004131,False
RL-s4-b100-a1.00,BT-v3,113,24,0.8248175182481752,5.247371793292725e-15,7.503741664408596e-13,True
RL-s4-b200-a1.00,BT-v2,97,46,0.6783216783216783,2.4079083066617164e-05,0.0018059312299962874,True
RL-s4-b200-a1.00,BT-v3,156,17,0.9017341040462428,2.600801081324503e-29,5.149586141022516e-27,True
RL-s4-b300-a1.00,BT-v2,123,24,0.8367346938775511,3.177259588075142e-17,4.9565249573972215e-15,True
RL-s4-b300-a1.00,BT-v3,131,26,0.8343949044585988,4.667996682495814e-18,7.702194526118093e-16,True
RL-s5-b100-a1.00,BT-v2,91,23,0.7982456140350878,9.29097217602857e-11,1.0591708280672569e-08,True
RL-s5-b100-a1.00,BT-v3,134,16,0.8933333333333333,2.1755247260990872e-24,4.046475990544302e-22,True
RL-s5-b200-a1.00,BT-v2,87,34,0.71900826446281,1.5716537188665445e-06,0.00012573229750932355,True
