cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family
RL-s1-b300-a1.00,0.785,110.41612499999587,0.06684199745627652,1.9426249999999974,0.79,17.0,5.0,17.0,17.0,0.8981994883402624,2996.0,33946,RL
HYB-s1-b300-a0.75,0.765,107.77549999999599,0.06986717286098039,1.9079999999999977,0.865,17.0,5.0,17.0,17.0,0.8983885670767339,3520.0,31836,Hybrid
HYB-s1-b200-a0.75,0.765,109.92949999999584,0.07256592819240726,1.4503749999999984,0.8525,17.0,17.0,17.0,17.0,0.8815300973757094,2870.0,32433,Hybrid
HYB-s4-b300-a0.75,0.76125,112.07412499999572,0.04803164750867839,1.0187499999999992,0.785,17.0,3.0,17.0,17.0,0.9180979216647907,5554.0,34243,Hybrid
RL-s4-b300-a1.00,0.755,114.65637499999559,0.038734976240447666,0.8699999999999994,0.7625,5.0,2.0,5.0,17.0,0.9449104162582058,32.0,35346,RL
HYB-s5-b100-a0.75,0.7525,113.66412499999566,0.06202571693143357,1.1367499999999988,0.8125,17.0,3.0,17.0,17.0,0.9160447640529228,3502.0,33453,Hybrid
HYB-s4-b200-a0.75,0.7475,105.72812499999613,0.07962906279808128,1.520249999999998,0.82,17.0,3.0,17.0,17.0,0.9258664907430826,4984.0,31214,Hybrid
RL-s1-b200-a1.00,0.7475,112.9603749999957,0.05914570177227414,1.2809999999999986,0.77,17.0,3.0,17.0,17.0,0.9183590402195994,3675.0,33465,RL
RL-s6-b300-a1.00,0.7462500000000001,117.15949999999545,0.03305569090506716,0.562125,0.765,5.0,2.0,5.0,17.0,0.9470774548307749,32.0,35436,RL
RL-s2-b300-a1.00,0.74625,116.21037499999548,0.033456888188505306,0.593375,0.7525,6.0,4.0,6.0,17.0,0.923618598082829,63.0,34197,RL
HYB-s6-b300-a0.75,0.73875,116.75312499999546,0.036675310660823565,0.6322499999999998,0.755,6.0,2.0,6.0,17.0,0.9352908935611236,64.0,35297,Hybrid
RL-s4-b200-a1.00,0.7375,105.42099999999613,0.09816208705035714,1.5244999999999984,0.8475,6.0,4.0,6.0,17.0,0.9372885220838404,64.0,31793,RL
RL-s5-b100-a1.00,0.7325,114.2629999999956,0.057582588867279044,1.0189999999999988,0.795,6.0,3.0,6.0,17.0,0.9277929378732573,62.0,34927,RL
RL-s3-b300-a1.00,0.7325,114.34874999999559,0.04455812851391395,0.615625,0.7475,6.0,2.0,6.0,17.0,0.9314722870402549,61.0,34483,RL
RL-s0-b300-a1.00,0.72875,117.05562499999544,0.04000593480374728,0.33862499999999995,0.7375,3.0,1.0,3.0,17.0,0.9657879878027142,8.0,35287,RL
HYB-s5-b100-a0.50,0.7275,107.07849999999596,0.07561733963397746,1.2473749999999986,0.8325,9.0,3.0,9.0,17.0,0.9239293665907974,334.0,32658,Hybrid
RL-s2-b200-a1.00,0.7262500000000001,114.16837499999562,0.04261637918070381,0.9344999999999991,0.735,7.0,3.0,7.0,17.0,0.9258647818832463,119.0,34629,RL
HYB-s2-b200-a0.75,0.71875,109.58487499999588,0.050053835467289524,1.1691249999999986,0.755,17.0,6.0,17.0,17.0,0.8880818893476422,2680.0,32693,Hybrid
HYB-s2-b100-a0.75,0.71875,109.90749999999585,0.05089198825279191,1.4142499999999985,0.7675,17.0,3.0,17.0,17.0,0.9218864545971219,3216.0,31769,Hybrid
HYB-s6-b200-a0.75,0.7125,114.75862499999559,0.04099916564730155,0.8588749999999994,0.745,5.0,1.0,5.0,17.0,0.9366048523883845,32.0,34914,Hybrid
HYB-s1-b100-a0.50,0.71,103.22649999999614,0.0945222993379022,1.4062499999999982,0.8675,17.0,4.0,17.0,17.0,0.9109804667737785,2900.0,32431,Hybrid
HYB-s0-b300-a0.75,0.7050000000000001,116.32599999999545,0.04087569888892113,0.3537499999999999,0.7075,6.0,1.0,6.0,17.0,0.9485651676243689,60.0,34471,Hybrid
RL-s3-b200-a1.00,0.7,116.93112499999546,0.032697671314468366,0.389375,0.73,5.0,3.0,5.0,17.0,0.9311919272759567,32.0,35237,RL
HYB-s1-b300-a0.50,0.6975,104.71312499999607,0.09350834516814316,1.3448749999999983,0.7625,17.0,5.0,17.0,17.0,0.8940247683398411,3357.0,30681,Hybrid
HYB-s0-b200-a0.75,0.6975,113.04687499999565,0.04780985640472643,0.7504999999999993,0.7525,17.0,1.0,17.0,17.0,0.934617218998436,3168.0,33357,Hybrid
HYB-s1-b100-a0.75,0.6975,107.24637499999596,0.08074544698093425,1.3526249999999982,0.8075,17.0,3.0,17.0,17.0,0.9214623771911767,2912.0,32824,Hybrid
RL-s5-b300-a1.00,0.69625,117.12412499999544,0.041892296125380105,0.5278749999999999,0.715,5.0,1.0,5.0,17.0,0.9440381768284404,32.0,34646,RL
RL-s2-b100-a1.00,0.6950000000000001,109.41712499999588,0.04911529843205102,1.2458749999999985,0.7475,6.0,3.0,6.0,17.0,0.9293113844947402,61.0,32705,RL
RL-s0-b200-a1.00,0.6950000000000001,115.73599999999553,0.03749123415743684,0.7159999999999995,0.7275,4.0,1.0,4.0,17.0,0.952853330877906,16.0,34253,RL
HYB-s1-b200-a0.50,0.6925,104.68624999999608,0.0824876922900864,1.3024999999999984,0.7875,17.0,7.0,17.0,17.0,0.886192608029084,2121.0,31499,Hybrid
HYB-s0-b100-a0.75,0.6925,99.43462499999646,0.09328607277658049,1.681499999999998,0.805,17.0,4.0,17.0,17.0,0.9020401042642746,4238.0,30903,Hybrid
HYB-s5-b200-a0.75,0.69125,112.99387499999568,0.04453164416210328,0.8327499999999992,0.7325,17.0,8.0,17.0,17.0,0.8841537123930509,2811.0,32982,Hybrid
RL-s5-b200-a1.00,0.6912499999999999,113.88387499999561,0.04586272428883423,0.8434999999999994,0.75,5.0,2.0,5.0,17.0,0.9328022684466543,32.0,33916,RL
HYB-s5-b300-a0.75,0.6875,114.70537499999558,0.04201323558985945,0.7802499999999992,0.7025,17.0,3.0,17.0,17.0,0.9127545167344069,4134.0,34378,Hybrid
RL-s6-b100-a1.00,0.6825,116.73824999999547,0.03247793361263459,0.40374999999999994,0.6825,6.0,2.0,6.0,17.0,0.9453246962163797,64.0,34384,RL
RL-s7-b300-a1.00,0.6825,116.72912499999546,0.03674560219998935,0.5713749999999995,0.7175,7.0,4.0,7.0,17.0,0.9105768669969455,99.0,35273,RL
HYB-s4-b100-a0.75,0.6825,110.40037499999582,0.05033494942100144,0.9591249999999991,0.7675,11.0,4.0,11.0,17.0,0.9221511031819956,800.0,32983,Hybrid
HYB-s1-b100-a0.25,0.67875,104.12124999999611,0.10140920452128849,1.423874999999998,0.835,17.0,5.0,17.0,17.0,0.8933605612828904,2967.0,31830,Hybrid
HYB-s1-b300-a0.25,0.67875,102.4003749999962,0.08977148588232349,1.3722499999999982,0.8025,17.0,6.0,17.0,17.0,0.8905273495833478,3250.0,30677,Hybrid
