opponent,cond_a,cond_b,mean_a,mean_b,diff,n,p_raw,p_holm,significant
BT-v2,BT-v1,BT-v2,0.25,0.5,-0.25,100,8.638747650492352e-16,8.859899590344956e-12,True
BT-v2,BT-v1,BT-v3,0.25,0.1575,0.0925,100,0.002512511718253933,1.0,False
BT-v2,BT-v1,HYB-s0-b0-a0.25,0.25,0.485,-0.235,100,3.3416653379851446e-12,3.328632843167002e-08,True
BT-v2,BT-v1,HYB-s0-b0-a0.50,0.25,0.445,-0.195,100,7.00508593905317e-09,6.404049565482409e-05,True
BT-v2,BT-v1,HYB-s0-b0-a0.75,0.25,0.4325,-0.1825,100,1.1830303048300864e-08,0.00010722986682979903,True
BT-v2,BT-v1,HYB-s0-b100-a0.25,0.25,0.4575,-0.20750000000000002,100,1.1498468772702142e-07,0.0009907080694560165,True
BT-v2,BT-v1,HYB-s0-b100-a0.50,0.25,0.5375,-0.2875,100,3.140575145441775e-10,3.0127537370222947e-06,True
BT-v2,BT-v1,HYB-s0-b100-a0.75,0.25,0.58,-0.32999999999999996,100,3.4009567174115553e-13,3.4251035101051775e-09,True
BT-v2,BT-v1,HYB-s0-b200-a0.25,0.25,0.51,-0.26,100,1.5520424956657648e-13,1.5680285333711221e-09,True
BT-v2,BT-v1,HYB-s0-b200-a0.50,0.25,0.55,-0.30000000000000004,100,3.306669096418574e-16,3.4009091656665033e-12,True
BT-v2,BT-v1,HYB-s0-b200-a0.75,0.25,0.6425,-0.39249999999999996,100,4.157733133257224e-17,4.3053326594878557e-13,True
BT-v2,BT-v1,HYB-s0-b300-a0.25,0.25,0.53,-0.28,100,4.102142572255398e-15,4.189518209044438e-11,True
BT-v2,BT-v1,HYB-s0-b300-a0.50,0.25,0.6,-0.35,100,8.625116823764427e-17,8.90543312053677e-13,True
BT-v2,BT-v1,HYB-s0-b300-a0.75,0.25,0.7025,-0.4525,100,2.2002132005353152e-17,2.283821302155657e-13,True
BT-v2,BT-v1,HYB-s1-b100-a0.25,0.25,0.5225,-0.27249999999999996,100,4.5824164642320654e-14,4.644279086499198e-10,True
BT-v2,BT-v1,HYB-s1-b100-a0.50,0.25,0.5525,-0.3025,100,3.3705680269374956e-14,3.4197783201307833e-10,True
BT-v2,BT-v1,HYB-s1-b100-a0.75,0.25,0.5875,-0.3375,100,1.6514417856535828e-15,1.6914066768663996e-11,True
BT-v2,BT-v1,HYB-s1-b200-a0.25,0.25,0.5175,-0.26749999999999996,100,4.921590364630103e-12,4.8940294585881746e-08,True
BT-v2,BT-v1,HYB-s1-b200-a0.50,0.25,0.5975,-0.34750000000000003,100,2.124297038780181e-15,2.1731558706721253e-11,True
BT-v2,BT-v1,HYB-s1-b200-a0.75,0.25,0.6775,-0.4275,100,5.804114161376739e-17,6.000293220031272e-13,True
BT-v2,BT-v1,HYB-s1-b300-a0.25,0.25,0.555,-0.30500000000000005,100,1.7410042314131129e-15,1.7827883329670275e-11,True
BT-v2,BT-v1,HYB-s1-b300-a0.50,0.25,0.6325,-0.38249999999999995,100,4.5601472242897206e-17,4.719296362417432e-13,True
BT-v2,BT-v1,HYB-s1-b300-a0.75,0.25,0.665,-0.41500000000000004,100,8.703963125565364e-17,8.985101134521125e-13,True
BT-v2,BT-v1,HYB-s2-b100-a0.25,0.25,0.525,-0.275,100,2.6641673957306298e-14,2.7049291568853084e-10,True
BT-v2,BT-v1,HYB-s2-b100-a0.50,0.25,0.5625,-0.3125,100,5.518575940793067e-15,5.630603032391166e-11,True
BT-v2,BT-v1,HYB-s2-b100-a0.75,0.25,0.67,-0.42000000000000004,100,1.066332708212291e-16,1.1001354550626206e-12,True
BT-v2,BT-v1,HYB-s2-b200-a0.25,0.25,0.545,-0.29500000000000004,100,1.7704016075721524e-16,1.822982535317045e-12,True
BT-v2,BT-v1,HYB-s2-b200-a0.50,0.25,0.5675,-0.3175,100,5.81120412878826e-17,6.007041707928425e-13,True
BT-v2,BT-v1,HYB-s2-b200-a0.75,0.25,0.6825,-0.4325,100,8.657361786493525e-17,8.937860308375915e-13,True
BT-v2,BT-v1,HYB-s2-b300-a0.25,0.25,0.55,-0.30000000000000004,100,5.023886805117123e-16,5.160536526216309e-12,True
BT-v2,BT-v1,HYB-s2-b300-a0.50,0.25,0.595,-0.345,100,4.881845840424707e-17,5.050757706503402e-13,True
BT-v2,BT-v1,HYB-s2-b300-a0.75,0.25,0.6725,-0.4225,100,1.9475012452202473e-17,2.022674793285749e-13,True
BT-v2,BT-v1,HYB-s3-b100-a0.25,0.25,0.5075,-0.25749999999999995,100,3.267815249715434e-13,3.2923238640883e-09,True
BT-v2,BT-v1,HYB-s3-b100-a0.50,0.25,0.4875,-0.2375,100,4.829423589662483e-13,4.860331900636323e-09,True
BT-v2,BT-v1,HYB-s3-b100-a0.75,0.25,0.5575,-0.3075,100,5.209706255602081e-15,5.315984263216363e-11,True
BT-v2,BT-v1,HYB-s3-b200-a0.25,0.25,0.4775,-0.22749999999999998,100,3.8828888916935145e-12,3.865804180570063e-08,True
BT-v2,BT-v1,HYB-s3-b200-a0.50,0.25,0.49,-0.24,100,1.383449363243191e-12,1.3844177777974612e-08,True
BT-v2,BT-v1,HYB-s3-b200-a0.75,0.25,0.5475,-0.2975,100,1.0315514553661162e-13,1.0434142971028265e-09,True
BT-v2,BT-v1,HYB-s3-b300-a0.25,0.25,0.53,-0.28,100,2.0261028116773535e-14,2.0587230669453588e-10,True
BT-v2,BT-v1,HYB-s3-b300-a0.50,0.25,0.5,-0.25,100,2.997950160729021e-12,2.9883567202146884e-08,True
BT-v2,BT-v1,HYB-s3-b300-a0.75,0.25,0.635,-0.385,100,1.1096032305622066e-16,1.144555732324916e-12,True
BT-v2,BT-v1,HYB-s4-b100-a0.25,0.25,0.515,-0.265,100,1.7081224103316846e-13,1.7253744466760347e-09,True
BT-v2,BT-v1,HYB-s4-b100-a0.50,0.25,0.545,-0.29500000000000004,100,6.282457108580778e-15,6.404965022198103e-11,True
BT-v2,BT-v1,HYB-s4-b100-a0.75,0.25,0.5975,-0.34750000000000003,100,2.5917456660031363e-17,2.6886769539116534e-13,True
BT-v2,BT-v1,HYB-s4-b200-a0.25,0.25,0.525,-0.275,100,2.2835297473786968e-11,2.244709741673259e-07,True
BT-v2,BT-v1,HYB-s4-b200-a0.50,0.25,0.555,-0.30500000000000005,100,9.377544367869109e-15,9.551028938674688e-11,True
BT-v2,BT-v1,HYB-s4-b200-a0.75,0.25,0.675,-0.42500000000000004,100,5.45856017313302e-16,5.606487153824925e-12,True
BT-v2,BT-v1,HYB-s4-b300-a0.25,0.25,0.545,-0.29500000000000004,100,1.3376248853522289e-15,1.3702629325548234e-11,True
BT-v2,BT-v1,HYB-s4-b300-a0.50,0.25,0.61,-0.36,100,1.3444695694229151e-16,1.3860136791180831e-12,True
BT-v2,BT-v1,HYB-s4-b300-a0.75,0.25,0.7375,-0.48750000000000004,100,9.956346494798704e-18,1.037451304758025e-13,True
BT-v2,BT-v1,HYB-s5-b100-a0.25,0.25,0.55,-0.30000000000000004,100,3.874171111327795e-14,3.9287969239975167e-10,True
BT-v2,BT-v1,HYB-s5-b100-a0.50,0.25,0.6225,-0.37250000000000005,100,6.09534895342755e-16,6.257485235588723e-12,True
BT-v2,BT-v1,HYB-s5-b100-a0.75,0.25,0.6925,-0.4425,100,5.532678485375942e-17,5.720789553878724e-13,True
BT-v2,BT-v1,HYB-s5-b200-a0.25,0.25,0.5025,-0.25249999999999995,100,2.4692083171039367e-14,2.507481046019048e-10,True
BT-v2,BT-v1,HYB-s5-b200-a0.50,0.25,0.54,-0.29000000000000004,100,2.3673201457444626e-15,2.4215317770820108e-11,True
BT-v2,BT-v1,HYB-s5-b200-a0.75,0.25,0.65,-0.4,100,2.7692510434751572e-17,2.8719902571880856e-13,True
BT-v2,BT-v1,HYB-s5-b300-a0.25,0.25,0.5125,-0.26249999999999996,100,1.4576000067197564e-14,1.4825249668346643e-10,True
BT-v2,BT-v1,HYB-s5-b300-a0.50,0.25,0.5575,-0.3075,100,9.166294094036525e-16,9.397284705206245e-12,True
BT-v2,BT-v1,HYB-s5-b300-a0.75,0.25,0.6725,-0.4225,100,2.400887953324205e-17,2.491161340369195e-13,True
BT-v2,BT-v1,HYB-s6-b100-a0.25,0.25,0.5275,-0.27749999999999997,100,1.6720735302666887e-14,1.6998299508691158e-10,True
BT-v2,BT-v1,HYB-s6-b100-a0.50,0.25,0.55,-0.30000000000000004,100,1.2181927935010917e-14,1.2401202637841113e-10,True
