,BT-v1,BT-v2,BT-v3,RL-s0-b300-a1.00,RL-s10-b300-a1.00,RL-s11-b300-a1.00,RL-s12-b300-a1.00,RL-s13-b300-a1.00,RL-s14-b300-a1.00,RL-s15-b300-a1.00,RL-s16-b300-a1.00,RL-s17-b300-a1.00,RL-s18-b300-a1.00,RL-s19-b300-a1.00,RL-s1-b300-a1.00,RL-s2-b300-a1.00,RL-s3-b300-a1.00,RL-s4-b300-a1.00,RL-s5-b300-a1.00,RL-s6-b300-a1.00,RL-s7-b300-a1.00,RL-s8-b300-a1.00,RL-s9-b300-a1.00,BTO-s0-b300,BTO-s1-b300,BTO-s2-b300
BT-v1,,0.21666666666666667,0.23333333333333334,0.25,0.14166666666666666,0.225,0.16666666666666666,0.15833333333333333,0.20833333333333334,0.19166666666666668,0.24166666666666667,0.225,0.26666666666666666,0.11666666666666667,0.175,0.19166666666666668,0.20833333333333334,0.175,0.2,0.125,0.16666666666666666,0.21666666666666667,0.15,0.21666666666666667,0.2,0.21666666666666667
BT-v2,0.7833333333333333,,0.8666666666666667,0.3333333333333333,0.38333333333333336,0.3333333333333333,0.3416666666666667,0.3416666666666667,0.375,0.38333333333333336,0.475,0.45,0.5083333333333333,0.3333333333333333,0.2833333333333333,0.25,0.275,0.30833333333333335,0.375,0.25833333333333336,0.38333333333333336,0.4,0.36666666666666664,0.65,0.6916666666666667,0.6416666666666667
BT-v3,0.7666666666666666,0.1333333333333333,,0.24166666666666667,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.325,0.2,0.25,0.24166666666666667,0.35,0.4083333333333333,0.225,0.16666666666666666,0.21666666666666667,0.2916666666666667,0.325,0.30833333333333335,0.31666666666666665,0.3416666666666667,0.36666666666666664,0.21666666666666667,0.125,0.075,0.08333333333333333
RL-s0-b300-a1.00,0.75,0.6666666666666667,0.7583333333333333,,0.575,0.5083333333333333,0.5,0.55,0.575,0.5083333333333333,0.5416666666666666,0.5166666666666667,0.55,0.5,0.6,0.49166666666666664,0.5083333333333333,0.49166666666666664,0.5083333333333333,0.475,0.5666666666666667,0.55,0.5083333333333333,0.6333333333333333,0.6333333333333333,0.7
RL-s10-b300-a1.00,0.8583333333333334,0.6166666666666667,0.8333333333333334,0.42500000000000004,,0.44166666666666665,0.5333333333333333,0.5416666666666666,0.5,0.5333333333333333,0.575,0.49166666666666664,0.525,0.5166666666666667,0.5916666666666667,0.5166666666666667,0.49166666666666664,0.425,0.5583333333333333,0.525,0.55,0.4666666666666667,0.5416666666666666,0.7916666666666666,0.7666666666666667,0.7333333333333333
RL-s11-b300-a1.00,0.775,0.6666666666666667,0.8333333333333334,0.4916666666666667,0.5583333333333333,,0.5166666666666667,0.5666666666666667,0.5833333333333334,0.48333333333333334,0.5583333333333333,0.5,0.5583333333333333,0.5166666666666667,0.575,0.48333333333333334,0.5166666666666667,0.48333333333333334,0.525,0.475,0.5166666666666667,0.5666666666666667,0.525,0.7,0.7083333333333334,0.675
RL-s12-b300-a1.00,0.8333333333333334,0.6583333333333333,0.7916666666666666,0.5,0.4666666666666667,0.4833333333333333,,0.5333333333333333,0.4583333333333333,0.475,0.5416666666666666,0.4666666666666667,0.525,0.38333333333333336,0.45,0.43333333333333335,0.5583333333333333,0.45,0.55,0.5083333333333333,0.5333333333333333,0.5083333333333333,0.5166666666666667,0.7083333333333334,0.75,0.65
RL-s13-b300-a1.00,0.8416666666666667,0.6583333333333333,0.675,0.44999999999999996,0.45833333333333337,0.43333333333333335,0.4666666666666667,,0.49166666666666664,0.4666666666666667,0.55,0.4583333333333333,0.475,0.45,0.5083333333333333,0.43333333333333335,0.4583333333333333,0.4666666666666667,0.5083333333333333,0.475,0.5,0.475,0.4666666666666667,0.65,0.675,0.6166666666666667
RL-s14-b300-a1.00,0.7916666666666666,0.625,0.8,0.42500000000000004,0.5,0.41666666666666663,0.5416666666666667,0.5083333333333333,,0.425,0.475,0.4666666666666667,0.5666666666666667,0.43333333333333335,0.4583333333333333,0.4083333333333333,0.44166666666666665,0.4166666666666667,0.49166666666666664,0.475,0.45,0.5333333333333333,0.44166666666666665,0.6666666666666666,0.6583333333333333,0.6
RL-s15-b300-a1.00,0.8083333333333333,0.6166666666666667,0.75,0.4916666666666667,0.4666666666666667,0.5166666666666666,0.525,0.5333333333333333,0.575,,0.5333333333333333,0.5,0.5416666666666666,0.44166666666666665,0.49166666666666664,0.475,0.5,0.44166666666666665,0.5333333333333333,0.475,0.55,0.55,0.5,0.575,0.6916666666666667,0.6666666666666666
RL-s16-b300-a1.00,0.7583333333333333,0.525,0.7583333333333333,0.45833333333333337,0.42500000000000004,0.44166666666666665,0.45833333333333337,0.44999999999999996,0.525,0.4666666666666667,,0.5333333333333333,0.525,0.425,0.48333333333333334,0.39166666666666666,0.48333333333333334,0.4,0.49166666666666664,0.49166666666666664,0.4583333333333333,0.49166666666666664,0.4666666666666667,0.5416666666666666,0.5666666666666667,0.49166666666666664
RL-s17-b300-a1.00,0.775,0.55,0.65,0.4833333333333333,0.5083333333333333,0.5,0.5333333333333333,0.5416666666666667,0.5333333333333333,0.5,0.4666666666666667,,0.55,0.475,0.5083333333333333,0.45,0.5166666666666667,0.43333333333333335,0.48333333333333334,0.475,0.55,0.525,0.5166666666666667,0.5666666666666667,0.65,0.625
RL-s18-b300-a1.00,0.7333333333333334,0.4916666666666667,0.5916666666666667,0.44999999999999996,0.475,0.44166666666666665,0.475,0.525,0.43333333333333335,0.45833333333333337,0.475,0.44999999999999996,,0.43333333333333335,0.45,0.48333333333333334,0.44166666666666665,0.4166666666666667,0.5083333333333333,0.4166666666666667,0.49166666666666664,0.44166666666666665,0.45,0.4666666666666667,0.5083333333333333,0.425
RL-s19-b300-a1.00,0.8833333333333333,0.6666666666666667,0.775,0.5,0.4833333333333333,0.4833333333333333,0.6166666666666667,0.55,0.5666666666666667,0.5583333333333333,0.575,0.525,0.5666666666666667,,0.5583333333333333,0.4583333333333333,0.5083333333333333,0.475,0.5083333333333333,0.4666666666666667,0.5083333333333333,0.5666666666666667,0.49166666666666664,0.7,0.7,0.725
RL-s1-b300-a1.00,0.825,0.7166666666666667,0.8333333333333334,0.4,0.4083333333333333,0.42500000000000004,0.55,0.4916666666666667,0.5416666666666667,0.5083333333333333,0.5166666666666666,0.4916666666666667,0.55,0.44166666666666665,,0.4666666666666667,0.5083333333333333,0.425,0.48333333333333334,0.43333333333333335,0.5166666666666667,0.5166666666666667,0.525,0.75,0.8083333333333333,0.6166666666666667
RL-s2-b300-a1.00,0.8083333333333333,0.75,0.7833333333333333,0.5083333333333333,0.4833333333333333,0.5166666666666666,0.5666666666666667,0.5666666666666667,0.5916666666666667,0.525,0.6083333333333334,0.55,0.5166666666666666,0.5416666666666667,0.5333333333333333,,0.5083333333333333,0.5,0.5333333333333333,0.49166666666666664,0.5083333333333333,0.5583333333333333,0.48333333333333334,0.675,0.7333333333333333,0.7166666666666667
RL-s3-b300-a1.00,0.7916666666666666,0.725,0.7083333333333333,0.4916666666666667,0.5083333333333333,0.4833333333333333,0.44166666666666665,0.5416666666666667,0.5583333333333333,0.5,0.5166666666666666,0.4833333333333333,0.5583333333333333,0.4916666666666667,0.4916666666666667,0.4916666666666667,,0.4666666666666667,0.5166666666666667,0.5166666666666667,0.5583333333333333,0.5833333333333334,0.5083333333333333,0.6416666666666667,0.6583333333333333,0.6666666666666666
RL-s4-b300-a1.00,0.825,0.6916666666666667,0.675,0.5083333333333333,0.575,0.5166666666666666,0.55,0.5333333333333333,0.5833333333333333,0.5583333333333333,0.6,0.5666666666666667,0.5833333333333333,0.525,0.575,0.5,0.5333333333333333,,0.5666666666666667,0.525,0.5583333333333333,0.5333333333333333,0.55,0.65,0.65,0.6416666666666667
RL-s5-b300-a1.00,0.8,0.625,0.6916666666666667,0.4916666666666667,0.44166666666666665,0.475,0.44999999999999996,0.4916666666666667,0.5083333333333333,0.4666666666666667,0.5083333333333333,0.5166666666666666,0.4916666666666667,0.4916666666666667,0.5166666666666666,0.4666666666666667,0.4833333333333333,0.43333333333333335,,0.425,0.48333333333333334,0.5083333333333333,0.4666666666666667,0.6666666666666666,0.6583333333333333,0.5583333333333333
