cond,pool_score,pool_score_vs_rl,family
BT-v1,0.19533333333333336,0.19,BT
BT-v2,0.4316666666666667,0.3579166666666667,BT
BT-v3,0.2606666666666666,0.26666666666666666,BT
RL-s0-b300-a1.00,0.5666666666666665,0.5276315789473685,RL
RL-s10-b300-a1.00,0.574,0.5131578947368421,RL
RL-s11-b300-a1.00,0.5743333333333335,0.5263157894736842,RL
RL-s12-b300-a1.00,0.5493333333333333,0.4916666666666667,RL
RL-s13-b300-a1.00,0.5243333333333333,0.47324561403508775,RL
RL-s14-b300-a1.00,0.5206666666666666,0.46710526315789475,RL
RL-s15-b300-a1.00,0.5499999999999999,0.5074561403508773,RL
RL-s16-b300-a1.00,0.5003333333333333,0.4666666666666667,RL
RL-s17-b300-a1.00,0.5346666666666667,0.5026315789473684,RL
RL-s18-b300-a1.00,0.47733333333333333,0.4587719298245614,RL
RL-s19-b300-a1.00,0.5766666666666665,0.5245614035087719,RL
RL-s1-b300-a1.00,0.55,0.48421052631578954,RL
RL-s2-b300-a1.00,0.5823333333333334,0.531140350877193,RL
RL-s3-b300-a1.00,0.556,0.5109649122807017,RL
RL-s4-b300-a1.00,0.583,0.549561403508772,RL
RL-s5-b300-a1.00,0.5246666666666666,0.4798245614035087,RL
RL-s6-b300-a1.00,0.582,0.5280701754385966,RL
RL-s7-b300-a1.00,0.5193333333333333,0.4780701754385964,RL
RL-s8-b300-a1.00,0.5136666666666666,0.4776315789473683,RL
RL-s9-b300-a1.00,0.552,0.5013157894736842,RL
BTO-s0-b300,0.3973333333333334,0.3516666666666667,BTO
BTO-s1-b300,0.381,0.3258333333333333,BTO
BTO-s2-b300,0.42266666666666663,0.36874999999999997,BTO
