cond,opponent,wins,losses,pure_winrate,p_raw,p_holm,significant
BT-v1,BT-v2,2,102,0.019230769230769232,5.384961754264932e-28,1.7770373789074275e-26,True
BT-v1,BT-v3,1,108,0.009174311926605505,3.389636702121535e-31,1.2880619468061833e-29,True
BT-v2,BT-v2,51,51,0.5,1.0,1.0,False
BT-v2,BT-v3,152,15,0.9101796407185628,1.0384614835804017e-29,3.8423074892474866e-28,True
BT-v3,BT-v2,15,152,0.08982035928143713,1.0384614835804017e-29,3.8423074892474866e-28,True
BT-v3,BT-v3,67,67,0.5,1.0,1.0,False
HYB-s0-b0-a0.25,BT-v2,52,58,0.4727272727272727,0.6337556480191593,1.0,False
HYB-s0-b0-a0.25,BT-v3,148,16,0.9024390243902439,5.883217541821915e-28,1.8826296133830127e-26,True
HYB-s0-b0-a0.50,BT-v2,43,65,0.39814814814814814,0.04280722079922558,0.4280722079922558,False
HYB-s0-b0-a0.50,BT-v3,149,18,0.8922155688622755,7.482437985622533e-27,2.319555775542985e-25,True
HYB-s0-b0-a0.75,BT-v2,45,72,0.38461538461538464,0.015864496824406386,0.19037396189287664,False
HYB-s0-b0-a0.75,BT-v3,145,22,0.8682634730538922,2.0890323117801408e-23,5.849290472984394e-22,True
HYB-s0-b100-a0.25,BT-v2,57,74,0.4351145038167939,0.16188152458394647,1.0,False
HYB-s0-b100-a0.25,BT-v3,148,15,0.9079754601226994,1.1394687722815318e-28,3.9881407029853615e-27,True
HYB-s0-b100-a0.50,BT-v2,66,51,0.5641025641025641,0.19534905940457784,1.0,False
HYB-s0-b100-a0.50,BT-v3,134,19,0.8758169934640523,1.684438433071452e-22,4.5479837692929205e-21,True
HYB-s0-b100-a0.75,BT-v2,74,42,0.6379310344827587,0.0038069274291090776,0.049490056578418005,True
HYB-s0-b100-a0.75,BT-v3,138,16,0.8961038961038961,2.110387955035952e-25,6.120125069604261e-24,True
HYB-s0-b200-a0.25,BT-v2,52,48,0.52,0.7643534344026669,1.0,False
HYB-s0-b200-a0.25,BT-v3,112,25,0.8175182481751825,2.403640054084458e-14,5.201071370846087e-13,True
HYB-s0-b200-a0.50,BT-v2,57,37,0.6063829787234043,0.049450065253179916,0.44505058727861924,False
HYB-s0-b200-a0.50,BT-v3,101,21,0.8278688524590164,9.677506062033449e-14,1.93550121240669e-12,True
HYB-s0-b200-a0.75,BT-v2,84,27,0.7567567567567568,5.46197809541596e-08,8.739164952665536e-07,True
HYB-s0-b200-a0.75,BT-v3,124,23,0.8435374149659864,6.0789951352681256e-18,1.5197487838170314e-16,True
HYB-s0-b300-a0.25,BT-v2,52,40,0.5652173913043478,0.25132210347485456,1.0,False
HYB-s0-b300-a0.25,BT-v3,116,17,0.8721804511278195,2.643235632987314e-19,6.872412645767017e-18,True
HYB-s0-b300-a0.50,BT-v2,65,25,0.7222222222222222,2.9664529225201866e-05,0.0004153034091528261,True
HYB-s0-b300-a0.50,BT-v3,84,27,0.7567567567567568,5.46197809541596e-08,8.739164952665536e-07,True
HYB-s0-b300-a0.75,BT-v2,106,25,0.8091603053435115,4.547888946408773e-13,8.186200103535792e-12,True
HYB-s0-b300-a0.75,BT-v3,109,26,0.8074074074074075,2.766311459016305e-13,5.25599177213098e-12,True
RL-s0-b0-a1.00,BT-v2,43,68,0.38738738738738737,0.022297954801947985,0.24527750282142785,False
RL-s0-b0-a1.00,BT-v3,154,18,0.8953488372093024,4.074445781426416e-28,1.3853115656849815e-26,True
RL-s0-b100-a1.00,BT-v2,57,77,0.4253731343283582,0.10036570149746177,0.8029256119796941,False
RL-s0-b100-a1.00,BT-v3,142,16,0.8987341772151899,2.023295807001298e-26,6.069887421003894e-25,True
RL-s0-b200-a1.00,BT-v2,93,28,0.768595041322314,2.4401043194765048e-09,4.148177343110058e-08,True
RL-s0-b200-a1.00,BT-v3,120,29,0.8053691275167785,2.3641233503845848e-14,5.201071370846087e-13,True
RL-s0-b300-a1.00,BT-v2,112,24,0.8235294117647058,8.676026674232843e-15,1.9954861350735538e-13,True
RL-s0-b300-a1.00,BT-v3,119,24,0.8321678321678322,2.491070910758037e-16,5.9785701858192885e-15,True
