opponent,cond_a,cond_b,mean_a,mean_b,diff,n,p_raw,p_holm,significant
BT-v2,BT-v1,BT-v2,0.25,0.5,-0.25,100,8.638747650492352e-16,2.6089017904486903e-13,True
BT-v2,BT-v1,BT-v3,0.25,0.1575,0.0925,100,0.002512511718253933,0.40200187492062933,False
BT-v2,BT-v1,HYB-s0-b0-a0.25,0.25,0.485,-0.235,100,3.3416653379851446e-12,9.222996332838999e-10,True
BT-v2,BT-v1,HYB-s0-b0-a0.50,0.25,0.445,-0.195,100,7.00508593905317e-09,1.7722867425804521e-06,True
BT-v2,BT-v1,HYB-s0-b0-a0.75,0.25,0.4325,-0.1825,100,1.1830303048300864e-08,2.9339151559786144e-06,True
BT-v2,BT-v1,HYB-s0-b100-a0.25,0.25,0.4575,-0.20750000000000002,100,1.1498468772702142e-07,2.7251370991304077e-05,True
BT-v2,BT-v1,HYB-s0-b100-a0.50,0.25,0.5375,-0.2875,100,3.140575145441775e-10,8.38533563832954e-08,True
BT-v2,BT-v1,HYB-s0-b100-a0.75,0.25,0.58,-0.32999999999999996,100,3.4009567174115553e-13,9.726736211797049e-11,True
BT-v2,BT-v1,HYB-s0-b200-a0.25,0.25,0.51,-0.26,100,1.5520424956657648e-13,4.500923237430718e-11,True
BT-v2,BT-v1,HYB-s0-b200-a0.50,0.25,0.55,-0.30000000000000004,100,3.306669096418574e-16,1.0151474126005023e-13,True
BT-v2,BT-v1,HYB-s0-b200-a0.75,0.25,0.6425,-0.39249999999999996,100,4.157733133257224e-17,1.3180014032425401e-14,True
BT-v2,BT-v1,HYB-s0-b300-a0.25,0.25,0.53,-0.28,100,4.102142572255398e-15,1.2183363439598532e-12,True
BT-v2,BT-v1,HYB-s0-b300-a0.50,0.25,0.6,-0.35,100,8.625116823764427e-17,2.691036449014501e-14,True
BT-v2,BT-v1,HYB-s0-b300-a0.75,0.25,0.7025,-0.4525,100,2.2002132005353152e-17,7.084686505723715e-15,True
BT-v2,BT-v1,RL-s0-b0-a1.00,0.25,0.4375,-0.1875,100,6.540504497980486e-08,1.5697210795153165e-05,True
BT-v2,BT-v1,RL-s0-b100-a1.00,0.25,0.45,-0.2,100,1.2945585670949594e-06,0.0002938647947305558,True
BT-v2,BT-v1,RL-s0-b200-a1.00,0.25,0.6625,-0.4125,100,1.5642702697206773e-16,4.8648805388313064e-14,True
BT-v2,BT-v1,RL-s0-b300-a1.00,0.25,0.72,-0.47,100,9.048467859364113e-18,2.958848990012065e-15,True
BT-v2,BT-v2,BT-v3,0.5,0.1575,0.3425,100,3.8897063128537215e-17,1.2408163138003371e-14,True
BT-v2,BT-v2,HYB-s0-b0-a0.25,0.5,0.485,0.015000000000000013,100,0.3229794112509252,1.0,False
BT-v2,BT-v2,HYB-s0-b0-a0.50,0.5,0.445,0.05499999999999999,100,0.006018400190715079,0.8305392263186809,False
BT-v2,BT-v2,HYB-s0-b0-a0.75,0.5,0.4325,0.0675,100,0.0014704486818292986,0.24703537854732216,False
BT-v2,BT-v2,HYB-s0-b100-a0.25,0.5,0.4575,0.04249999999999998,100,0.1861291957503094,1.0,False
BT-v2,BT-v2,HYB-s0-b100-a0.50,0.5,0.5375,-0.03749999999999998,100,0.1568176896009971,1.0,False
BT-v2,BT-v2,HYB-s0-b100-a0.75,0.5,0.58,-0.07999999999999996,100,0.002039592910632234,0.33245364443305414,False
BT-v2,BT-v2,HYB-s0-b200-a0.25,0.5,0.51,-0.010000000000000009,100,0.5714691338415221,1.0,False
BT-v2,BT-v2,HYB-s0-b200-a0.50,0.5,0.55,-0.050000000000000044,100,0.01406091368129939,1.0,False
BT-v2,BT-v2,HYB-s0-b200-a0.75,0.5,0.6425,-0.14249999999999996,100,8.301196531162077e-09,2.083600329321681e-06,True
BT-v2,BT-v2,HYB-s0-b300-a0.25,0.5,0.53,-0.030000000000000027,100,0.1113037652571776,1.0,False
BT-v2,BT-v2,HYB-s0-b300-a0.50,0.5,0.6,-0.09999999999999998,100,3.7413725275072332e-06,0.0008268433285790986,True
BT-v2,BT-v2,HYB-s0-b300-a0.75,0.5,0.7025,-0.2025,100,2.6986564593790775e-12,7.475278392480045e-10,True
BT-v2,BT-v2,RL-s0-b0-a1.00,0.5,0.4375,0.0625,100,0.0026047511005203865,0.41415542498274144,False
BT-v2,BT-v2,RL-s0-b100-a1.00,0.5,0.45,0.04999999999999999,100,0.1088647417506593,1.0,False
BT-v2,BT-v2,RL-s0-b200-a1.00,0.5,0.6625,-0.16249999999999998,100,6.0449507432297415e-09,1.541462439523584e-06,True
BT-v2,BT-v2,RL-s0-b300-a1.00,0.5,0.72,-0.21999999999999997,100,8.226286613527034e-13,2.3115865384010965e-10,True
BT-v2,BT-v3,HYB-s0-b0-a0.25,0.1575,0.485,-0.3275,100,1.2218734599970428e-15,3.6656203799911285e-13,True
BT-v2,BT-v3,HYB-s0-b0-a0.50,0.1575,0.445,-0.2875,100,1.9780723494096717e-13,5.7166290897939515e-11,True
BT-v2,BT-v3,HYB-s0-b0-a0.75,0.1575,0.4325,-0.275,100,5.53785234630737e-12,1.5229093952345268e-09,True
BT-v2,BT-v3,HYB-s0-b100-a0.25,0.1575,0.4575,-0.30000000000000004,100,2.6887540279461508e-14,7.878049301882222e-12,True
BT-v2,BT-v3,HYB-s0-b100-a0.50,0.1575,0.5375,-0.38,100,2.0026963775319534e-15,5.988062168820541e-13,True
BT-v2,BT-v3,HYB-s0-b100-a0.75,0.1575,0.58,-0.4225,100,1.5667140514017729e-16,4.8648805388313064e-14,True
BT-v2,BT-v3,HYB-s0-b200-a0.25,0.1575,0.51,-0.35250000000000004,100,3.154310682539115e-15,9.399845833966563e-13,True
BT-v2,BT-v3,HYB-s0-b200-a0.50,0.1575,0.55,-0.39250000000000007,100,4.4961673049275136e-17,1.4207888683570943e-14,True
BT-v2,BT-v3,HYB-s0-b200-a0.75,0.1575,0.6425,-0.485,100,1.449802219609198e-17,4.6973591915338016e-15,True
BT-v2,BT-v3,HYB-s0-b300-a0.25,0.1575,0.53,-0.37250000000000005,100,5.842283631586883e-17,1.8286347766866944e-14,True
BT-v2,BT-v3,HYB-s0-b300-a0.50,0.1575,0.6,-0.4425,100,9.58781764480522e-18,3.125628552206502e-15,True
BT-v2,BT-v3,HYB-s0-b300-a0.75,0.1575,0.7025,-0.545,100,2.54689835190876e-18,8.684923380008871e-16,True
BT-v2,BT-v3,RL-s0-b0-a1.00,0.1575,0.4375,-0.28,100,2.503400928711343e-13,7.209794674688669e-11,True
BT-v2,BT-v3,RL-s0-b100-a1.00,0.1575,0.45,-0.2925,100,8.981486655966919e-11,2.425001397111068e-08,True
BT-v2,BT-v3,RL-s0-b200-a1.00,0.1575,0.6625,-0.505,100,5.9770245271602154e-18,1.978395118490031e-15,True
BT-v2,BT-v3,RL-s0-b300-a1.00,0.1575,0.72,-0.5625,100,1.7495341667043766e-18,5.983406850128968e-16,True
BT-v2,HYB-s0-b0-a0.25,HYB-s0-b0-a0.50,0.485,0.445,0.03999999999999998,100,0.030820765892300196,1.0,False
BT-v2,HYB-s0-b0-a0.25,HYB-s0-b0-a0.75,0.485,0.4325,0.05249999999999999,100,0.03770293862576283,1.0,False
BT-v2,HYB-s0-b0-a0.25,HYB-s0-b100-a0.25,0.485,0.4575,0.02749999999999997,100,0.5426565887435926,1.0,False
BT-v2,HYB-s0-b0-a0.25,HYB-s0-b100-a0.50,0.485,0.5375,-0.05249999999999999,100,0.15361805837468312,1.0,False
BT-v2,HYB-s0-b0-a0.25,HYB-s0-b100-a0.75,0.485,0.58,-0.09499999999999997,100,0.001491536144444423,0.24908653612221862,False
BT-v2,HYB-s0-b0-a0.25,HYB-s0-b200-a0.25,0.485,0.51,-0.025000000000000022,100,0.22161273025108108,1.0,False
BT-v2,HYB-s0-b0-a0.25,HYB-s0-b200-a0.50,0.485,0.55,-0.06500000000000006,100,0.004652167562786857,0.6745642966040942,False
BT-v2,HYB-s0-b0-a0.25,HYB-s0-b200-a0.75,0.485,0.6425,-0.15749999999999997,100,1.0865630189600704e-08,2.716407547400176e-06,True
BT-v2,HYB-s0-b0-a0.25,HYB-s0-b300-a0.25,0.485,0.53,-0.04500000000000004,100,0.08619227464359126,1.0,False
BT-v2,HYB-s0-b0-a0.25,HYB-s0-b300-a0.50,0.485,0.6,-0.11499999999999999,100,1.8510373903880846e-05,0.003979730389334382,True
BT-v2,HYB-s0-b0-a0.25,HYB-s0-b300-a0.75,0.485,0.7025,-0.21750000000000003,100,6.258109313608567e-12,1.7147219519287474e-09,True
BT-v2,HYB-s0-b0-a0.25,RL-s0-b0-a1.00,0.485,0.4375,0.04749999999999999,100,0.03607423221318664,1.0,False
BT-v2,HYB-s0-b0-a0.25,RL-s0-b100-a1.00,0.485,0.45,0.034999999999999976,100,0.25166042204425676,1.0,False
BT-v2,HYB-s0-b0-a0.25,RL-s0-b200-a1.00,0.485,0.6625,-0.1775,100,7.058610839660179e-09,1.7787699315943652e-06,True
