cond,opponent,n_seeds,score,score_lo,score_hi,pure_winrate,draw_rate,wez_time,damage,surv_time,viol_deck,viol_over_g,viol_total
RL-s0-b300-a1.00,BT-v2,100,0.72,0.6251197129007884,0.7986031478881379,0.8235294117647058,0.32,0.29975,7.49375,118.01824999999539,0.0,0.03342176305478351,0.03781998555931855
HYB-s0-b300-a0.75,BT-v2,100,0.7025,0.6067618464416817,0.783255786784489,0.8091603053435115,0.345,0.2932499999999999,7.33125,116.44249999999545,0.0,0.03413108313813869,0.03864242941124721
RL-s0-b200-a1.00,BT-v2,100,0.6625,0.5653422321932345,0.747634880889495,0.768595041322314,0.395,0.37449999999999994,9.3625,115.98574999999549,0.001722129783693843,0.03157297369287208,0.03815322017697154
HYB-s0-b200-a0.75,BT-v2,100,0.6425,0.5448976904752493,0.7295591625357598,0.7567567567567568,0.445,0.3282499999999999,8.20625,113.08624999999562,0.013406821963394338,0.03728538711723093,0.05622484646922238
HYB-s0-b300-a0.50,BT-v2,100,0.6,0.5020025867910617,0.6905987135675411,0.7222222222222222,0.55,0.23649999999999996,5.9125,108.96824999999579,0.006131447587354406,0.043359688246713525,0.05731653864796318
HYB-s0-b100-a0.75,BT-v2,100,0.58,0.4820648670304296,0.6720161732564526,0.6379310344827587,0.42,1.208749999999999,30.21875,104.04074999999621,0.057954926401791916,0.04467715101284381,0.1218783478217537
HYB-s0-b200-a0.50,BT-v2,100,0.55,0.45244602997442135,0.6438546202048802,0.6063829787234043,0.53,0.2644999999999999,6.6125,106.51699999999592,0.023317450826004272,0.0395219774640531,0.07244621117921125
HYB-s0-b100-a0.50,BT-v2,100,0.5375,0.4402050959229775,0.6320203917114986,0.5641025641025641,0.415,0.37649999999999983,9.4125,96.71949999999646,0.08243765342650448,0.06069904871179828,0.16057901153395984
HYB-s0-b300-a0.25,BT-v2,100,0.53,0.43288856970099365,0.6248918204065873,0.5652173913043478,0.54,0.28174999999999983,7.04375,107.44999999999587,0.0418168720865833,0.04697569294852226,0.09804745181995023
HYB-s0-b200-a0.25,BT-v2,100,0.51,0.4134801193402717,0.6057800106955887,0.52,0.5,0.26774999999999993,6.69375,104.46749999999604,0.03497310667246497,0.0422489330135357,0.08996206842791324
BT-v2,BT-v2,100,0.5,0.4038315303659957,0.5961684696340044,0.5,0.49,0.22624999999999987,5.65625,103.3004999999961,0.0973824357900131,0.03844683390066541,0.14419935231795045
HYB-s0-b0-a0.25,BT-v2,100,0.485,0.38942811676066924,0.5816816881855403,0.4727272727272727,0.45,0.26349999999999985,6.5875,105.57874999999598,0.09439281138728772,0.046986465318657064,0.1497809067869435
HYB-s0-b100-a0.25,BT-v2,100,0.4575,0.3632388947485712,0.5549055525990226,0.4351145038167939,0.345,0.2747499999999999,6.86875,106.22724999999599,0.09201926628715772,0.038764747424235815,0.14077190533876208
RL-s0-b100-a1.00,BT-v2,100,0.45,0.3561453797951198,0.5475539700255787,0.4253731343283582,0.33,0.9752499999999995,24.38125,100.37399999999637,0.09291873837334824,0.07583587462976764,0.1917222368090543
HYB-s0-b0-a0.50,BT-v2,100,0.445,0.3514281102533568,0.5426411745494115,0.39814814814814814,0.46,0.2269999999999998,5.675,109.4442499999958,0.0862863387581412,0.04000019522525087,0.13241410068678897
RL-s0-b0-a1.00,BT-v2,100,0.4375,0.3443698887369287,0.5352542985389444,0.38738738738738737,0.445,0.21499999999999989,5.375,109.47799999999583,0.08436334928489023,0.039817116663707346,0.13211419267927613
HYB-s0-b0-a0.75,BT-v2,100,0.4325,0.3396762436764199,0.530317878581523,0.38461538461538464,0.415,0.24599999999999989,6.15,107.85599999999587,0.0856999966768286,0.042301357331597726,0.13457666159850057
BT-v1,BT-v2,100,0.25,0.17545211362287674,0.34304463548061603,0.019230769230769232,0.48,0.013500000000000002,0.3375,99.45474999999631,0.001856004247839295,0.0,0.004407818957311172
BT-v3,BT-v2,100,0.1575,0.09897096257714261,0.24136958369464256,0.08982035928143713,0.165,0.19724999999999995,4.93125,99.90199999999633,0.0,0.0,0.006485938748405246
BT-v2,BT-v3,100,0.8425,0.7586304163053574,0.9010290374228573,0.9101796407185628,0.165,2.760999999999996,69.025,99.90199999999633,0.0,0.050297592571848376,0.05678353132025362
RL-s0-b0-a1.00,BT-v3,100,0.84,0.7557973061072975,0.8990471151119521,0.8953488372093024,0.14,2.760499999999997,69.0125,100.69424999999636,0.0,0.04665710356904503,0.05901805547580401
HYB-s0-b100-a0.25,BT-v3,100,0.8325,0.7473312157649087,0.8930681079274458,0.9079754601226994,0.185,2.7427499999999956,68.56875,95.95424999999655,0.00019134775374375998,0.045907067844215874,0.056055805841332296
HYB-s0-b0-a0.25,BT-v3,100,0.83,0.7445199523239887,0.8910643388594006,0.9024390243902439,0.18,2.7407499999999967,68.51875,98.10099999999642,0.0,0.04823969251586698,0.056869424974085946
HYB-s0-b0-a0.50,BT-v3,100,0.8275,0.7417139237210709,0.8890553349533534,0.8922155688622755,0.165,2.746999999999996,68.675,101.0769999999963,0.0,0.04833983521842744,0.05860172672978421
RL-s0-b100-a1.00,BT-v3,100,0.815,0.727759443386768,0.8789346527428309,0.8987341772151899,0.21,2.213249999999997,55.33125,94.11874999999677,0.0018939503871020847,0.05001766747758359,0.06717823620874017
HYB-s0-b0-a0.75,BT-v3,100,0.8075,0.7194445794849027,0.872804419117801,0.8682634730538922,0.165,2.5924999999999967,64.8125,101.23774999999631,0.0,0.048027346855331915,0.05809639584429511
HYB-s0-b100-a0.75,BT-v3,100,0.805,0.7166821801808517,0.870751785912887,0.8961038961038961,0.23,2.1542499999999967,53.85625,94.82849999999672,0.0019233033378960585,0.04670569484737937,0.06469379773140728
HYB-s0-b100-a0.50,BT-v3,100,0.7875,0.6974682273145373,0.8562605112164459,0.8758169934640523,0.235,2.3042499999999966,57.60625,92.08349999999676,0.0007413198066586655,0.055670075654832674,0.0706900089273072
HYB-s0-b200-a0.75,BT-v3,100,0.7525,0.6596303474733396,0.8266879359321325,0.8435374149659864,0.265,1.1727499999999986,29.31875,113.00749999999567,0.0,0.03330716379568406,0.03939486634023049
HYB-s0-b300-a0.25,BT-v3,100,0.7475,0.6542838812993599,0.8224043370881823,0.8721804511278195,0.335,1.9452499999999973,48.63125,106.07199999999601,0.0,0.03745343535993867,0.04568677078089374
RL-s0-b300-a1.00,BT-v3,100,0.7375,0.6436323007566284,0.8137957875950534,0.8321678321678322,0.285,0.37749999999999995,9.4375,116.0929999999955,0.0005386855241264555,0.03703261093829649,0.042191884048176004
RL-s0-b200-a1.00,BT-v3,100,0.7275,0.6330342306574904,0.8051337276583311,0.8053691275167785,0.255,1.057499999999999,26.4375,115.48624999999556,0.0,0.0319678868344099,0.036829248137902136
HYB-s0-b200-a0.25,BT-v3,100,0.7175,0.622487884134817,0.7964199441451442,0.8175182481751825,0.315,1.6197499999999974,40.49375,106.463749999996,0.0,0.03786088040565365,0.04634151640797329
HYB-s0-b300-a0.75,BT-v3,100,0.7075,0.611991642404509,0.787656055839592,0.8074074074074075,0.325,0.41424999999999984,10.35625,116.20949999999546,0.000297420965058236,0.03833485593391873,0.04310896836659506
HYB-s0-b200-a0.50,BT-v3,100,0.7,0.6041514536665332,0.7810511470506724,0.8278688524590164,0.39,1.3249999999999984,33.125,105.974749999996,0.0,0.04030289763903988,0.04817894872150263
HYB-s0-b300-a0.50,BT-v3,100,0.6425,0.5448976904752493,0.7295591625357598,0.7567567567567568,0.445,0.7832499999999993,19.58125,108.29424999999583,0.0,0.04871225310600252,0.05597349816056314
BT-v3,BT-v3,100,0.5,0.4038315303659957,0.5961684696340044,0.5,0.33,0.46525,11.63125,108.9334999999958,0.0,0.0,0.009606444136757826
BT-v1,BT-v3,100,0.2325,0.16054721388713336,0.32424430765360396,0.009174311926605505,0.455,0.009250000000000001,0.23125,97.20399999999641,0.002281367590392992,0.0,0.00497290965073082
