cond,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples
BT-v1,1.0,1.0,1.0,3.0,0.995244845451407,2.0,28033
BT-v2,4.0,2.0,4.0,17.0,0.9523549886447117,16.0,31978
BT-v3,5.0,3.0,5.0,17.0,0.9402036139137073,28.0,31234
HYB-s0-b0-a0.25,5.0,2.0,5.0,17.0,0.9497840808309042,32.0,30881
HYB-s0-b0-a0.50,3.0,1.0,3.0,17.0,0.9677290751298626,8.0,30177
HYB-s0-b0-a0.75,3.0,1.0,3.0,17.0,0.9669414511098692,8.0,30583
HYB-s0-b100-a0.25,17.0,3.0,17.0,17.0,0.9223386487017194,3238.0,30964
HYB-s0-b100-a0.50,17.0,4.0,17.0,17.0,0.9084446090236644,4378.0,27302
HYB-s0-b100-a0.75,17.0,4.0,17.0,17.0,0.9020401042642746,4238.0,30903
HYB-s0-b200-a0.25,5.0,3.0,5.0,17.0,0.9320590267024785,32.0,30946
HYB-s0-b200-a0.50,11.0,4.0,11.0,17.0,0.9044512892323534,730.0,30794
HYB-s0-b200-a0.75,17.0,1.0,17.0,17.0,0.934617218998436,3168.0,33357
HYB-s0-b300-a0.25,5.0,2.0,5.0,17.0,0.9475766836102352,32.0,33372
HYB-s0-b300-a0.50,6.0,3.0,6.0,17.0,0.9360953472580681,63.0,32079
HYB-s0-b300-a0.75,6.0,1.0,6.0,17.0,0.9485651676243689,60.0,34471
RL-s0-b0-a1.00,2.0,1.0,2.0,17.0,0.9749631399800442,4.0,31100
RL-s0-b100-a1.00,8.0,3.0,8.0,17.0,0.9204671500785542,215.0,29091
RL-s0-b200-a1.00,4.0,1.0,4.0,17.0,0.952853330877906,16.0,34253
RL-s0-b300-a1.00,3.0,1.0,3.0,17.0,0.9657879878027142,8.0,35287
