cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family
BT-v2,0.58125,68.29837499999779,0.16753142062680293,0.956999999999999,0.6625,2.0,1.0,2.0,3.0,0.9948483044973369,4.0,21094,BT
BT-v3,0.41875,67.60262499999789,0.025037751943724908,0.425875,0.5,3.0,3.0,3.0,5.0,0.988032439322422,8.0,19631,BT
HYB-s0-b100-a0.75,0.39,117.92099999999539,0.0014517437433711798,0.013375000000000005,0.385,17.0,17.0,17.0,17.0,0.7165776851454925,5217.0,36060,Hybrid
HYB-s0-b400-a0.75,0.38375000000000004,120.19999999999528,0.0006333194675540752,0.0,0.3825,17.0,17.0,17.0,17.0,0.593346522504659,8055.0,36060,Hybrid
HYB-s0-b250-a0.75,0.38375000000000004,119.93124999999529,0.0002433444259567375,0.0,0.3875,17.0,11.0,17.0,17.0,0.7130373733736157,9348.0,35523,Hybrid
RL-s0-b100-a1.00,0.3825,120.19999999999528,0.004776414309484182,0.0,0.38,17.0,17.0,17.0,17.0,0.6775105440836555,4116.0,36060,RL
RL-s0-b250-a1.00,0.38125,120.19999999999528,0.0013706322795341058,0.0,0.3775,17.0,8.0,17.0,17.0,0.8297916520138542,8303.0,36060,RL
RL-s0-b400-a1.00,0.3725,118.23337499999539,0.02442983152780083,0.0,0.375,17.0,17.0,17.0,17.0,0.5085277286787528,7875.0,34575,RL
HYB-s0-b400-a0.50,0.36624999999999996,116.6273749999955,0.010015217618085673,0.004875000000000002,0.3625,17.0,16.0,17.0,17.0,0.7319419002529208,5411.0,34862,Hybrid
HYB-s0-b250-a0.50,0.3575,119.71262499999531,0.0010368136439267877,0.0,0.3625,17.0,10.0,17.0,17.0,0.7380827497469261,7942.0,36060,Hybrid
HYB-s0-b100-a0.50,0.28500000000000003,106.58399999999595,0.0029072251828496398,0.0024999999999999996,0.2775,17.0,17.0,17.0,17.0,0.7568272538337112,6397.0,32285,Hybrid
BT-v1,0.2675,94.55037499999649,0.00815765617510533,0.04175000000000001,0.2625,1.0,1.0,1.0,2.0,1.0,2.0,25089,BT
HYB-s0-b250-a0.25,0.16875,76.86749999999756,0.10944188787446467,0.019874999999999983,0.175,6.0,4.0,6.0,16.0,0.9251520906574089,64.0,23039,Hybrid
HYB-s0-b400-a0.25,0.1575,76.84849999999756,0.0960788646779198,0.04187499999999996,0.155,7.0,4.0,7.0,17.0,0.9097581898378438,126.0,21357,Hybrid
HYB-s0-b100-a0.25,0.14,79.86299999999738,0.005965094003599923,0.01874999999999999,0.115,3.0,2.0,3.0,8.0,0.9703409533066809,8.0,25113,Hybrid
