opponent,cond_a,cond_b,mean_a,mean_b,diff,n,p_raw,p_holm,significant
BT-v2,BT-v1,BT-v2,0.2725,0.5,-0.22749999999999998,100,3.442661485268566e-14,6.713189896273704e-12,True
BT-v2,BT-v1,BT-v3,0.2725,0.3375,-0.065,100,0.05101123868201474,1.0,False
BT-v2,BT-v1,HYB-s0-b100-a0.25,0.2725,0.165,0.10750000000000001,100,0.0001761727229313423,0.014446163280370069,True
BT-v2,BT-v1,HYB-s0-b100-a0.50,0.2725,0.2925,-0.019999999999999962,100,0.3219371941278667,1.0,False
BT-v2,BT-v1,HYB-s0-b100-a0.75,0.2725,0.395,-0.1225,100,1.2648246639765492e-05,0.0013027694038958457,True
BT-v2,BT-v1,HYB-s0-b250-a0.25,0.2725,0.1625,0.11000000000000001,100,4.258978342943637e-05,0.003960849858937582,True
BT-v2,BT-v1,HYB-s0-b250-a0.50,0.2725,0.3525,-0.07999999999999996,100,0.0031344617809759283,0.23821909535417055,False
BT-v2,BT-v1,HYB-s0-b250-a0.75,0.2725,0.38,-0.10749999999999998,100,5.652068336170468e-05,0.005143382185915126,True
BT-v2,BT-v1,HYB-s0-b400-a0.25,0.2725,0.16,0.11250000000000002,100,0.00014364565601062736,0.012066235104892699,True
BT-v2,BT-v1,HYB-s0-b400-a0.50,0.2725,0.37,-0.09749999999999998,100,0.00043950054308032496,0.03472054290334567,True
BT-v2,BT-v1,HYB-s0-b400-a0.75,0.2725,0.385,-0.11249999999999999,100,3.0757405617604e-05,0.0029527109392899842,True
BT-v2,BT-v1,RL-s0-b100-a1.00,0.2725,0.385,-0.11249999999999999,100,3.985641751608534e-05,0.003746503246512022,True
BT-v2,BT-v1,RL-s0-b250-a1.00,0.2725,0.385,-0.11249999999999999,100,5.8601596587981196e-05,0.005215542096330327,True
BT-v2,BT-v1,RL-s0-b400-a1.00,0.2725,0.37,-0.09749999999999998,100,0.0004613448864998455,0.03598490114698795,True
BT-v2,BT-v2,BT-v3,0.5,0.3375,0.16249999999999998,100,3.1458428673369e-09,4.435638442945029e-07,True
BT-v2,BT-v2,HYB-s0-b100-a0.25,0.5,0.165,0.33499999999999996,100,3.3895394969317335e-18,7.016346758648688e-16,True
BT-v2,BT-v2,HYB-s0-b100-a0.50,0.5,0.2925,0.20750000000000002,100,4.988436636840611e-14,9.47802960999716e-12,True
BT-v2,BT-v2,HYB-s0-b100-a0.75,0.5,0.395,0.10499999999999998,100,6.2504454092589585e-06,0.0006750481041999675,True
BT-v2,BT-v2,HYB-s0-b250-a0.25,0.5,0.1625,0.3375,100,1.2009005941895277e-17,2.425819200262846e-15,True
BT-v2,BT-v2,HYB-s0-b250-a0.50,0.5,0.3525,0.14750000000000002,100,6.881573239524338e-08,9.014860943776883e-06,True
BT-v2,BT-v2,HYB-s0-b250-a0.75,0.5,0.38,0.12,100,2.2084707230177138e-07,2.8268425254626737e-05,True
BT-v2,BT-v2,HYB-s0-b400-a0.25,0.5,0.16,0.33999999999999997,100,5.894994065015826e-18,1.2084737833282444e-15,True
BT-v2,BT-v2,HYB-s0-b400-a0.50,0.5,0.37,0.13,100,7.094893251217931e-07,8.638288997576306e-05,True
BT-v2,BT-v2,HYB-s0-b400-a0.75,0.5,0.385,0.11499999999999999,100,7.080564752111726e-07,8.638288997576306e-05,True
BT-v2,BT-v2,RL-s0-b100-a1.00,0.5,0.385,0.11499999999999999,100,7.080564752111726e-07,8.638288997576306e-05,True
BT-v2,BT-v2,RL-s0-b250-a1.00,0.5,0.385,0.11499999999999999,100,7.080564752111726e-07,8.638288997576306e-05,True
BT-v2,BT-v2,RL-s0-b400-a1.00,0.5,0.37,0.13,100,2.0981003718185973e-08,2.8534165056732922e-06,True
BT-v2,BT-v3,HYB-s0-b100-a0.25,0.3375,0.165,0.17250000000000001,100,3.2129599471452277e-07,4.048329533402987e-05,True
BT-v2,BT-v3,HYB-s0-b100-a0.50,0.3375,0.2925,0.04500000000000004,100,0.10040938534362671,1.0,False
BT-v2,BT-v3,HYB-s0-b100-a0.75,0.3375,0.395,-0.057499999999999996,100,0.06357037891006716,1.0,False
BT-v2,BT-v3,HYB-s0-b250-a0.25,0.3375,0.1625,0.17500000000000002,100,3.714288886320863e-08,4.940004218806748e-06,True
BT-v2,BT-v3,HYB-s0-b250-a0.50,0.3375,0.3525,-0.014999999999999958,100,0.6524180796833289,1.0,False
BT-v2,BT-v3,HYB-s0-b250-a0.75,0.3375,0.38,-0.04249999999999998,100,0.18867208341123054,1.0,False
BT-v2,BT-v3,HYB-s0-b400-a0.25,0.3375,0.16,0.17750000000000002,100,1.432627624035146e-07,1.8480896350053384e-05,True
BT-v2,BT-v3,HYB-s0-b400-a0.50,0.3375,0.37,-0.03249999999999997,100,0.27792994661464154,1.0,False
BT-v2,BT-v3,HYB-s0-b400-a0.75,0.3375,0.385,-0.04749999999999999,100,0.1300809675397506,1.0,False
BT-v2,BT-v3,RL-s0-b100-a1.00,0.3375,0.385,-0.04749999999999999,100,0.12102404323795521,1.0,False
BT-v2,BT-v3,RL-s0-b250-a1.00,0.3375,0.385,-0.04749999999999999,100,0.12102404323795521,1.0,False
BT-v2,BT-v3,RL-s0-b400-a1.00,0.3375,0.37,-0.03249999999999997,100,0.3148955243521183,1.0,False
BT-v2,HYB-s0-b100-a0.25,HYB-s0-b100-a0.50,0.165,0.2925,-0.12749999999999997,100,6.803310581610968e-06,0.0007279542322323736,True
BT-v2,HYB-s0-b100-a0.25,HYB-s0-b100-a0.75,0.165,0.395,-0.23,100,1.466841523327774e-11,2.59630949629016e-09,True
BT-v2,HYB-s0-b100-a0.25,HYB-s0-b250-a0.25,0.165,0.1625,0.0025000000000000022,100,0.595822655270563,1.0,False
BT-v2,HYB-s0-b100-a0.25,HYB-s0-b250-a0.50,0.165,0.3525,-0.18749999999999997,100,1.709895079592558e-08,2.3425562590418045e-06,True
BT-v2,HYB-s0-b100-a0.25,HYB-s0-b250-a0.75,0.165,0.38,-0.215,100,4.0050938619813915e-11,6.728557688128738e-09,True
BT-v2,HYB-s0-b100-a0.25,HYB-s0-b400-a0.25,0.165,0.16,0.0050000000000000044,100,0.8323983922080622,1.0,False
BT-v2,HYB-s0-b100-a0.25,HYB-s0-b400-a0.50,0.165,0.37,-0.205,100,6.075906086928394e-10,8.931581947784739e-08,True
BT-v2,HYB-s0-b100-a0.25,HYB-s0-b400-a0.75,0.165,0.385,-0.22,100,8.99628743029183e-11,1.4238313908032902e-08,True
BT-v2,HYB-s0-b100-a0.25,RL-s0-b100-a1.00,0.165,0.385,-0.22,100,2.577319337677698e-11,4.4845356475591945e-09,True
BT-v2,HYB-s0-b100-a0.25,RL-s0-b250-a1.00,0.165,0.385,-0.22,100,3.659230672065899e-11,6.257284449232687e-09,True
BT-v2,HYB-s0-b100-a0.25,RL-s0-b400-a1.00,0.165,0.37,-0.205,100,1.4159871375908e-10,2.152300449138016e-08,True
BT-v2,HYB-s0-b100-a0.50,HYB-s0-b100-a0.75,0.2925,0.395,-0.10250000000000004,100,1.9107290272173145e-06,0.00021782310910277384,True
BT-v2,HYB-s0-b100-a0.50,HYB-s0-b250-a0.25,0.2925,0.1625,0.12999999999999998,100,1.0247979663570874e-06,0.00011990136206377923,True
BT-v2,HYB-s0-b100-a0.50,HYB-s0-b250-a0.50,0.2925,0.3525,-0.06,100,0.003681513534762037,0.27611351510715276,False
BT-v2,HYB-s0-b100-a0.50,HYB-s0-b250-a0.75,0.2925,0.38,-0.08750000000000002,100,1.0552134615459101e-05,0.0011079741346232057,True
BT-v2,HYB-s0-b100-a0.50,HYB-s0-b400-a0.25,0.2925,0.16,0.13249999999999998,100,1.6826762180164354e-05,0.0016995029801965998,True
BT-v2,HYB-s0-b100-a0.50,HYB-s0-b400-a0.50,0.2925,0.37,-0.07750000000000001,100,0.0001595606691291554,0.013243535537719899,True
BT-v2,HYB-s0-b100-a0.50,HYB-s0-b400-a0.75,0.2925,0.385,-0.09250000000000003,100,7.4042746854972e-06,0.0007848531166627032,True
BT-v2,HYB-s0-b100-a0.50,RL-s0-b100-a1.00,0.2925,0.385,-0.09250000000000003,100,3.1825442617200377e-06,0.00035644495731264423,True
BT-v2,HYB-s0-b100-a0.50,RL-s0-b250-a1.00,0.2925,0.385,-0.09250000000000003,100,3.1825442617200377e-06,0.00035644495731264423,True
BT-v2,HYB-s0-b100-a0.50,RL-s0-b400-a1.00,0.2925,0.37,-0.07750000000000001,100,8.132983440482967e-05,0.007157025427625011,True
BT-v2,HYB-s0-b100-a0.75,HYB-s0-b250-a0.25,0.395,0.1625,0.2325,100,2.7948584372674083e-11,4.835105096472616e-09,True
BT-v2,HYB-s0-b100-a0.75,HYB-s0-b250-a0.50,0.395,0.3525,0.04250000000000004,100,0.08582336719953815,1.0,False
BT-v2,HYB-s0-b100-a0.75,HYB-s0-b250-a0.75,0.395,0.38,0.015000000000000013,100,0.48761814408005333,1.0,False
BT-v2,HYB-s0-b100-a0.75,HYB-s0-b400-a0.25,0.395,0.16,0.23500000000000001,100,5.7167753023591304e-11,9.489847001916156e-09,True
BT-v2,HYB-s0-b100-a0.75,HYB-s0-b400-a0.50,0.395,0.37,0.025000000000000022,100,0.48041916458939826,1.0,False
BT-v2,HYB-s0-b100-a0.75,HYB-s0-b400-a0.75,0.395,0.385,0.010000000000000009,100,0.6111516931381411,1.0,False
BT-v2,HYB-s0-b100-a0.75,RL-s0-b100-a1.00,0.395,0.385,0.010000000000000009,100,0.6127060186925997,1.0,False
BT-v2,HYB-s0-b100-a0.75,RL-s0-b250-a1.00,0.395,0.385,0.010000000000000009,100,0.6084488132797179,1.0,False
BT-v2,HYB-s0-b100-a0.75,RL-s0-b400-a1.00,0.395,0.37,0.025000000000000022,100,0.13405340201631682,1.0,False
BT-v2,HYB-s0-b250-a0.25,HYB-s0-b250-a0.50,0.1625,0.3525,-0.18999999999999997,100,7.624543118505083e-09,1.0598114934722065e-06,True
BT-v2,HYB-s0-b250-a0.25,HYB-s0-b250-a0.75,0.1625,0.38,-0.2175,100,1.358628153426013e-10,2.0787010747417997e-08,True
BT-v2,HYB-s0-b250-a0.25,HYB-s0-b400-a0.25,0.1625,0.16,0.0025000000000000022,100,0.9121994496644475,1.0,False
BT-v2,HYB-s0-b250-a0.25,HYB-s0-b400-a0.50,0.1625,0.37,-0.2075,100,6.467412730517758e-10,9.442422586555927e-08,True
BT-v2,HYB-s0-b250-a0.25,HYB-s0-b400-a0.75,0.1625,0.385,-0.2225,100,8.256192894913476e-11,1.3292470560810696e-08,True
BT-v2,HYB-s0-b250-a0.25,RL-s0-b100-a1.00,0.1625,0.385,-0.2225,100,6.843111024968e-11,1.1154270970697839e-08,True
BT-v2,HYB-s0-b250-a0.25,RL-s0-b250-a1.00,0.1625,0.385,-0.2225,100,8.440357793509793e-11,1.350457246961567e-08,True
BT-v2,HYB-s0-b250-a0.25,RL-s0-b400-a1.00,0.1625,0.37,-0.2075,100,9.092301292575099e-10,1.3183836874233894e-07,True
BT-v2,HYB-s0-b250-a0.50,HYB-s0-b250-a0.75,0.3525,0.38,-0.027500000000000024,100,0.1467115589766047,1.0,False
BT-v2,HYB-s0-b250-a0.50,HYB-s0-b400-a0.25,0.3525,0.16,0.19249999999999998,100,2.4410194297732184e-08,3.270966035896113e-06,True
BT-v2,HYB-s0-b250-a0.50,HYB-s0-b400-a0.50,0.3525,0.37,-0.017500000000000016,100,0.2004430409152067,1.0,False
BT-v2,HYB-s0-b250-a0.50,HYB-s0-b400-a0.75,0.3525,0.385,-0.03250000000000003,100,0.10275263881818342,1.0,False
BT-v2,HYB-s0-b250-a0.50,RL-s0-b100-a1.00,0.3525,0.385,-0.03250000000000003,100,0.1280713514079202,1.0,False
BT-v2,HYB-s0-b250-a0.50,RL-s0-b250-a1.00,0.3525,0.385,-0.03250000000000003,100,0.12381234470224008,1.0,False
BT-v2,HYB-s0-b250-a0.50,RL-s0-b400-a1.00,0.3525,0.37,-0.017500000000000016,100,0.43715544223667724,1.0,False
BT-v2,HYB-s0-b250-a0.75,HYB-s0-b400-a0.25,0.38,0.16,0.22,100,1.3395106107563546e-10,2.062846340564786e-08,True
