cond,opponent,n_seeds,score,score_lo,score_hi,pure_winrate,draw_rate,wez_time,damage,surv_time,viol_deck,viol_over_g,viol_total
BT-v2,BT-v2,100,0.5,0.4038315303659957,0.5961684696340044,0.5,0.58,0.31524999999999986,7.88125,72.19649999999753,0.04528973456703464,0.11269549993185857,0.1838328678265138
HYB-s0-b100-a0.75,BT-v2,100,0.395,0.30478007110045646,0.49298856352301046,0.043478260869565216,0.77,0.012750000000000004,0.31875,118.46524999999536,0.0,5.823627287853499e-05,0.0013439175448326823
HYB-s0-b400-a0.75,BT-v2,100,0.385,0.2955673577965559,0.48294114679105066,0.0,0.77,0.0,0.0,120.19999999999528,0.0002870216306156405,0.0001476705490848575,0.000434692179700498
RL-s0-b100-a1.00,BT-v2,100,0.385,0.2955673577965559,0.48294114679105066,0.0,0.77,0.0,0.0,120.19999999999528,0.0024625623960066543,0.0028535773710482437,0.0053889351081530664
RL-s0-b250-a1.00,BT-v2,100,0.385,0.2955673577965559,0.48294114679105066,0.0,0.77,0.0,0.0,120.19999999999528,0.0011522462562395999,0.0003598169717138075,0.0015599001663893467
HYB-s0-b250-a0.75,BT-v2,100,0.38,0.2909759925247873,0.47790244704488916,0.0,0.76,0.0,0.0,119.6624999999953,0.000413893510815307,0.0,0.00043261231281197904
HYB-s0-b400-a0.50,BT-v2,100,0.37,0.2818236053432453,0.4677947041905709,0.0,0.74,0.0,0.0,117.52549999999543,0.006179284525790347,0.0,0.00619800332778702
RL-s0-b400-a1.00,BT-v2,100,0.37,0.2818236053432453,0.4677947041905709,0.0,0.74,0.0,0.0,117.77649999999541,0.01620711343599641,0.01273186286182438,0.028984733369368212
HYB-s0-b250-a0.50,BT-v2,100,0.3525,0.2659059646923454,0.45000711727871523,0.0,0.705,0.0,0.0,119.70349999999533,0.0,6.8635607321131e-05,9.1514143094841e-05
BT-v3,BT-v2,100,0.3375,0.2523651191105048,0.43465776780676546,0.15053763440860216,0.535,0.28475,7.11875,64.40024999999805,0.0,0.0,0.023990680069769618
HYB-s0-b100-a0.50,BT-v2,100,0.2925,0.21234394416040803,0.3880083575954909,0.0,0.585,0.00125,0.03125,107.6279999999959,0.0,0.0004305324459234595,0.0034314678378248413
BT-v1,BT-v2,100,0.2725,0.19486627234166884,0.36696576934250963,0.04040404040404041,0.505,0.04325000000000001,1.08125,97.69024999999635,0.0022134061100439525,0.0,0.0069344733035128754
HYB-s0-b100-a0.25,BT-v2,100,0.165,0.10493344534877763,0.24985219844990275,0.007352941176470588,0.32,0.012500000000000004,0.3125,80.35374999999732,0.0,0.0013822729464888497,0.006492162824017161
HYB-s0-b250-a0.25,BT-v2,100,0.1625,0.10294041162971963,0.2470301996599957,0.014388489208633094,0.305,0.026249999999999968,0.65625,77.95024999999754,0.10638242872653217,0.00042630009833983856,0.11077512178814983
HYB-s0-b400-a0.25,BT-v2,100,0.16,0.10095288488804782,0.24420269389270244,0.04054054054054054,0.26,0.037499999999999985,0.9375,79.00999999999743,0.06477609263262797,0.00033901830282861696,0.06865788858515708
BT-v2,BT-v3,100,0.6625,0.5653422321932345,0.747634880889495,0.8494623655913979,0.535,1.5987499999999981,39.96875,64.40024999999805,0.0,0.12723929335732248,0.15122997342709207
BT-v3,BT-v3,100,0.5,0.4038315303659957,0.5961684696340044,0.5,0.63,0.567,14.175,70.8049999999977,0.0,0.0,0.026084823817680198
HYB-s0-b250-a0.75,BT-v3,100,0.3875,0.2978668011592316,0.4854567359373401,0.0,0.775,0.0,0.0,120.19999999999528,0.0,0.0,5.4076539101496e-05
HYB-s0-b100-a0.75,BT-v3,100,0.385,0.2955673577965559,0.48294114679105066,0.020833333333333332,0.76,0.014000000000000004,0.35,117.37674999999541,0.0,9.567387687187898e-05,0.0015595699419096772
HYB-s0-b400-a0.75,BT-v3,100,0.3825,0.29327041862234954,0.480423053456292,0.0,0.765,0.0,0.0,120.19999999999528,0.0007487520798668882,8.31946755407645e-05,0.0008319467554076525
RL-s0-b100-a1.00,BT-v3,100,0.38,0.2909759925247873,0.47790244704488916,0.0,0.76,0.0,0.0,120.19999999999528,0.0015037437603993339,0.0025519966722129693,0.004163893510815297
RL-s0-b250-a1.00,BT-v3,100,0.3775,0.2886840886376072,0.4753793184231042,0.0,0.755,0.0,0.0,120.19999999999528,0.000802828618968385,0.00031613976705490695,0.001181364392678865
RL-s0-b400-a1.00,BT-v3,100,0.375,0.2863947163440663,0.47285365820768,0.0,0.75,0.0,0.0,118.69024999999536,0.011650385716970014,0.008160068095719345,0.019874929686233448
HYB-s0-b250-a0.50,BT-v3,100,0.3625,0.2749861751896406,0.46018703681728035,0.0,0.725,0.0,0.0,119.7217499999953,0.0018386023294509153,9.9833610648918e-05,0.0019821131447587343
HYB-s0-b400-a0.50,BT-v3,100,0.3625,0.2749861751896406,0.46018703681728035,0.017543859649122806,0.715,0.009750000000000003,0.24375,115.72924999999556,0.013765876167951711,6.239600665557e-06,0.013832431908384324
HYB-s0-b100-a0.50,BT-v3,100,0.2775,0.1992168035397964,0.3722453031623122,0.01098901098901099,0.545,0.0037499999999999994,0.09375,105.53999999999601,0.0,0.0004762895174708801,0.0023829825278744382
BT-v1,BT-v3,100,0.2625,0.18620421240494658,0.3563676992433715,0.010309278350515464,0.515,0.04025,1.00625,91.41049999999663,0.0025373987992020823,0.0,0.009380839046697785
HYB-s0-b250-a0.25,BT-v3,100,0.175,0.11295881929025549,0.26108695454428515,0.03571428571428571,0.3,0.013500000000000002,0.3375,75.78474999999759,0.10114286043660872,0.0026556492437714834,0.10810865396077951
HYB-s0-b400-a0.25,BT-v3,100,0.155,0.09699474581091347,0.23853076795190667,0.0273972602739726,0.27,0.04624999999999994,1.15625,74.68699999999768,0.11917018590175081,0.0001946139974670845,0.12349984077068253
HYB-s0-b100-a0.25,BT-v3,100,0.115,0.06625152923980702,0.19223346437957192,0.012658227848101266,0.21,0.024999999999999977,0.625,79.37224999999745,0.0,0.002132709025495666,0.005438025183182685
