cond,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples
BT-v1,1.0,1.0,1.0,2.0,1.0,2.0,25089
BT-v2,2.0,1.0,2.0,3.0,0.9948483044973369,4.0,21094
BT-v3,3.0,3.0,3.0,5.0,0.988032439322422,8.0,19631
HYB-s0-b100-a0.25,3.0,2.0,3.0,8.0,0.9703409533066809,8.0,25113
HYB-s0-b100-a0.50,17.0,17.0,17.0,17.0,0.7568272538337112,6397.0,32285
HYB-s0-b100-a0.75,17.0,17.0,17.0,17.0,0.7165776851454925,5217.0,36060
HYB-s0-b250-a0.25,6.0,4.0,6.0,16.0,0.9251520906574089,64.0,23039
HYB-s0-b250-a0.50,17.0,10.0,17.0,17.0,0.7380827497469261,7942.0,36060
HYB-s0-b250-a0.75,17.0,11.0,17.0,17.0,0.7130373733736157,9348.0,35523
HYB-s0-b400-a0.25,7.0,4.0,7.0,17.0,0.9097581898378438,126.0,21357
HYB-s0-b400-a0.50,17.0,16.0,17.0,17.0,0.7319419002529208,5411.0,34862
HYB-s0-b400-a0.75,17.0,17.0,17.0,17.0,0.593346522504659,8055.0,36060
RL-s0-b100-a1.00,17.0,17.0,17.0,17.0,0.6775105440836555,4116.0,36060
RL-s0-b250-a1.00,17.0,8.0,17.0,17.0,0.8297916520138542,8303.0,36060
RL-s0-b400-a1.00,17.0,17.0,17.0,17.0,0.5085277286787528,7875.0,34575
