cond,opponent,wins,losses,pure_winrate,p_raw,p_holm,significant
BT-v1,BT-v2,2,102,0.019230769230769232,5.384961754264932e-28,8.077442631397398e-27,True
BT-v1,BT-v3,1,108,0.009174311926605505,3.389636702121535e-31,6.101346063818763e-30,True
BT-v2,BT-v2,51,51,0.5,1.0,1.0,False
BT-v2,BT-v3,152,15,0.9101796407185628,1.0384614835804017e-29,1.765384522086683e-28,True
BT-v3,BT-v2,15,152,0.08982035928143713,1.0384614835804017e-29,1.765384522086683e-28,True
BT-v3,BT-v3,67,67,0.5,1.0,1.0,False
RL-s0-b100-a1.00,BT-v2,80,19,0.8080808080808081,4.3940278290894227e-10,3.515222263271538e-09,True
RL-s0-b100-a1.00,BT-v3,148,20,0.8809523809523809,2.5044824569704488e-25,3.5062754397586285e-24,True
RL-s0-b200-a1.00,BT-v2,85,44,0.6589147286821705,0.00038715513395483516,0.0015486205358193406,True
RL-s0-b200-a1.00,BT-v3,120,45,0.7272727272727273,4.569295209452768e-09,3.198506646616937e-08,True
RL-s0-b300-a1.00,BT-v2,108,31,0.7769784172661871,3.518691048707083e-11,3.518691048707083e-10,True
RL-s0-b300-a1.00,BT-v3,138,23,0.8571428571428571,3.47329518420462e-21,4.515283739466006e-20,True
RL-s1-b100-a1.00,BT-v2,71,28,0.7171717171717171,1.8257600947585227e-05,9.128800473792614e-05,True
RL-s1-b100-a1.00,BT-v3,101,30,0.7709923664122137,3.5019249165122216e-10,3.1517324248609995e-09,True
RL-s1-b200-a1.00,BT-v2,88,27,0.7652173913043478,9.925611878636325e-09,5.9553671271817945e-08,True
RL-s1-b200-a1.00,BT-v3,111,23,0.8283582089552238,5.036722408450654e-15,5.54039464929572e-14,True
RL-s1-b300-a1.00,BT-v2,76,86,0.4691358024691358,0.4796151688082535,1.0,False
RL-s1-b300-a1.00,BT-v3,133,29,0.8209876543209876,4.0702449749234655e-17,4.884293969908159e-16,True
