opponent,cond_a,cond_b,mean_a,mean_b,diff,n,p_raw,p_holm,significant
BT-v2,BT-v1,BT-v2,0.25,0.5,-0.25,100,8.638747650492352e-16,4.6649237312658697e-14,True
BT-v2,BT-v1,BT-v3,0.25,0.1575,0.0925,100,0.002512511718253933,0.06399672348793925,False
BT-v2,BT-v1,RL-s0-b100-a1.00,0.25,0.6525,-0.40249999999999997,100,6.249940551355677e-17,3.687464925299849e-15,True
BT-v2,BT-v1,RL-s0-b200-a1.00,0.25,0.6025,-0.35250000000000004,100,2.2569381892544125e-14,1.1284690946272063e-12,True
BT-v2,BT-v1,RL-s0-b300-a1.00,0.25,0.6925,-0.4425,100,1.0372456514391254e-17,6.742096734354315e-16,True
BT-v2,BT-v1,RL-s1-b100-a1.00,0.25,0.6075,-0.35750000000000004,100,2.3433605340150255e-16,1.3357155043885645e-14,True
BT-v2,BT-v1,RL-s1-b200-a1.00,0.25,0.6525,-0.40249999999999997,100,2.720039375950454e-16,1.5232220505322542e-14,True
BT-v2,BT-v1,RL-s1-b300-a1.00,0.25,0.475,-0.22499999999999998,100,7.826182189081907e-08,3.208734697523582e-06,True
BT-v2,BT-v2,BT-v3,0.5,0.1575,0.3425,100,3.8897063128537215e-17,2.37272085084077e-15,True
BT-v2,BT-v2,RL-s0-b100-a1.00,0.5,0.6525,-0.15249999999999997,100,1.7174514407132068e-09,7.55678633913811e-08,True
BT-v2,BT-v2,RL-s0-b200-a1.00,0.5,0.6025,-0.10250000000000004,100,0.00035804215902458575,0.01181539124781133,True
BT-v2,BT-v2,RL-s0-b300-a1.00,0.5,0.6925,-0.1925,100,4.890947844549398e-11,2.249836008492723e-09,True
BT-v2,BT-v2,RL-s1-b100-a1.00,0.5,0.6075,-0.10750000000000004,100,2.277634360879859e-06,8.427247135255479e-05,True
BT-v2,BT-v2,RL-s1-b200-a1.00,0.5,0.6525,-0.15249999999999997,100,4.210260349311858e-07,1.6841041397247433e-05,True
BT-v2,BT-v2,RL-s1-b300-a1.00,0.5,0.475,0.025000000000000022,100,0.4691818313767595,1.0,False
BT-v2,BT-v3,RL-s0-b100-a1.00,0.1575,0.6525,-0.495,100,6.0436535145919885e-18,4.1701209250684723e-16,True
BT-v2,BT-v3,RL-s0-b200-a1.00,0.1575,0.6025,-0.44500000000000006,100,9.56087508286741e-16,4.9716550430910534e-14,True
BT-v2,BT-v3,RL-s0-b300-a1.00,0.1575,0.6925,-0.535,100,8.930644699176351e-18,5.983531948448155e-16,True
BT-v2,BT-v3,RL-s1-b100-a1.00,0.1575,0.6075,-0.45000000000000007,100,1.9701798449763955e-18,1.4185294883830047e-16,True
BT-v2,BT-v3,RL-s1-b200-a1.00,0.1575,0.6525,-0.495,100,9.19711768062327e-18,6.070097669211359e-16,True
BT-v2,BT-v3,RL-s1-b300-a1.00,0.1575,0.475,-0.3175,100,2.022306761435566e-11,9.50484177874716e-10,True
BT-v2,RL-s0-b100-a1.00,RL-s0-b200-a1.00,0.6525,0.6025,0.04999999999999993,100,0.11268126557278006,1.0,False
BT-v2,RL-s0-b100-a1.00,RL-s0-b300-a1.00,0.6525,0.6925,-0.040000000000000036,100,0.06498612167601206,1.0,False
BT-v2,RL-s0-b100-a1.00,RL-s1-b100-a1.00,0.6525,0.6075,0.04499999999999993,100,0.08104702246321606,1.0,False
BT-v2,RL-s0-b100-a1.00,RL-s1-b200-a1.00,0.6525,0.6525,0.0,100,0.7918395738609019,1.0,False
BT-v2,RL-s0-b100-a1.00,RL-s1-b300-a1.00,0.6525,0.475,0.1775,100,8.973473467930041e-07,3.409919917813416e-05,True
BT-v2,RL-s0-b200-a1.00,RL-s0-b300-a1.00,0.6025,0.6925,-0.08999999999999997,100,0.004715657581561905,0.11317578195748573,False
BT-v2,RL-s0-b200-a1.00,RL-s1-b100-a1.00,0.6025,0.6075,-0.0050000000000000044,100,0.870411411575337,1.0,False
BT-v2,RL-s0-b200-a1.00,RL-s1-b200-a1.00,0.6025,0.6525,-0.04999999999999993,100,0.11818200585972453,1.0,False
BT-v2,RL-s0-b200-a1.00,RL-s1-b300-a1.00,0.6025,0.475,0.12750000000000006,100,0.0005683376611840907,0.016941835216147574,True
BT-v2,RL-s0-b300-a1.00,RL-s1-b100-a1.00,0.6925,0.6075,0.08499999999999996,100,0.0020173742831653464,0.05446910564546435,False
BT-v2,RL-s0-b300-a1.00,RL-s1-b200-a1.00,0.6925,0.6525,0.040000000000000036,100,0.04529997432965715,0.8606995122634858,False
BT-v2,RL-s0-b300-a1.00,RL-s1-b300-a1.00,0.6925,0.475,0.21750000000000003,100,9.408933928114205e-09,3.951752249807966e-07,True
BT-v2,RL-s1-b100-a1.00,RL-s1-b200-a1.00,0.6075,0.6525,-0.04499999999999993,100,0.08043383053463628,1.0,False
BT-v2,RL-s1-b100-a1.00,RL-s1-b300-a1.00,0.6075,0.475,0.13250000000000006,100,0.0005647278405382525,0.016941835216147574,True
BT-v2,RL-s1-b200-a1.00,RL-s1-b300-a1.00,0.6525,0.475,0.1775,100,6.44830515084764e-07,2.5148390088305794e-05,True
BT-v3,BT-v1,BT-v2,0.2325,0.8425,-0.61,100,2.724716544573642e-18,1.9345487466472857e-16,True
BT-v3,BT-v1,BT-v3,0.2325,0.5,-0.26749999999999996,100,9.017204491823712e-16,4.779118380666567e-14,True
BT-v3,BT-v1,RL-s0-b100-a1.00,0.2325,0.82,-0.5874999999999999,100,3.998960673151859e-18,2.7992724712063013e-16,True
BT-v3,BT-v1,RL-s0-b200-a1.00,0.2325,0.6875,-0.45499999999999996,100,4.0766609436893025e-16,2.2421635190291164e-14,True
BT-v3,BT-v1,RL-s0-b300-a1.00,0.2325,0.7875,-0.5549999999999999,100,1.2735265767095868e-17,8.150570090941356e-16,True
BT-v3,BT-v1,RL-s1-b100-a1.00,0.2325,0.6775,-0.44499999999999995,100,2.2926814435013226e-17,1.42146249497082e-15,True
BT-v3,BT-v1,RL-s1-b200-a1.00,0.2325,0.72,-0.48749999999999993,100,2.106071927395042e-17,1.3268253142588764e-15,True
BT-v3,BT-v1,RL-s1-b300-a1.00,0.2325,0.76,-0.5275,100,7.481324916182875e-18,5.087300943004355e-16,True
BT-v3,BT-v2,BT-v3,0.8425,0.5,0.3425,100,3.8897063128537215e-17,2.37272085084077e-15,True
BT-v3,BT-v2,RL-s0-b100-a1.00,0.8425,0.82,0.022500000000000075,100,0.4383577230668543,1.0,False
BT-v3,BT-v2,RL-s0-b200-a1.00,0.8425,0.6875,0.15500000000000003,100,2.9403409888318036e-05,0.0009997159362028132,True
BT-v3,BT-v2,RL-s0-b300-a1.00,0.8425,0.7875,0.05500000000000005,100,0.18727220407287193,1.0,False
BT-v3,BT-v2,RL-s1-b100-a1.00,0.8425,0.6775,0.16500000000000004,100,4.053049484038301e-06,0.00014590978142537883,True
BT-v3,BT-v2,RL-s1-b200-a1.00,0.8425,0.72,0.12250000000000005,100,0.0024614124418438172,0.06399672348793925,False
BT-v3,BT-v2,RL-s1-b300-a1.00,0.8425,0.76,0.08250000000000002,100,0.02784639188370306,0.5569278376740612,False
BT-v3,BT-v3,RL-s0-b100-a1.00,0.5,0.82,-0.31999999999999995,100,7.3937720194437e-17,4.2883877712773455e-15,True
BT-v3,BT-v3,RL-s0-b200-a1.00,0.5,0.6875,-0.1875,100,4.023922820682174e-09,1.730286812893335e-07,True
BT-v3,BT-v3,RL-s0-b300-a1.00,0.5,0.7875,-0.2875,100,1.0878056784384482e-14,5.547808960036086e-13,True
BT-v3,BT-v3,RL-s1-b100-a1.00,0.5,0.6775,-0.1775,100,2.5644314689166543e-10,1.1539941610124944e-08,True
BT-v3,BT-v3,RL-s1-b200-a1.00,0.5,0.72,-0.21999999999999997,100,1.2639812156736398e-11,6.067109835233472e-10,True
BT-v3,BT-v3,RL-s1-b300-a1.00,0.5,0.76,-0.26,100,1.2332639373855805e-12,6.042993293189345e-11,True
BT-v3,RL-s0-b100-a1.00,RL-s0-b200-a1.00,0.82,0.6875,0.13249999999999995,100,0.0005001426673638887,0.01600456535564444,True
BT-v3,RL-s0-b100-a1.00,RL-s0-b300-a1.00,0.82,0.7875,0.03249999999999997,100,0.19558975161269887,1.0,False
BT-v3,RL-s0-b100-a1.00,RL-s1-b100-a1.00,0.82,0.6775,0.14249999999999996,100,9.804473357432405e-06,0.00034315656751013416,True
BT-v3,RL-s0-b100-a1.00,RL-s1-b200-a1.00,0.82,0.72,0.09999999999999998,100,0.0006956951790345517,0.019479465012967448,True
