cond,opponent,n_seeds,score,score_lo,score_hi,pure_winrate,draw_rate,wez_time,damage,surv_time,viol_deck,viol_over_g,viol_total
RL-s0-b300-a1.00,BT-v2,100,0.6925,0.5963380507182118,0.7744194524720986,0.7769784172661871,0.305,0.4367499999999999,10.91875,115.9587499999955,0.010380464176047608,0.03716449937626706,0.05722642373441487
RL-s0-b100-a1.00,BT-v2,100,0.6525,0.5550986357750664,0.738618347271803,0.8080808080808081,0.505,0.7649999999999996,19.125,110.25924999999584,0.014094943468609438,0.03445333969824448,0.06426814088246811
RL-s1-b200-a1.00,BT-v2,100,0.6525,0.5550986357750664,0.738618347271803,0.7652173913043478,0.425,0.3802499999999999,9.50625,118.3842499999954,0.000299500831946755,0.026795697772814056,0.03418734684113895
RL-s1-b100-a1.00,BT-v2,100,0.6075,0.509519563987813,0.6975268338976852,0.7171717171717171,0.505,0.24299999999999997,6.075,116.72799999999548,0.0,0.02824805893140817,0.034406050698986335
RL-s0-b200-a1.00,BT-v2,100,0.6025,0.5045057799831045,0.6929105528844635,0.6589147286821705,0.355,0.47249999999999986,11.8125,111.48924999999572,0.0,0.040094524474381214,0.050610532315002
BT-v2,BT-v2,100,0.5,0.4038315303659957,0.5961684696340044,0.5,0.49,0.22624999999999987,5.65625,103.3004999999961,0.0973824357900131,0.03844683390066541,0.14419935231795045
RL-s1-b300-a1.00,BT-v2,100,0.475,0.37987220115774883,0.5719774737526003,0.4691358024691358,0.19,0.30974999999999986,7.74375,101.05349999999636,0.08124032578134938,0.09942242321122853,0.18719616868876948
BT-v1,BT-v2,100,0.25,0.17545211362287674,0.34304463548061603,0.019230769230769232,0.48,0.013500000000000002,0.3375,99.45474999999631,0.001856004247839295,0.0,0.004407818957311172
BT-v3,BT-v2,100,0.1575,0.09897096257714261,0.24136958369464256,0.08982035928143713,0.165,0.19724999999999995,4.93125,99.90199999999633,0.0,0.0,0.006485938748405246
BT-v2,BT-v3,100,0.8425,0.7586304163053574,0.9010290374228573,0.9101796407185628,0.165,2.760999999999996,69.025,99.90199999999633,0.0,0.050297592571848376,0.05678353132025362
RL-s0-b100-a1.00,BT-v3,100,0.82,0.7333264161369927,0.8829977450105364,0.8809523809523809,0.16,2.028749999999997,50.71875,104.33424999999619,0.0007416502946954811,0.041337044130136294,0.05984311194682746
RL-s0-b300-a1.00,BT-v3,100,0.7875,0.6974682273145373,0.8562605112164459,0.8571428571428571,0.195,1.7407499999999982,43.51875,106.4174999999961,0.0,0.03240072360363242,0.04345968480107354
RL-s1-b300-a1.00,BT-v3,100,0.76,0.6676766365018552,0.8330867444305122,0.8209876543209876,0.19,1.7467499999999976,43.66875,107.97524999999598,0.004036627387831485,0.05415722397289208,0.06810441467322706
RL-s1-b200-a1.00,BT-v3,100,0.72,0.6251197129007884,0.7986031478881379,0.8283582089552238,0.33,0.6757499999999997,16.89375,117.96124999999542,0.0,0.03131357418402681,0.04263929275064144
RL-s0-b200-a1.00,BT-v3,100,0.6875,0.5911437332143373,0.769983704958043,0.7272727272727273,0.175,1.2719999999999982,31.8,113.53449999999565,0.0,0.03618331184853091,0.04818868606967277
RL-s1-b100-a1.00,BT-v3,100,0.6775,0.5807895192187987,0.7610777889177213,0.7709923664122137,0.345,0.7137499999999999,17.84375,117.37249999999545,0.0,0.026456521578393,0.035826747864098916
BT-v3,BT-v3,100,0.5,0.4038315303659957,0.5961684696340044,0.5,0.33,0.46525,11.63125,108.9334999999958,0.0,0.0,0.009606444136757826
BT-v1,BT-v3,100,0.2325,0.16054721388713336,0.32424430765360396,0.009174311926605505,0.455,0.009250000000000001,0.23125,97.20399999999641,0.002281367590392992,0.0,0.00497290965073082
