cond,opponent,wins,losses,pure_winrate,p_raw,p_holm,significant
BT-v1,BT-v2,0,43,0.0,2.2737367544323206e-13,9.322320693172514e-12,True
BT-v1,BT-v3,0,48,0.0,7.105427357601002e-15,3.126388037344441e-13,True
BT-v2,BT-v2,20,20,0.5,1.0,1.0,False
BT-v2,BT-v3,117,0,1.0,1.2037062152420224e-35,5.89816045468591e-34,True
BT-v3,BT-v2,0,117,0.0,1.2037062152420224e-35,5.89816045468591e-34,True
BT-v3,BT-v3,3,3,0.5,1.0,1.0,False
BTO-s0-b300,BT-v2,5,50,0.09090909090909091,2.1358426138817774e-10,8.329786194138931e-09,True
BTO-s0-b300,BT-v3,132,0,1.0,3.6734198463196485e-40,1.9101783200862172e-38,True
BTO-s1-b300,BT-v2,2,52,0.037037037037037035,1.6497914145929826e-13,6.929123941290527e-12,True
BTO-s1-b300,BT-v3,120,0,1.0,1.504632769052528e-36,7.52316384526264e-35,True
BTO-s2-b300,BT-v2,4,44,0.08333333333333333,1.5138326148189662e-09,5.752563936312072e-08,True
BTO-s2-b300,BT-v3,133,2,0.9851851851851852,4.2157084511325866e-37,2.1500113100776191e-35,True
RL-s0-b300-a1.00,BT-v2,0,2,0.0,0.5,1.0,False
RL-s0-b300-a1.00,BT-v3,3,3,0.5,1.0,1.0,False
RL-s1-b300-a1.00,BT-v2,46,2,0.9583333333333334,8.363087999896379e-12,3.3452351999585517e-10,True
RL-s1-b300-a1.00,BT-v3,91,4,0.9578947368421052,1.6794639150698915e-22,7.7255340093215e-21,True
RL-s10-b300-a1.00,BT-v2,32,21,0.6037735849056604,0.16897782228771874,1.0,False
RL-s10-b300-a1.00,BT-v3,75,8,0.9036144578313253,9.099722954884666e-15,3.9128808706004063e-13,True
RL-s11-b300-a1.00,BT-v2,3,3,0.5,1.0,1.0,False
RL-s11-b300-a1.00,BT-v3,43,4,0.9148936170212766,2.781192165457469e-09,1.0290411012192635e-07,True
RL-s12-b300-a1.00,BT-v2,11,7,0.6111111111111112,0.480682373046875,1.0,False
RL-s12-b300-a1.00,BT-v3,86,4,0.9555555555555556,4.3245487100412455e-21,1.9460469195185605e-19,True
RL-s13-b300-a1.00,BT-v2,3,11,0.21428571428571427,0.057373046875,1.0,False
RL-s13-b300-a1.00,BT-v3,2,12,0.14285714285714285,0.012939453125,0.401123046875,False
RL-s14-b300-a1.00,BT-v2,12,23,0.34285714285714286,0.08953107893466952,1.0,False
RL-s14-b300-a1.00,BT-v3,87,2,0.9775280898876404,1.2944084116747769e-23,6.083719534871451e-22,True
RL-s15-b300-a1.00,BT-v2,3,9,0.25,0.14599609375,1.0,False
RL-s15-b300-a1.00,BT-v3,26,11,0.7027027027027027,0.020073851919732988,0.5821417056722566,False
RL-s16-b300-a1.00,BT-v2,3,9,0.25,0.14599609375,1.0,False
RL-s16-b300-a1.00,BT-v3,36,3,0.9230769230769231,3.608874976634979e-08,1.2991949915885925e-06,True
RL-s17-b300-a1.00,BT-v2,0,11,0.0,0.0009765625,0.03125,True
RL-s17-b300-a1.00,BT-v3,15,6,0.7142857142857143,0.0783538818359375,1.0,False
RL-s18-b300-a1.00,BT-v2,6,1,0.8571428571428571,0.125,1.0,False
RL-s18-b300-a1.00,BT-v3,2,4,0.3333333333333333,0.6875,1.0,False
RL-s19-b300-a1.00,BT-v2,2,12,0.14285714285714285,0.012939453125,0.401123046875,False
RL-s19-b300-a1.00,BT-v3,27,4,0.8709677419354839,3.39532271027565e-05,0.0011883629485964775,True
RL-s2-b300-a1.00,BT-v2,3,12,0.2,0.03515625,0.984375,False
RL-s2-b300-a1.00,BT-v3,2,6,0.25,0.2890625,1.0,False
RL-s3-b300-a1.00,BT-v2,4,7,0.36363636363636365,0.548828125,1.0,False
RL-s3-b300-a1.00,BT-v3,9,5,0.6428571428571429,0.4239501953125,1.0,False
RL-s4-b300-a1.00,BT-v2,4,5,0.4444444444444444,1.0,1.0,False
RL-s4-b300-a1.00,BT-v3,35,10,0.7777777777777778,0.00024708778460080794,0.00840098467642747,True
RL-s5-b300-a1.00,BT-v2,3,4,0.42857142857142855,1.0,1.0,False
RL-s5-b300-a1.00,BT-v3,1,5,0.16666666666666666,0.21875,1.0,False
RL-s6-b300-a1.00,BT-v2,3,9,0.25,0.14599609375,1.0,False
RL-s6-b300-a1.00,BT-v3,5,8,0.38461538461538464,0.5810546875,1.0,False
RL-s7-b300-a1.00,BT-v2,0,4,0.0,0.125,1.0,False
RL-s7-b300-a1.00,BT-v3,22,4,0.8461538461538461,0.0005335211753845215,0.01760619878768921,True
RL-s8-b300-a1.00,BT-v2,1,3,0.25,0.625,1.0,False
RL-s8-b300-a1.00,BT-v3,2,3,0.4,1.0,1.0,False
RL-s9-b300-a1.00,BT-v2,4,7,0.36363636363636365,0.548828125,1.0,False
RL-s9-b300-a1.00,BT-v3,14,6,0.7,0.11531829833984375,1.0,False
