cond,kind,alpha,bt_version,ckpt,budget,train_seed,opponent,seed,side,score,win,draw,loss,outcome,duration,damage_dealt,damage_taken,wez_time,surv_time,viol_deck,viol_over_g,viol_sep,mean_es
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10000,0,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,9690.645663235902
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10000,1,0.5,0,1,0,timeout,120.19999999999531,21.25,0.0,0.8500000000000002,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10001,0,0.0,0,0,1,crash,107.79999999999602,0.0,0.0,0.0,107.79999999999602,0.03671003717472119,0.0,0.0,9405.932138534803
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10001,1,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10002,0,0.5,0,1,0,timeout,120.19999999999531,0.0,28.75,0.0,120.19999999999531,0.0,0.0,0.0,11170.061031978938
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10002,1,0.5,0,1,0,timeout,120.19999999999531,0.0,95.0,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10003,0,0.5,0,1,0,timeout,120.19999999999531,0.0,38.75,0.0,120.19999999999531,0.0,0.0,0.0,12553.106108283822
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10003,1,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10004,0,0.0,0,0,1,gun_kill,13.950000000000063,0.0,100.0,0.0,13.950000000000063,0.0,0.0,0.0,6468.57022165141
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10004,1,0.0,0,0,1,gun_kill,21.35000000000017,0.0,100.0,0.0,21.35000000000017,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10005,0,0.5,0,1,0,timeout,120.19999999999531,0.0,8.75,0.0,120.19999999999531,0.0,0.0,0.0,12225.352674776967
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10005,1,0.5,0,1,0,timeout,120.19999999999531,0.0,23.75,0.0,120.19999999999531,0.0,0.0,0.004991680532445923,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10006,0,0.0,0,0,1,gun_kill,13.05000000000005,0.0,100.0,0.0,13.05000000000005,0.0,0.0,0.0,7128.632541266703
