cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family
RL-s1-b300-a1.00,0.6637500000000001,110.41612499999587,0.06684199745627652,1.9426249999999974,0.7175,17.0,5.0,17.0,17.0,0.8981994883402624,2996.0,33946,RL
BT-v2,0.64625,101.60124999999621,0.10049144181910204,1.493624999999998,0.7925,4.0,2.0,4.0,17.0,0.9523549886447117,16.0,31978,BT
BTO-s2-b300,0.61375,105.52249999999607,0.055714238362253685,1.7084999999999977,0.8275,3.0,3.0,3.0,17.0,0.9780720611892694,8.0,31317,BTO
BTO-s0-b300,0.60875,104.67299999999608,0.05484142407281422,1.6372499999999979,0.83,5.0,3.0,5.0,17.0,0.9464720178901376,30.0,31096,BTO
RL-s12-b300-a1.00,0.6074999999999999,112.70312499999571,0.05107006144167682,1.702249999999998,0.705,8.0,4.0,8.0,17.0,0.9056624869893762,204.0,32583,RL
RL-s10-b300-a1.00,0.5974999999999999,103.06699999999624,0.08486161349324325,1.6999999999999984,0.6675,17.0,5.0,17.0,17.0,0.8911391693827496,4150.0,29785,RL
RL-s14-b300-a1.00,0.5925,108.95137499999592,0.13764305541462257,1.2897499999999984,0.7125,11.0,5.0,11.0,17.0,0.8996333329175231,966.0,31033,RL
BTO-s1-b300,0.5875,108.50387499999592,0.058977176109823976,1.584124999999998,0.8,3.0,3.0,3.0,17.0,0.96784459239109,8.0,32558,BTO
RL-s11-b300-a1.00,0.5487500000000001,116.2909999999955,0.048632719095288365,0.9619999999999992,0.5975,3.0,2.0,3.0,17.0,0.9618636105087349,8.0,33975,RL
RL-s16-b300-a1.00,0.53375,112.77012499999567,0.0618985190639116,0.7461249999999994,0.5825,17.0,5.0,17.0,17.0,0.8991041823480044,3457.0,35019,RL
RL-s4-b300-a1.00,0.53,114.65637499999559,0.038734976240447666,0.8699999999999994,0.5625,5.0,2.0,5.0,17.0,0.9449104162582058,32.0,35346,RL
RL-s7-b300-a1.00,0.5175000000000001,116.72912499999546,0.03674560219998935,0.5713749999999995,0.545,7.0,4.0,7.0,17.0,0.9105768669969455,99.0,35273,RL
RL-s19-b300-a1.00,0.51625,116.41212499999548,0.04493383590148461,0.8291249999999994,0.5575,5.0,2.0,5.0,17.0,0.9383493736815551,32.0,35146,RL
RL-s15-b300-a1.00,0.51125,114.94024999999557,0.04192172687364025,0.7671249999999995,0.5375,4.0,2.0,4.0,17.0,0.9581204167113078,16.0,34409,RL
RL-s9-b300-a1.00,0.50625,114.75249999999556,0.04209823722455498,0.6476249999999997,0.52,4.0,1.0,4.0,17.0,0.952744750518804,16.0,35098,RL
RL-s18-b300-a1.00,0.5037499999999999,114.1907499999956,0.0395657926544382,0.4501249999999999,0.495,9.0,3.0,9.0,17.0,0.932946122094987,358.0,34247,RL
RL-s3-b300-a1.00,0.50125,114.34874999999559,0.04455812851391395,0.615625,0.51,6.0,2.0,6.0,17.0,0.9314722870402549,61.0,34483,RL
RL-s0-b300-a1.00,0.4975,117.05562499999544,0.04000593480374728,0.33862499999999995,0.5,3.0,1.0,3.0,17.0,0.9657879878027142,8.0,35287,RL
RL-s17-b300-a1.00,0.49749999999999994,115.12624999999557,0.03829042752696374,0.5287499999999998,0.5225,4.0,2.0,4.0,17.0,0.9591758481958845,16.0,33996,RL
RL-s8-b300-a1.00,0.49624999999999997,116.26474999999547,0.04038999995149013,0.338125,0.4975,7.0,4.0,7.0,17.0,0.9101923367475905,109.0,34562,RL
RL-s5-b300-a1.00,0.49375,117.12412499999544,0.041892296125380105,0.5278749999999999,0.49,5.0,1.0,5.0,17.0,0.9440381768284404,32.0,34646,RL
RL-s6-b300-a1.00,0.48875,117.15949999999545,0.03305569090506716,0.562125,0.4925,5.0,2.0,5.0,17.0,0.9470774548307749,32.0,35436,RL
RL-s2-b300-a1.00,0.48375,116.21037499999548,0.033456888188505306,0.593375,0.49,6.0,4.0,6.0,17.0,0.923618598082829,63.0,34197,RL
RL-s13-b300-a1.00,0.4775,115.46512499999554,0.0361442055547715,0.534,0.475,9.0,5.0,9.0,17.0,0.8972071485302056,358.0,34332,RL
BT-v1,0.38625,98.32937499999636,0.0046903643040209966,0.011375000000000001,0.38,1.0,1.0,1.0,3.0,0.995244845451407,2.0,28033,BT
BT-v3,0.35375,104.41774999999606,0.008046191442581535,0.33125,0.5,5.0,3.0,5.0,17.0,0.9402036139137073,28.0,31234,BT
