opponent,cond_a,cond_b,mean_a,mean_b,diff,n,p_raw,p_holm,significant
BT-v2,BT-v1,BT-v2,0.3925,0.5,-0.10749999999999998,100,3.512772383446686e-08,1.633439158302709e-05,True
BT-v2,BT-v1,BT-v3,0.3925,0.2075,0.18500000000000003,100,3.155486673717696e-09,1.5335665234268002e-06,True
BT-v2,BT-v1,BTO-s0-b300,0.3925,0.3875,0.0050000000000000044,100,0.8469757313755453,1.0,False
BT-v2,BT-v1,BTO-s1-b300,0.3925,0.375,0.017500000000000016,100,0.7620583682594938,1.0,False
BT-v2,BT-v1,BTO-s2-b300,0.3925,0.4,-0.007500000000000007,100,0.5963400140651849,1.0,False
BT-v2,BT-v1,RL-s0-b300-a1.00,0.3925,0.495,-0.10249999999999998,100,1.1578778068356538e-07,5.291501577238938e-05,True
BT-v2,BT-v1,RL-s1-b300-a1.00,0.3925,0.61,-0.21749999999999997,100,1.487846392752186e-13,8.07900591264437e-11,True
BT-v2,BT-v1,RL-s10-b300-a1.00,0.3925,0.5275,-0.13499999999999995,100,5.580361505239069e-07,0.0002449778700799951,True
BT-v2,BT-v1,RL-s11-b300-a1.00,0.3925,0.5,-0.10749999999999998,100,1.676480924023604e-07,7.599188141653715e-05,True
BT-v2,BT-v1,RL-s12-b300-a1.00,0.3925,0.51,-0.1175,100,2.457955453395731e-07,0.00010987060876678918,True
BT-v2,BT-v1,RL-s13-b300-a1.00,0.3925,0.48,-0.08749999999999997,100,3.8810540588646367e-05,0.01463157380191968,True
BT-v2,BT-v1,RL-s14-b300-a1.00,0.3925,0.4725,-0.07999999999999996,100,0.00021788305593795957,0.07560542041047197,False
BT-v2,BT-v1,RL-s15-b300-a1.00,0.3925,0.485,-0.09249999999999997,100,1.0856881643515046e-05,0.004342752657406019,True
BT-v2,BT-v1,RL-s16-b300-a1.00,0.3925,0.485,-0.09249999999999997,100,2.3908064516967518e-06,0.001001747903260939,True
BT-v2,BT-v1,RL-s17-b300-a1.00,0.3925,0.4725,-0.07999999999999996,100,6.58748747180218e-05,0.023978454397359933,True
BT-v2,BT-v1,RL-s18-b300-a1.00,0.3925,0.5125,-0.11999999999999994,100,9.07991619035332e-09,4.32204010660818e-06,True
BT-v2,BT-v1,RL-s19-b300-a1.00,0.3925,0.475,-0.08249999999999996,100,7.598477566874597e-05,0.02750648879208604,True
BT-v2,BT-v1,RL-s2-b300-a1.00,0.3925,0.4775,-0.08499999999999996,100,6.186147358083898e-05,0.022579437857006227,True
BT-v2,BT-v1,RL-s3-b300-a1.00,0.3925,0.4925,-0.09999999999999998,100,1.2694830191889337e-06,0.0005446082152320526,True
BT-v2,BT-v1,RL-s4-b300-a1.00,0.3925,0.4975,-0.10499999999999998,100,3.345641193656294e-07,0.00014854646899833946,True
BT-v2,BT-v1,RL-s5-b300-a1.00,0.3925,0.4975,-0.10499999999999998,100,1.1699739064210869e-07,5.3350810132801564e-05,True
BT-v2,BT-v1,RL-s6-b300-a1.00,0.3925,0.485,-0.09249999999999997,100,4.04064658954301e-06,0.0016809089812498922,True
BT-v2,BT-v1,RL-s7-b300-a1.00,0.3925,0.49,-0.09749999999999998,100,3.7799972666293275e-07,0.00016707587918501627,True
BT-v2,BT-v1,RL-s8-b300-a1.00,0.3925,0.495,-0.10249999999999998,100,2.989271638722863e-07,0.0001333215150870397,True
BT-v2,BT-v1,RL-s9-b300-a1.00,0.3925,0.4925,-0.09999999999999998,100,1.2817789149739809e-06,0.0005486013756088638,True
BT-v2,BT-v2,BT-v3,0.5,0.2075,0.2925,100,3.2732849405648677e-16,2.0130702384473936e-13,True
BT-v2,BT-v2,BTO-s0-b300,0.5,0.3875,0.11249999999999999,100,1.2247326483439957e-05,0.004874435940409103,True
BT-v2,BT-v2,BTO-s1-b300,0.5,0.375,0.125,100,2.1798290441998373e-07,9.809230698899268e-05,True
BT-v2,BT-v2,BTO-s2-b300,0.5,0.4,0.09999999999999998,100,1.2261335652956365e-05,0.004874435940409103,True
BT-v2,BT-v2,RL-s0-b300-a1.00,0.5,0.495,0.0050000000000000044,100,0.6962944571529229,1.0,False
BT-v2,BT-v2,RL-s1-b300-a1.00,0.5,0.61,-0.10999999999999999,100,1.3558413016037964e-08,6.407613107449683e-06,True
BT-v2,BT-v2,RL-s10-b300-a1.00,0.5,0.5275,-0.02749999999999997,100,0.1820481659502181,1.0,False
BT-v2,BT-v2,RL-s11-b300-a1.00,0.5,0.5,0.0,100,1.0,1.0,False
BT-v2,BT-v2,RL-s12-b300-a1.00,0.5,0.51,-0.010000000000000009,100,0.4981519523398359,1.0,False
BT-v2,BT-v2,RL-s13-b300-a1.00,0.5,0.48,0.020000000000000018,100,0.1612663481927249,1.0,False
BT-v2,BT-v2,RL-s14-b300-a1.00,0.5,0.4725,0.027500000000000024,100,0.13565585071940556,1.0,False
BT-v2,BT-v2,RL-s15-b300-a1.00,0.5,0.485,0.015000000000000013,100,0.28515394695566343,1.0,False
BT-v2,BT-v2,RL-s16-b300-a1.00,0.5,0.485,0.015000000000000013,100,0.28515394695566343,1.0,False
BT-v2,BT-v2,RL-s17-b300-a1.00,0.5,0.4725,0.027500000000000024,100,0.0480834675887304,1.0,False
BT-v2,BT-v2,RL-s18-b300-a1.00,0.5,0.5125,-0.012499999999999956,100,0.35177908914969513,1.0,False
BT-v2,BT-v2,RL-s19-b300-a1.00,0.5,0.475,0.025000000000000022,100,0.11113805865818316,1.0,False
BT-v2,BT-v2,RL-s2-b300-a1.00,0.5,0.4775,0.02250000000000002,100,0.1181362385225954,1.0,False
BT-v2,BT-v2,RL-s3-b300-a1.00,0.5,0.4925,0.007500000000000007,100,0.5898310262811204,1.0,False
BT-v2,BT-v2,RL-s4-b300-a1.00,0.5,0.4975,0.0025000000000000022,100,0.8548775647953021,1.0,False
BT-v2,BT-v2,RL-s5-b300-a1.00,0.5,0.4975,0.0025000000000000022,100,0.8522653423579136,1.0,False
BT-v2,BT-v2,RL-s6-b300-a1.00,0.5,0.485,0.015000000000000013,100,0.3659433086556274,1.0,False
BT-v2,BT-v2,RL-s7-b300-a1.00,0.5,0.49,0.010000000000000009,100,0.44372665832808933,1.0,False
BT-v2,BT-v2,RL-s8-b300-a1.00,0.5,0.495,0.0050000000000000044,100,0.7017511381745211,1.0,False
BT-v2,BT-v2,RL-s9-b300-a1.00,0.5,0.4925,0.007500000000000007,100,0.5898310262811204,1.0,False
BT-v2,BT-v3,BTO-s0-b300,0.2075,0.3875,-0.18000000000000002,100,2.6337045325359267e-11,1.3537241297234664e-08,True
BT-v2,BT-v3,BTO-s1-b300,0.2075,0.375,-0.1675,100,2.678696249928357e-11,1.3741711762132471e-08,True
BT-v2,BT-v3,BTO-s2-b300,0.2075,0.4,-0.19250000000000003,100,6.621776358245127e-13,3.542650351661143e-10,True
BT-v2,BT-v3,RL-s0-b300-a1.00,0.2075,0.495,-0.2875,100,3.437293896273346e-16,2.1041515654484062e-13,True
BT-v2,BT-v3,RL-s1-b300-a1.00,0.2075,0.61,-0.40249999999999997,100,1.1387423669619866e-17,7.367663114244053e-15,True
BT-v2,BT-v3,RL-s10-b300-a1.00,0.2075,0.5275,-0.31999999999999995,100,1.5333810661786304e-16,9.522296420969294e-14,True
BT-v2,BT-v3,RL-s11-b300-a1.00,0.2075,0.5,-0.2925,100,5.151854754109638e-16,3.1117202714822216e-13,True
BT-v2,BT-v3,RL-s12-b300-a1.00,0.2075,0.51,-0.3025,100,2.687565617204127e-16,1.655540420197742e-13,True
BT-v2,BT-v3,RL-s13-b300-a1.00,0.2075,0.48,-0.27249999999999996,100,1.2935994501830066e-14,7.412324849548627e-12,True
BT-v2,BT-v3,RL-s14-b300-a1.00,0.2075,0.4725,-0.265,100,3.377235941728264e-15,1.9621740821441213e-12,True
BT-v2,BT-v3,RL-s15-b300-a1.00,0.2075,0.485,-0.27749999999999997,100,1.251722689681283e-15,7.397681096016382e-13,True
BT-v2,BT-v3,RL-s16-b300-a1.00,0.2075,0.485,-0.27749999999999997,100,1.5018694069111426e-14,8.590693007531735e-12,True
BT-v2,BT-v3,RL-s17-b300-a1.00,0.2075,0.4725,-0.265,100,3.125534577841085e-15,1.8221866588813526e-12,True
BT-v2,BT-v3,RL-s18-b300-a1.00,0.2075,0.5125,-0.30499999999999994,100,1.053409888211136e-16,6.604879999083823e-14,True
BT-v2,BT-v3,RL-s19-b300-a1.00,0.2075,0.475,-0.26749999999999996,100,8.702530161108813e-16,5.177230651496238e-13,True
BT-v2,BT-v3,RL-s2-b300-a1.00,0.2075,0.4775,-0.27,100,1.3346081711515164e-15,7.874188209793946e-13,True
BT-v2,BT-v3,RL-s3-b300-a1.00,0.2075,0.4925,-0.28500000000000003,100,5.168115938168262e-16,3.116373910715462e-13,True
