cond,opponent,n_seeds,score,score_lo,score_hi,pure_winrate,draw_rate,wez_time,damage,surv_time,viol_deck,viol_over_g,viol_total
RL-s1-b300-a1.00,BT-v2,100,0.61,0.5120301704584074,0.6998312599360558,0.9583333333333334,0.76,1.753249999999998,43.83125,113.37674999999568,0.02496001840803814,0.03499354238819883,0.08212536542453214
RL-s10-b300-a1.00,BT-v2,100,0.5275,0.4304543852543699,0.6225109723442458,0.6037735849056604,0.735,1.3682499999999993,34.20625,104.75224999999612,0.029283992634047528,0.05955977461904949,0.10419507196647819
RL-s18-b300-a1.00,BT-v2,100,0.5125,0.4158980568886754,0.6081771056561499,0.8571428571428571,0.965,0.5179999999999999,12.95,112.04724999999571,0.0,0.03356572128055967,0.04094794016154339
RL-s12-b300-a1.00,BT-v2,100,0.51,0.4134801193402717,0.6057800106955887,0.6111111111111112,0.91,0.8594999999999996,21.4875,113.56999999999566,0.0,0.03255313451536163,0.05204717718584884
BT-v2,BT-v2,100,0.5,0.4038315303659957,0.5961684696340044,0.5,0.8,0.22624999999999987,5.65625,103.3004999999961,0.0973824357900131,0.03844683390066541,0.14419935231795045
RL-s11-b300-a1.00,BT-v2,100,0.5,0.4038315303659957,0.5961684696340044,0.5,0.97,0.3604999999999999,9.0125,117.67949999999543,0.01997400987389438,0.030387800312471035,0.05680367860999389
RL-s4-b300-a1.00,BT-v2,100,0.4975,0.40142517175424974,0.5937597957367851,0.4444444444444444,0.955,0.5477499999999998,13.69375,117.64999999999542,0.000544925124792013,0.026979877386457716,0.03776894614961327
RL-s5-b300-a1.00,BT-v2,100,0.4975,0.40142517175424974,0.5937597957367851,0.42857142857142855,0.965,0.3804999999999999,9.5125,116.70849999999545,0.001316555740432612,0.03162652605146106,0.040829840909711305
RL-s0-b300-a1.00,BT-v2,100,0.495,0.39902112851159327,0.5913488064704766,0.0,0.99,0.29975,7.49375,118.01824999999539,0.0,0.03342176305478351,0.03781998555931855
RL-s8-b300-a1.00,BT-v2,100,0.495,0.39902112851159327,0.5913488064704766,0.25,0.98,0.29100000000000004,7.275,116.22274999999547,0.0,0.0356074924454983,0.039242033199029
RL-s3-b300-a1.00,BT-v2,100,0.4925,0.39661940088890363,0.588935501584201,0.36363636363636365,0.945,0.49174999999999996,12.29375,113.25249999999562,0.0,0.04497490219960024,0.05126043319421579
RL-s9-b300-a1.00,BT-v2,100,0.4925,0.39661940088890363,0.588935501584201,0.36363636363636365,0.945,0.48674999999999985,12.16875,115.03149999999555,0.0,0.03342297571788708,0.03863440039159438
RL-s7-b300-a1.00,BT-v2,100,0.49,0.3942199893044114,0.5865198806597284,0.0,0.98,0.23875000000000005,5.96875,118.06174999999538,0.0031322795341098154,0.027972426521028507,0.0356864043895702
RL-s15-b300-a1.00,BT-v2,100,0.485,0.38942811676066924,0.5816816881855403,0.25,0.94,0.3787499999999999,9.46875,115.85549999999552,0.0,0.02866444780188125,0.040506257152593754
RL-s16-b300-a1.00,BT-v2,100,0.485,0.38942811676066924,0.5816816881855403,0.25,0.94,0.2717500000000001,6.79375,111.32874999999572,0.03622230253745393,0.03661383028455056,0.0806070166919197
RL-s6-b300-a1.00,BT-v2,100,0.485,0.38942811676066924,0.5816816881855403,0.25,0.94,0.5020000000000001,12.55,117.19749999999546,0.0,0.02604837177103891,0.03149856299555741
RL-s13-b300-a1.00,BT-v2,100,0.48,0.38464551758051896,0.5768342223477603,0.21428571428571427,0.93,0.5422500000000001,13.55625,115.08374999999555,0.0,0.03374886369175108,0.037988274123948756
RL-s2-b300-a1.00,BT-v2,100,0.4775,0.38225769833178386,0.5744070090875304,0.2,0.925,0.626,15.65,115.04149999999554,0.000141430948419301,0.030660028510438028,0.037058875029162566
RL-s19-b300-a1.00,BT-v2,100,0.475,0.37987220115774883,0.5719774737526003,0.14285714285714285,0.93,0.574,14.35,117.74249999999542,0.01958109681356194,0.02982491671805833,0.05455292336967377
RL-s14-b300-a1.00,BT-v2,100,0.4725,0.3774890276557541,0.5695456147456299,0.34285714285714286,0.825,0.5287499999999998,13.21875,111.77949999999575,0.07819957566022123,0.08705379714708576,0.1745484729439793
RL-s17-b300-a1.00,BT-v2,100,0.4725,0.3774890276557541,0.5695456147456299,0.0,0.945,0.35925000000000007,8.98125,116.18749999999551,0.0,0.03198603627276379,0.04094346723676614
