cond,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples
BT-v1,1.0,1.0,1.0,3.0,0.995244845451407,2.0,28033
BT-v2,4.0,2.0,4.0,17.0,0.9523549886447117,16.0,31978
BT-v3,5.0,3.0,5.0,17.0,0.9402036139137073,28.0,31234
BTO-s0-b300,5.0,3.0,5.0,17.0,0.9464720178901376,30.0,31096
BTO-s1-b300,3.0,3.0,3.0,17.0,0.96784459239109,8.0,32558
BTO-s2-b300,3.0,3.0,3.0,17.0,0.9780720611892694,8.0,31317
RL-s0-b300-a1.00,3.0,1.0,3.0,17.0,0.9657879878027142,8.0,35287
RL-s1-b300-a1.00,17.0,5.0,17.0,17.0,0.8981994883402624,2996.0,33946
RL-s10-b300-a1.00,17.0,5.0,17.0,17.0,0.8911391693827496,4150.0,29785
RL-s11-b300-a1.00,3.0,2.0,3.0,17.0,0.9618636105087349,8.0,33975
RL-s12-b300-a1.00,8.0,4.0,8.0,17.0,0.9056624869893762,204.0,32583
RL-s13-b300-a1.00,9.0,5.0,9.0,17.0,0.8972071485302056,358.0,34332
RL-s14-b300-a1.00,11.0,5.0,11.0,17.0,0.8996333329175231,966.0,31033
RL-s15-b300-a1.00,4.0,2.0,4.0,17.0,0.9581204167113078,16.0,34409
RL-s16-b300-a1.00,17.0,5.0,17.0,17.0,0.8991041823480044,3457.0,35019
RL-s17-b300-a1.00,4.0,2.0,4.0,17.0,0.9591758481958845,16.0,33996
RL-s18-b300-a1.00,9.0,3.0,9.0,17.0,0.932946122094987,358.0,34247
RL-s19-b300-a1.00,5.0,2.0,5.0,17.0,0.9383493736815551,32.0,35146
RL-s2-b300-a1.00,6.0,4.0,6.0,17.0,0.923618598082829,63.0,34197
RL-s3-b300-a1.00,6.0,2.0,6.0,17.0,0.9314722870402549,61.0,34483
RL-s4-b300-a1.00,5.0,2.0,5.0,17.0,0.9449104162582058,32.0,35346
RL-s5-b300-a1.00,5.0,1.0,5.0,17.0,0.9440381768284404,32.0,34646
RL-s6-b300-a1.00,5.0,2.0,5.0,17.0,0.9470774548307749,32.0,35436
RL-s7-b300-a1.00,7.0,4.0,7.0,17.0,0.9105768669969455,99.0,35273
RL-s8-b300-a1.00,7.0,4.0,7.0,17.0,0.9101923367475905,109.0,34562
RL-s9-b300-a1.00,4.0,1.0,4.0,17.0,0.952744750518804,16.0,35098
