cond,opponent,wins,losses,pure_winrate,p_raw,p_holm,significant
BT-v1,BT-v2,2,101,0.019417475728155338,1.05648196731724e-27,4.120279672537236e-26,True
BT-v1,BT-v3,1,106,0.009345794392523364,1.3312027775604574e-30,5.457931387997875e-29,True
BT-v2,BT-v2,90,90,0.5,1.0,1.0,False
BT-v2,BT-v3,183,1,0.9945652173913043,1.5089766582246588e-53,7.092190293655896e-52,True
BT-v3,BT-v2,1,183,0.005434782608695652,1.5089766582246588e-53,7.092190293655896e-52,True
BT-v3,BT-v3,61,61,0.5,1.0,1.0,False
BTO-s0-b300,BT-v2,4,187,0.020942408376963352,3.4977172149731774e-50,1.538995574588198e-48,True
BTO-s0-b300,BT-v3,190,0,1.0,1.2744735289059618e-57,6.499814997420405e-56,True
BTO-s1-b300,BT-v2,1,193,0.005154639175257732,1.553264613354141e-56,7.766323066770705e-55,True
BTO-s1-b300,BT-v3,194,0,1.0,7.965459555662261e-59,4.142038968944376e-57,True
BTO-s2-b300,BT-v2,2,191,0.010362694300518135,2.982586676022177e-54,1.431641604490645e-52,True
BTO-s2-b300,BT-v3,192,2,0.9896907216494846,1.5067463295490734e-54,7.3830570147904595e-53,True
RL-s0-b300-a1.00,BT-v2,104,23,0.8188976377952756,1.6964329533149103e-13,5.258942155276222e-12,True
RL-s0-b300-a1.00,BT-v3,121,35,0.7756410256410257,2.727201682665509e-12,7.636164711463425e-11,True
RL-s1-b300-a1.00,BT-v2,60,17,0.7792207792207793,8.909847968334875e-07,1.6928711139836262e-05,True
RL-s1-b300-a1.00,BT-v3,155,15,0.9117647058823529,1.7120262185594304e-30,6.848104874237722e-29,True
RL-s10-b300-a1.00,BT-v2,95,73,0.5654761904761905,0.10491191481478188,0.9442072333330369,False
RL-s10-b300-a1.00,BT-v3,100,98,0.5050505050505051,0.9433683628047674,1.0,False
RL-s11-b300-a1.00,BT-v2,126,40,0.7590361445783133,1.4425079165850262e-11,3.750520583121068e-10,True
RL-s11-b300-a1.00,BT-v3,176,9,0.9513513513513514,2.4657463690762933e-41,1.0602709387028061e-39,True
RL-s12-b300-a1.00,BT-v2,121,15,0.8897058823529411,9.036446475272844e-22,3.3434851958509524e-20,True
RL-s12-b300-a1.00,BT-v3,170,14,0.9239130434782609,3.127131016108001e-35,1.3133950267653605e-33,True
RL-s13-b300-a1.00,BT-v2,94,58,0.618421052631579,0.00437093807261871,0.07430594723451807,False
RL-s13-b300-a1.00,BT-v3,70,100,0.4117647058823529,0.02584438758134155,0.3101326509760986,False
RL-s14-b300-a1.00,BT-v2,48,133,0.26519337016574585,1.9859524397639515e-10,4.7662858554334835e-09,True
RL-s14-b300-a1.00,BT-v3,192,5,0.9746192893401016,2.4010047049319614e-50,1.0804521172193826e-48,True
RL-s15-b300-a1.00,BT-v2,113,36,0.7583892617449665,1.8660893156355632e-10,4.665223289088908e-09,True
RL-s15-b300-a1.00,BT-v3,144,30,0.8275862068965517,4.584170328699256e-19,1.6044596150447395e-17,True
RL-s16-b300-a1.00,BT-v2,75,97,0.436046511627907,0.10905618827674632,0.9442072333330369,False
RL-s16-b300-a1.00,BT-v3,98,100,0.494949494949495,0.9433683628047674,1.0,False
RL-s17-b300-a1.00,BT-v2,89,43,0.6742424242424242,7.692358488697491e-05,0.0013846245279655483,True
RL-s17-b300-a1.00,BT-v3,98,66,0.5975609756097561,0.015235025933514236,0.23379780927247462,False
RL-s18-b300-a1.00,BT-v2,74,60,0.5522388059701493,0.2613502966249506,1.0,False
RL-s18-b300-a1.00,BT-v3,64,90,0.4155844155844156,0.04359993650333519,0.4795993015366871,False
RL-s19-b300-a1.00,BT-v2,98,72,0.5764705882352941,0.05486518238547441,0.5486518238547441,False
RL-s19-b300-a1.00,BT-v3,149,30,0.8324022346368715,3.595497362277283e-20,1.294379050419822e-18,True
RL-s2-b300-a1.00,BT-v2,46,138,0.25,7.0891076523441896e-12,1.9140590661329313e-10,True
RL-s2-b300-a1.00,BT-v3,30,161,0.15706806282722513,7.167434382229872e-23,2.7236250652473513e-21,True
RL-s3-b300-a1.00,BT-v2,111,36,0.7551020408163265,4.317770275281865e-10,9.93087163314829e-09,True
RL-s3-b300-a1.00,BT-v3,119,33,0.7828947368421053,1.3021529165070942e-12,3.776243457870573e-11,True
RL-s4-b300-a1.00,BT-v2,85,92,0.480225988700565,0.6521216446590046,1.0,False
RL-s4-b300-a1.00,BT-v3,75,108,0.4098360655737705,0.017763608057371396,0.23816889015417617,False
RL-s5-b300-a1.00,BT-v2,97,31,0.7578125,4.155995426933083e-09,8.727590396559474e-08,True
RL-s5-b300-a1.00,BT-v3,113,79,0.5885416666666666,0.017012063582441155,0.23816889015417617,False
RL-s6-b300-a1.00,BT-v2,97,65,0.5987654320987654,0.014612363079529664,0.23379780927247462,False
RL-s6-b300-a1.00,BT-v3,107,84,0.5602094240837696,0.1111757658129902,0.9442072333330369,False
RL-s7-b300-a1.00,BT-v2,117,23,0.8357142857142857,2.3310651653913926e-16,7.459408529252456e-15,True
RL-s7-b300-a1.00,BT-v3,136,27,0.8343558282208589,1.0690202275473175e-18,3.6346687736608795e-17,True
RL-s8-b300-a1.00,BT-v2,83,28,0.7477477477477478,1.6752020995667599e-07,3.3504041991335197e-06,True
RL-s8-b300-a1.00,BT-v3,104,32,0.7647058823529411,4.4262639384791036e-10,9.93087163314829e-09,True
RL-s9-b300-a1.00,BT-v2,112,28,0.8,4.246281288380078e-13,1.2738843865140233e-11,True
RL-s9-b300-a1.00,BT-v3,130,27,0.8280254777070064,2.290387879729419e-17,7.558280003107083e-16,True
