cond,kind,alpha,bt_version,ckpt,budget,train_seed,opponent,seed,side,score,win,draw,loss,outcome,duration,damage_dealt,damage_taken,wez_time,surv_time,viol_deck,viol_over_g,viol_sep,mean_es
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10000,0,0.5,0,1,0,timeout,240.00000000002032,0.0,0.0,0.0,240.00000000002032,0.0,0.0,0.0,12954.727540745242
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10000,1,1.0,1,0,0,timeout,240.00000000002032,21.25,0.0,0.8500000000000002,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10001,0,0.0,0,0,1,crash,107.79999999999602,0.0,0.0,0.0,107.79999999999602,0.03671003717472119,0.0,0.0,9405.932138534803
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10001,1,0.5,0,1,0,timeout,240.00000000002032,0.0,0.0,0.0,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10002,0,0.0,0,0,1,timeout,240.00000000002032,0.0,21.25,0.0,240.00000000002032,0.0,0.0,0.0,13803.751422050595
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10002,1,0.0,0,0,1,timeout,240.00000000002032,0.0,86.25,0.0,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10003,0,0.0,0,0,1,timeout,240.00000000002032,0.0,32.5,0.0,240.00000000002032,0.0,0.0,0.0,14738.73676403051
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10003,1,0.5,0,1,0,timeout,240.00000000002032,0.0,0.0,0.0,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10004,0,0.0,0,0,1,gun_kill,14.500000000000071,0.0,100.0,0.0,14.500000000000071,0.0,0.0,0.0,6486.432227801067
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10004,1,0.0,0,0,1,gun_kill,21.35000000000017,0.0,100.0,0.0,21.35000000000017,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10005,0,0.0,0,0,1,timeout,240.00000000002032,0.0,8.75,0.0,240.00000000002032,0.0,0.0,0.0,14755.781833010453
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10005,1,0.0,0,0,1,timeout,240.00000000002032,0.0,23.75,0.0,240.00000000002032,0.0,0.0,0.0025,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10006,0,0.0,0,0,1,gun_kill,13.550000000000058,0.0,100.0,0.0,13.550000000000058,0.0,0.0,0.0,7140.471044427408
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10006,1,0.5,0,1,0,timeout,240.00000000002032,0.0,0.0,0.0,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10007,0,0.5,0,1,0,timeout,240.00000000002032,0.0,0.0,0.0,240.00000000002032,0.0,0.0,0.0,13461.645292941746
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10007,1,0.5,0,1,0,timeout,240.00000000002032,0.0,0.0,0.0,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10008,0,0.0,0,0,1,timeout,240.00000000002032,0.0,11.25,0.0,240.00000000002032,0.0,0.0,0.0025,12640.243140546578
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10008,1,0.5,0,1,0,timeout,240.00000000002032,0.0,0.0,0.0,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10009,0,0.0,0,0,1,timeout,240.00000000002032,0.0,30.0,0.0,240.00000000002032,0.0,0.0,0.0,13749.55656955667
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10009,1,0.0,0,0,1,gun_kill,28.150000000000265,0.0,100.0,0.0,28.150000000000265,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10010,0,0.5,0,1,0,timeout,240.00000000002032,0.0,0.0,0.0,240.00000000002032,0.0,0.0,0.0,12450.819290146383
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10010,1,0.0,0,0,1,timeout,240.00000000002032,0.0,42.5,0.0,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10011,0,0.0,0,0,1,timeout,240.00000000002032,0.0,96.25,0.0,240.00000000002032,0.0,0.0,0.0,13152.210977840687
