cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family
RL-s12-b300-a1.00,0.8275,192.1258750000109,0.08355321935310359,2.543624999999997,0.89,8.0,4.0,8.0,17.0,0.9150727938731006,216.0,55749,RL
RL-s11-b300-a1.00,0.8162499999999999,180.78362500000776,0.10410850630249728,1.8982499999999973,0.9175,5.0,2.0,5.0,17.0,0.9496901075211602,32.0,53110,RL
RL-s7-b300-a1.00,0.7537499999999999,200.9877500000124,0.08012737091368159,1.1987499999999982,0.7725,5.0,2.0,5.0,17.0,0.9435692906310137,32.0,60000,RL
RL-s15-b300-a1.00,0.73875,201.76637500001345,0.06934348307560313,1.396499999999998,0.785,4.0,1.0,4.0,17.0,0.9553309533330796,16.0,58439,RL
RL-s9-b300-a1.00,0.7337499999999999,222.3810000000177,0.029875877274874535,0.8037499999999993,0.7575,2.0,1.0,2.0,17.0,0.9701011160454157,4.0,60000,RL
RL-s1-b300-a1.00,0.72875,169.82075000000725,0.07453074018683963,1.8176249999999978,0.85,17.0,5.0,17.0,17.0,0.8986009752700239,4550.0,54994,RL
BT-v2,0.7275,116.203749999998,0.14330206847779875,1.9343749999999968,0.955,4.0,2.0,4.0,17.0,0.9514578145852997,16.0,36351,BT
RL-s0-b300-a1.00,0.70875,228.27062500001836,0.027796216282624048,0.6294999999999994,0.715,3.0,1.0,3.0,17.0,0.9721839418388649,8.0,60000,RL
RL-s3-b300-a1.00,0.7012499999999999,228.21212500001894,0.029935111532508895,0.5897499999999997,0.715,4.0,1.0,4.0,17.0,0.9591385889666574,16.0,60000,RL
RL-s19-b300-a1.00,0.6812499999999999,208.76125000001406,0.053679448135020735,1.2277499999999988,0.7975,4.0,1.0,4.0,17.0,0.9564674371955502,16.0,60000,RL
RL-s8-b300-a1.00,0.65875,231.0970000000192,0.02417339321971273,0.5061249999999995,0.68,5.0,2.0,5.0,17.0,0.9470233925632933,30.0,60000,RL
RL-s14-b300-a1.00,0.6275,134.87299999999942,0.1933447077476245,2.1368749999999967,0.9675,17.0,6.0,17.0,17.0,0.8621680284034376,4528.0,39282,RL
RL-s5-b300-a1.00,0.625,217.3396250000161,0.06521756043999646,1.132499999999999,0.585,2.0,1.0,2.0,17.0,0.9655344058500269,4.0,60000,RL
RL-s17-b300-a1.00,0.5974999999999999,214.09337500001584,0.029517358570424326,0.811499999999999,0.58,3.0,1.0,3.0,17.0,0.9689824856569984,8.0,60000,RL
RL-s6-b300-a1.00,0.56875,214.75387500001523,0.03669757391358976,0.8382499999999994,0.5575,4.0,1.0,4.0,17.0,0.9566123367282076,16.0,60000,RL
RL-s10-b300-a1.00,0.53,166.03050000000752,0.08934601756003321,1.6572499999999983,0.505,17.0,5.0,17.0,17.0,0.8796455919404408,4686.0,50295,RL
BTO-s0-b300,0.50875,121.81137499999795,0.053998704603866396,2.0286249999999972,0.975,3.0,3.0,3.0,17.0,0.9594016676017969,8.0,36343,BTO
RL-s13-b300-a1.00,0.5075,217.64700000001636,0.021845819676313827,0.46,0.425,5.0,3.0,5.0,17.0,0.9372498465235797,32.0,60000,RL
BTO-s1-b300,0.5025,126.59587499999787,0.059255809585800984,2.039374999999997,0.985,3.0,3.0,3.0,17.0,0.9723446268775212,8.0,37680,BTO
BTO-s2-b300,0.50125,124.77812499999813,0.05370986732605578,2.047249999999997,0.975,3.0,3.0,3.0,8.0,0.9789854888812972,8.0,37258,BTO
RL-s18-b300-a1.00,0.485,219.87637500001756,0.030073112311508908,0.3919999999999999,0.435,4.0,1.0,4.0,17.0,0.9563998593444406,16.0,60000,RL
RL-s16-b300-a1.00,0.47,173.31537500000692,0.10223316779365627,1.1067499999999988,0.495,9.0,4.0,9.0,17.0,0.9091130289839648,353.0,53151,RL
RL-s4-b300-a1.00,0.44999999999999996,188.23700000000997,0.056813153101375774,1.2199999999999984,0.4175,5.0,2.0,5.0,17.0,0.9443274585329738,31.0,57344,RL
BT-v3,0.2725,155.5272500000059,0.007723420340171042,0.4292499999999997,0.5,4.0,3.0,4.0,17.0,0.9596762007462297,16.0,47737,BT
BT-v1,0.245,189.67887500001507,0.005585933179487475,0.010750000000000001,0.2375,1.0,1.0,1.0,2.0,0.9962208306477537,2.0,53092,BT
RL-s2-b300-a1.00,0.22125,210.74300000001466,0.028358689041130147,0.53725,0.1725,4.0,2.0,4.0,17.0,0.950837354301347,16.0,60000,RL
