opponent,cond_a,cond_b,mean_a,mean_b,diff,n,p_raw,p_holm,significant
BT-v2,BT-v1,BT-v2,0.2525,0.5,-0.2475,100,1.331429787345736e-15,6.697091830349052e-13,True
BT-v2,BT-v1,BT-v3,0.2525,0.045,0.20750000000000002,100,1.4203955428239745e-12,6.150312700427809e-10,True
BT-v2,BT-v1,BTO-s0-b300,0.2525,0.0425,0.21,100,2.3239054346705647e-11,9.388577956069081e-09,True
BT-v2,BT-v1,BTO-s1-b300,0.2525,0.02,0.2325,100,1.3345129978573688e-14,6.272211089929633e-12,True
BT-v2,BT-v1,BTO-s2-b300,0.2525,0.0275,0.225,100,7.804346175135252e-13,3.4183036247092404e-10,True
BT-v2,BT-v1,RL-s0-b300-a1.00,0.2525,0.7025,-0.45,100,1.0992655697595862e-17,6.254821091932046e-15,True
BT-v2,BT-v1,RL-s1-b300-a1.00,0.2525,0.6075,-0.35500000000000004,100,1.267012522883532e-16,6.651815745138543e-14,True
BT-v2,BT-v1,RL-s10-b300-a1.00,0.2525,0.555,-0.30250000000000005,100,1.602457919560627e-11,6.5059791534161455e-09,True
BT-v2,BT-v1,RL-s11-b300-a1.00,0.2525,0.715,-0.46249999999999997,100,4.6236969277400327e-17,2.4898598168764828e-14,True
BT-v2,BT-v1,RL-s12-b300-a1.00,0.2525,0.765,-0.5125,100,1.0933965984796487e-17,6.232360611333998e-15,True
BT-v2,BT-v1,RL-s13-b300-a1.00,0.2525,0.59,-0.33749999999999997,100,1.0135645897644617e-11,4.175886109829582e-09,True
BT-v2,BT-v1,RL-s14-b300-a1.00,0.2525,0.2875,-0.034999999999999976,100,0.2511879731685065,1.0,False
BT-v2,BT-v1,RL-s15-b300-a1.00,0.2525,0.6925,-0.44,100,6.497581123393216e-17,3.463210738768584e-14,True
BT-v2,BT-v1,RL-s16-b300-a1.00,0.2525,0.445,-0.1925,100,2.7770668259837626e-06,0.0007775787112754535,True
BT-v2,BT-v1,RL-s17-b300-a1.00,0.2525,0.615,-0.3625,100,1.984169041290723e-15,9.920845206453615e-13,True
BT-v2,BT-v1,RL-s18-b300-a1.00,0.2525,0.535,-0.28250000000000003,100,7.099316407477736e-10,2.605449121544329e-07,True
BT-v2,BT-v1,RL-s19-b300-a1.00,0.2525,0.565,-0.31249999999999994,100,1.2427195759473442e-11,5.0951502613841114e-09,True
BT-v2,BT-v1,RL-s2-b300-a1.00,0.2525,0.27,-0.017500000000000016,100,0.9526941921654765,1.0,False
BT-v2,BT-v1,RL-s3-b300-a1.00,0.2525,0.6875,-0.435,100,1.4119548800077685e-16,7.384524022440628e-14,True
BT-v2,BT-v1,RL-s4-b300-a1.00,0.2525,0.4825,-0.22999999999999998,100,1.1039538777332677e-07,3.42225702097313e-05,True
BT-v2,BT-v1,RL-s5-b300-a1.00,0.2525,0.665,-0.41250000000000003,100,1.2713256643225275e-15,6.407481348185539e-13,True
BT-v2,BT-v1,RL-s6-b300-a1.00,0.2525,0.58,-0.32749999999999996,100,7.611374880241189e-11,2.983658953054546e-08,True
BT-v2,BT-v1,RL-s7-b300-a1.00,0.2525,0.735,-0.4825,100,5.538840807485951e-17,2.957740991197498e-14,True
BT-v2,BT-v1,RL-s8-b300-a1.00,0.2525,0.6375,-0.38499999999999995,100,1.9568925902365493e-16,1.0156272543327691e-13,True
BT-v2,BT-v1,RL-s9-b300-a1.00,0.2525,0.71,-0.45749999999999996,100,1.07859759436264e-17,6.158792263810674e-15,True
BT-v2,BT-v2,BT-v3,0.5,0.045,0.455,100,7.266009874842392e-21,4.672044349523658e-18,True
BT-v2,BT-v2,BTO-s0-b300,0.5,0.0425,0.4575,100,2.3244672397976476e-21,1.496956902429685e-18,True
BT-v2,BT-v2,BTO-s1-b300,0.5,0.02,0.48,100,2.278930790914702e-22,1.4790260833036416e-19,True
BT-v2,BT-v2,BTO-s2-b300,0.5,0.0275,0.4725,100,3.819292845809909e-22,2.474901764084821e-19,True
BT-v2,BT-v2,RL-s0-b300-a1.00,0.5,0.7025,-0.2025,100,2.398840092494719e-12,1.0219058794027503e-09,True
BT-v2,BT-v2,RL-s1-b300-a1.00,0.5,0.6075,-0.10750000000000004,100,6.541766824213238e-06,0.0017793605761860006,True
BT-v2,BT-v2,RL-s10-b300-a1.00,0.5,0.555,-0.05500000000000005,100,0.09210071402675793,1.0,False
BT-v2,BT-v2,RL-s11-b300-a1.00,0.5,0.715,-0.21499999999999997,100,3.1314971565496556e-10,1.1774429308626705e-07,True
BT-v2,BT-v2,RL-s12-b300-a1.00,0.5,0.765,-0.265,100,1.0531234899866839e-14,4.970742872737148e-12,True
BT-v2,BT-v2,RL-s13-b300-a1.00,0.5,0.59,-0.08999999999999997,100,0.005428700826817452,0.9337365422126017,False
BT-v2,BT-v2,RL-s14-b300-a1.00,0.5,0.2875,0.21250000000000002,100,4.571140670737281e-09,1.5907569534165737e-06,True
BT-v2,BT-v2,RL-s15-b300-a1.00,0.5,0.6925,-0.1925,100,2.1296489025207023e-09,7.5815500929737e-07,True
BT-v2,BT-v2,RL-s16-b300-a1.00,0.5,0.445,0.05499999999999999,100,0.12560334959502967,1.0,False
BT-v2,BT-v2,RL-s17-b300-a1.00,0.5,0.615,-0.11499999999999999,100,4.820474139008712e-05,0.011569137933620908,True
BT-v2,BT-v2,RL-s18-b300-a1.00,0.5,0.535,-0.03500000000000003,100,0.25741165732241333,1.0,False
BT-v2,BT-v2,RL-s19-b300-a1.00,0.5,0.565,-0.06499999999999995,100,0.033530801258331265,1.0,False
BT-v2,BT-v2,RL-s2-b300-a1.00,0.5,0.27,0.22999999999999998,100,3.597510942423821e-09,1.266323851733185e-06,True
BT-v2,BT-v2,RL-s3-b300-a1.00,0.5,0.6875,-0.1875,100,2.3997916470778074e-08,7.823320769473652e-06,True
BT-v2,BT-v2,RL-s4-b300-a1.00,0.5,0.4825,0.017500000000000016,100,0.71357262576459,1.0,False
BT-v2,BT-v2,RL-s5-b300-a1.00,0.5,0.665,-0.16500000000000004,100,9.51668068044884e-08,2.959687691619589e-05,True
BT-v2,BT-v2,RL-s6-b300-a1.00,0.5,0.58,-0.07999999999999996,100,0.023823443629063492,1.0,False
BT-v2,BT-v2,RL-s7-b300-a1.00,0.5,0.735,-0.235,100,2.3438536358207543e-11,9.44573015235764e-09,True
BT-v2,BT-v2,RL-s8-b300-a1.00,0.5,0.6375,-0.13749999999999996,100,4.307258666478479e-07,0.00012663340479446728,True
BT-v2,BT-v2,RL-s9-b300-a1.00,0.5,0.71,-0.20999999999999996,100,1.6928008435891374e-11,6.855843416536006e-09,True
BT-v2,BT-v3,BTO-s0-b300,0.045,0.0425,0.0024999999999999953,100,0.507613539747843,1.0,False
BT-v2,BT-v3,BTO-s1-b300,0.045,0.02,0.024999999999999998,100,0.09950537325327684,1.0,False
BT-v2,BT-v3,BTO-s2-b300,0.045,0.0275,0.017499999999999998,100,0.12545912131457798,1.0,False
BT-v2,BT-v3,RL-s0-b300-a1.00,0.045,0.7025,-0.6575,100,1.25066653681255e-18,7.891705847287191e-16,True
BT-v2,BT-v3,RL-s1-b300-a1.00,0.045,0.6075,-0.5625,100,1.2821492305896918e-18,8.064718660409161e-16,True
BT-v2,BT-v3,RL-s10-b300-a1.00,0.045,0.555,-0.51,100,1.6378228688047002e-17,9.220942751370463e-15,True
BT-v2,BT-v3,RL-s11-b300-a1.00,0.045,0.715,-0.6699999999999999,100,2.4223532722649847e-18,1.424343724091811e-15,True
BT-v2,BT-v3,RL-s12-b300-a1.00,0.045,0.765,-0.72,100,1.60094409393745e-18,9.829796736775943e-16,True
BT-v2,BT-v3,RL-s13-b300-a1.00,0.045,0.59,-0.5449999999999999,100,1.052441954237602e-17,6.019967978239084e-15,True
BT-v2,BT-v3,RL-s14-b300-a1.00,0.045,0.2875,-0.2425,100,3.825867482125296e-10,1.4270485708327355e-07,True
BT-v2,BT-v3,RL-s15-b300-a1.00,0.045,0.6925,-0.6475,100,1.7987592480872984e-18,1.0864505858447283e-15,True
BT-v2,BT-v3,RL-s16-b300-a1.00,0.045,0.445,-0.4,100,1.7333453839631722e-14,8.077389489268383e-12,True
BT-v2,BT-v3,RL-s17-b300-a1.00,0.045,0.615,-0.57,100,1.9975390560392645e-18,1.1925308164554408e-15,True
BT-v2,BT-v3,RL-s18-b300-a1.00,0.045,0.535,-0.49000000000000005,100,1.839217387481765e-17,1.026283302214825e-14,True
BT-v2,BT-v3,RL-s19-b300-a1.00,0.045,0.565,-0.5199999999999999,100,7.943591891579945e-18,4.563705984249745e-15,True
BT-v2,BT-v3,RL-s2-b300-a1.00,0.045,0.27,-0.22500000000000003,100,1.2821148814932416e-08,4.2822637041874265e-06,True
