cond,opponent,n_seeds,score,score_lo,score_hi,pure_winrate,draw_rate,wez_time,damage,surv_time,viol_deck,viol_over_g,viol_total
RL-s12-b300-a1.00,BT-v2,100,0.765,0.6730589705065864,0.8373344754437112,0.8897058823529411,0.32,1.6944999999999986,42.3625,217.84700000001712,0.0746083571736799,0.020745109208128224,0.12200318213985499
RL-s7-b300-a1.00,BT-v2,100,0.735,0.640977839486297,0.8116352163564196,0.8357142857142857,0.3,0.20475,5.11875,216.18300000001574,0.11611442397938024,0.01766958908912931,0.13656598388148547
RL-s11-b300-a1.00,BT-v2,100,0.715,0.6198591861871973,0.7942336095837988,0.7590361445783133,0.17,0.3639999999999998,9.1,200.47275000001227,0.13903243576393975,0.021608138332149585,0.1688666826414735
RL-s9-b300-a1.00,BT-v2,100,0.71,0.6146110882442887,0.7898516425087773,0.8,0.3,0.42974999999999985,10.74375,229.0412500000192,0.00068125,0.02144243322738524,0.02538412208780499
RL-s0-b300-a1.00,BT-v2,100,0.7025,0.6067618464416817,0.783255786784489,0.8188976377952756,0.365,0.2545,6.3625,235.7107500000199,0.0,0.021632092996054352,0.024130439699035243
RL-s15-b300-a1.00,BT-v2,100,0.6925,0.5963380507182118,0.7744194524720986,0.7583892617449665,0.255,0.5617499999999996,14.04375,224.63500000001804,0.06397991079759219,0.01667029439659844,0.10085113524536343
RL-s3-b300-a1.00,BT-v2,100,0.6875,0.5911437332143373,0.769983704958043,0.7551020408163265,0.265,0.44325,11.08125,227.77975000001916,0.0,0.03290242605483226,0.03654674792145766
RL-s5-b300-a1.00,BT-v2,100,0.665,0.5679098953270977,0.7498822502645971,0.7578125,0.36,0.35624999999999996,8.90625,224.5325000000179,0.06382978471653548,0.021253988284899834,0.09455523176489933
RL-s8-b300-a1.00,BT-v2,100,0.6375,0.5398129631827197,0.7250138248103593,0.7477477477477478,0.445,0.259,6.475,232.43975000001956,0.005172002032520324,0.017642500936078623,0.02531019196372914
RL-s17-b300-a1.00,BT-v2,100,0.615,0.5170588532089492,0.704432642203444,0.6742424242424242,0.34,0.3092499999999999,7.73125,225.70050000001825,0.0003125,0.021650238846490106,0.03123200160507703
RL-s1-b300-a1.00,BT-v2,100,0.6075,0.509519563987813,0.6975268338976852,0.7792207792207793,0.615,1.3014999999999992,32.5375,163.46550000000693,0.05018225479825471,0.030660006363236392,0.10309352519071632
RL-s13-b300-a1.00,BT-v2,100,0.59,0.4920143005341077,0.6813268697886348,0.618421052631579,0.24,0.45925,11.48125,221.18700000001718,0.0,0.019279481383792783,0.022006005050109714
RL-s6-b300-a1.00,BT-v2,100,0.58,0.4820648670304296,0.6720161732564526,0.5987654320987654,0.19,0.40024999999999994,10.00625,224.28225000001734,0.030569791666666655,0.013919258358724741,0.048415442546588174
RL-s19-b300-a1.00,BT-v2,100,0.565,0.4672127249496476,0.6579781202834442,0.5764705882352941,0.15,0.5155,12.8875,213.09725000001498,0.05474847169490639,0.02647105598465601,0.08510423895469249
