cond,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples
BT-v1,1.0,1.0,1.0,2.0,0.9962208306477537,2.0,53092
BT-v2,4.0,2.0,4.0,17.0,0.9514578145852997,16.0,36351
BT-v3,4.0,3.0,4.0,17.0,0.9596762007462297,16.0,47737
BTO-s0-b300,3.0,3.0,3.0,17.0,0.9594016676017969,8.0,36343
BTO-s1-b300,3.0,3.0,3.0,17.0,0.9723446268775212,8.0,37680
BTO-s2-b300,3.0,3.0,3.0,8.0,0.9789854888812972,8.0,37258
RL-s0-b300-a1.00,3.0,1.0,3.0,17.0,0.9721839418388649,8.0,60000
RL-s1-b300-a1.00,17.0,5.0,17.0,17.0,0.8986009752700239,4550.0,54994
RL-s10-b300-a1.00,17.0,5.0,17.0,17.0,0.8796455919404408,4686.0,50295
RL-s11-b300-a1.00,5.0,2.0,5.0,17.0,0.9496901075211602,32.0,53110
RL-s12-b300-a1.00,8.0,4.0,8.0,17.0,0.9150727938731006,216.0,55749
RL-s13-b300-a1.00,5.0,3.0,5.0,17.0,0.9372498465235797,32.0,60000
RL-s14-b300-a1.00,17.0,6.0,17.0,17.0,0.8621680284034376,4528.0,39282
RL-s15-b300-a1.00,4.0,1.0,4.0,17.0,0.9553309533330796,16.0,58439
RL-s16-b300-a1.00,9.0,4.0,9.0,17.0,0.9091130289839648,353.0,53151
RL-s17-b300-a1.00,3.0,1.0,3.0,17.0,0.9689824856569984,8.0,60000
RL-s18-b300-a1.00,4.0,1.0,4.0,17.0,0.9563998593444406,16.0,60000
RL-s19-b300-a1.00,4.0,1.0,4.0,17.0,0.9564674371955502,16.0,60000
RL-s2-b300-a1.00,4.0,2.0,4.0,17.0,0.950837354301347,16.0,60000
RL-s3-b300-a1.00,4.0,1.0,4.0,17.0,0.9591385889666574,16.0,60000
RL-s4-b300-a1.00,5.0,2.0,5.0,17.0,0.9443274585329738,31.0,57344
RL-s5-b300-a1.00,2.0,1.0,2.0,17.0,0.9655344058500269,4.0,60000
RL-s6-b300-a1.00,4.0,1.0,4.0,17.0,0.9566123367282076,16.0,60000
RL-s7-b300-a1.00,5.0,2.0,5.0,17.0,0.9435692906310137,32.0,60000
RL-s8-b300-a1.00,5.0,2.0,5.0,17.0,0.9470233925632933,30.0,60000
RL-s9-b300-a1.00,2.0,1.0,2.0,17.0,0.9701011160454157,4.0,60000
